cyberiantigerto,"Howdy @PascoSheriff!  Hope all y'all are having a great weekend.
It's only 6:15 here in NM, so I'm not doing the #9PMRoutine.
I have, however, followed the #PascoProtocol and secured my car and house.  Looking forward to #LivePD Saturday.
Have fun tonight. Be safe everyone! https://t.co/LKONZtN6rF",,Sun Aug 19 00:27:59 +0000 2018
ohdyah_,"@oshyixing Omg stay safe Cal, hope everything goes well 🙏🏾",,Sun Aug 19 00:27:54 +0000 2018
BlondeAmbition8,RT @WHOTheBckstreet: Sending good vibes and praying for those of you attending the @backstreetboys @98official show tonight ❤ Stay safe out…,"Sending good vibes and praying for those of you attending the @backstreetboys @98official show tonight ❤ Stay safe out there, fan-mily!! We hope the crazy storm passes quickly.",Sun Aug 19 00:27:49 +0000 2018
ejlsneaks,"RT @02Kehdi: happy birthday elijah!! hope today is amazing:)) drive safe, love and miss u💗💗 @ejlsneaks","happy birthday elijah!! hope today is amazing:)) drive safe, love and miss u💗💗 @ejlsneaks",Sun Aug 19 00:27:21 +0000 2018
Kala_Bon,"@JonahNRO i am envious, stay safe out there and hope the family is having a great time. Oh, and stay away from the used car lots",,Sun Aug 19 00:27:17 +0000 2018
LilMsAllie,Praying for those who got hurt tonight at the @backstreetboys and @98official show.  Hope everyone is staying safe!,,Sun Aug 19 00:27:17 +0000 2018
jefiorentino,RT @loondale: #ThankYouJudgeEllis for not allowing the media to roll over folks' individual right to privacy. Stay safe! Hope they nail tho…,#ThankYouJudgeEllis for not allowing the media to roll over folks' individual right to privacy. Stay safe! Hope they nail those who have threatened you. #Manafort https://t.co/04q2ETAd3j,Sun Aug 19 00:26:44 +0000 2018
WWONW00,This is it Ph Carats!!!! Best of luck to everyone and I hope you will get your desired seats!!! Stay safe oks? ☺️☺️🙌🏻 #SVTIdealCutMNL,,Sun Aug 19 00:26:24 +0000 2018
the_dairyfreeze,RT @Astro_Feustel: The backdrop for the @IndyCar race this weekend at @poconoraceway could not be in a more beautiful setting. I hope the w…,The backdrop for the @IndyCar race this weekend at @poconoraceway could not be in a more beautiful setting. I hope the weather subsides and the skies clear to reveal the stunning countryside. Wishing fans and teams a safe and fast weekend! #IndyCar #ABCSupply500 https://t.co/2pQ5SlaSwf,Sun Aug 19 00:26:16 +0000 2018
_Siyolisi,RT @Letso_DolL: Tshepang Koloko is missing.💔Please help us bring this young lady back to her family safe and alive by just retweeting.There…,Tshepang Koloko is missing.💔Please help us bring this young lady back to her family safe and alive by just retweeting.There's still hope. https://t.co/Ezkbq0awu0,Sun Aug 19 00:25:33 +0000 2018
