mhelnolasco,"Pacencia na po delayed po Flight natin ...injured po ang #FlightAttendant nyo kaya naki @ilovemarykayph Philippines Seminar 2018 muna ako 😍
#HappyToServe 
#MK18 #mk55… https://t.co/iJvCZU2lBp",,Sat Aug 18 22:50:31 +0000 2018
bbcbristolsport,"HT Wycombe 0-2 Rovers

James Clarke’s first Rovers goal, backed up by Tony Craig.

The game was delayed briefly when a injured Partridge entered the field of play.

📻 94.9FM, 104.6FM, @bbcsomerset DAB, 1566mw, Freeview 719 https://t.co/2Y6Cg9n9mJ",,Sat Aug 18 15:02:13 +0000 2018
DoingItLocalcom,"Bridgeport News: North Avenue Crash - 9:55pm–#Bridgeport CT– There appeared to be two people injured in a crash in the 1400 block of North Avenue.  Traffic will be delayed or detoured until the vehicles are towed.

 - https://t.co/n2BvVB7zET https://t.co/uGqh5PIjKu",,Sat Aug 18 02:21:36 +0000 2018
kimberlyarchie,"RT @garnertrojans: Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Pleas…","Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Please keep Steven Lines of the Clayton Comets and his family in our thoughts and prayers.  ~le",Sat Aug 18 02:07:07 +0000 2018
ConcernedMom9,"RT @garnertrojans: Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Pleas…","Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Please keep Steven Lines of the Clayton Comets and his family in our thoughts and prayers.  ~le",Sat Aug 18 01:27:06 +0000 2018
thinkpraybot,"RT @garnertrojans: Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Pleas…","Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Please keep Steven Lines of the Clayton Comets and his family in our thoughts and prayers.  ~le",Sat Aug 18 00:13:38 +0000 2018
AndrewABranch,"RT @garnertrojans: Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Pleas…","Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Please keep Steven Lines of the Clayton Comets and his family in our thoughts and prayers.  ~le",Sat Aug 18 00:10:28 +0000 2018
garnertrojans,"Game delayed for an injured player.  The ambulance has arrived.  It is still first quarter, 12-6, Clayton leading. Please keep Steven Lines of the Clayton Comets and his family in our thoughts and prayers.  ~le",,Sat Aug 18 00:08:39 +0000 2018
Neupert_AP,RT @DrMac_22: The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. A…,The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. Another bus is being brought in to finish the route. Students will of course be delayed getting home unfortunately but the important part is all are ok!,Fri Aug 17 21:13:13 +0000 2018
massei_monica,RT @DrMac_22: The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. A…,The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. Another bus is being brought in to finish the route. Students will of course be delayed getting home unfortunately but the important part is all are ok!,Fri Aug 17 21:10:08 +0000 2018
RolandoAlvare11,RT @DrMac_22: The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. A…,The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. Another bus is being brought in to finish the route. Students will of course be delayed getting home unfortunately but the important part is all are ok!,Fri Aug 17 20:49:09 +0000 2018
DrMac_22,The Seahorse bus route from Kennedy Elementary school was involved in an accident this afternoon. No students were injured. Another bus is being brought in to finish the route. Students will of course be delayed getting home unfortunately but the important part is all are ok!,,Fri Aug 17 20:38:23 +0000 2018
ElizaBetsy13,My friend’s flight to Madison is delayed because a flight attendant was injured by a beverage cart and sent to the hospital. You don’t hear that every day.,,Thu Aug 16 21:37:09 +0000 2018
ByDanaRieck,"RT @bellevillenewsd: Two injured, trains delayed after car crossing tracks hit by MetroLink train https://t.co/3Gd13rOCkH","Two injured, trains delayed after car crossing tracks hit by MetroLink train https://t.co/3Gd13rOCkH",Thu Aug 16 18:23:48 +0000 2018
bellevillenewsd,"Two injured, trains delayed after car crossing tracks hit by MetroLink train https://t.co/3Gd13rOCkH",,Thu Aug 16 18:14:09 +0000 2018
EJFWZim,"@DRC says they are finally going for an election after a long war with the sitting president who has delayed them by 2 years for fear of loosing power. More than 300 people have died in this fight, some injured and others arrested, SADC support critical @2018SADCSummit @ZIMCODD1",,Thu Aug 16 12:56:31 +0000 2018
idomdavis,Train is delayed due to an injured dog on the line. New one on me although we’ve had a horse on the line before (spent most of the journey at walking pace as the train herded it down the track).,,Thu Aug 16 07:10:17 +0000 2018
webgonewild,Aaron Judge battles pain in injured wrist as return to Yankees lineup delayed https://t.co/n18hDoHIXX,,Thu Aug 16 02:35:15 +0000 2018
_dpaj,Latest: Aaron Judge battles pain in injured wrist as return to Yankees lineup delayed https://t.co/oHiNFiDlQZ via @NYDailyNews https://t.co/jcPTpZyj1Z,,Thu Aug 16 02:29:04 +0000 2018
tml21605,@EM00re16 No one was injured but my husband said that's a miracle because guys were right there. He said it's much worse than it looks. The new bridge is damaged so now it'll be delayed,,Thu Aug 16 00:25:08 +0000 2018
INJURED_FC,"RT @MrDtAFC: Just heard from a friend of mine who works at Spurs, one reason why the opening has been delayed is because they have 10,000 f…","Just heard from a friend of mine who works at Spurs, one reason why the opening has been delayed is because they have 10,000 fire alarms to test and they take 20 mins each to complete 😂",Wed Aug 15 23:20:23 +0000 2018
NyachKenya,RT @mmnjug: 33 @KenyaAirways passengers to Bangkok injured in road accident as they were being shuttled to a hotel after their flight was d…,33 @KenyaAirways passengers to Bangkok injured in road accident as they were being shuttled to a hotel after their flight was delayed at JKIA https://t.co/2PJcjhQUSz,Wed Aug 15 11:16:07 +0000 2018
remediesBot,"A flour mill has been delayed by their tenant, who caused on holiday. The court orders damages must place the injured party in the same position.",,Wed Aug 15 04:10:22 +0000 2018
DaRealBeezyJay,"RT @SliceWrestling: Update:

Dean Ambrose Has Been Injured Since December 2017 The Reason Recovery Time Was Delayed Is Due To Re-Injuring H…","Update:

Dean Ambrose Has Been Injured Since December 2017 The Reason Recovery Time Was Delayed Is Due To Re-Injuring His Bicep In March While In Rehabilitation Therapy. He Is Now In The Final Stages Of Medical Clearance And Will Be Set To Return By #SummerSlam Or Possibly Sooner https://t.co/X77KOvwkpm",Tue Aug 14 17:48:43 +0000 2018
fdave2,RT @LHS128Principal: Wildcat parents....we had a huge tree limb fall near main entrance.  No one was injured but after school traffic may b…,Wildcat parents....we had a huge tree limb fall near main entrance.  No one was injured but after school traffic may be delayed.  Huge thanks to City of Libertyville for sending team to remove debris &amp; clear drive way! We love our city partners! https://t.co/3fS356AliR,Tue Aug 14 16:04:00 +0000 2018
FrankObegi,RT @mmnjug: 33 @KenyaAirways passengers to Bangkok injured in road accident as they were being shuttled to a hotel after their flight was d…,33 @KenyaAirways passengers to Bangkok injured in road accident as they were being shuttled to a hotel after their flight was delayed at JKIA https://t.co/2PJcjhQUSz,Tue Aug 14 15:26:36 +0000 2018
HyruleNeedsHelp,RT @ReallyRisu: Our flight yesterday was delayed 3 hours so we missed the last connecting flight of the night and had to spend the night at…,"Our flight yesterday was delayed 3 hours so we missed the last connecting flight of the night and had to spend the night at a hotel, but rescued some injured crickets from the airport &amp; all of us got some food &amp; rest 💙

(They’re eating a fruit snack &amp; Powerade in a Kleenex box) https://t.co/FjYZZMwKEa",Tue Aug 14 15:20:03 +0000 2018
