dgzmnyanna,keepsafe po 😇 pray po kayo bago magstart sa 3am challenge. https://t.co/CZYhlOLqiR,,Thu Aug 16 14:35:46 +0000 2018
gpmariano,"Karamihan sa mga kabataan na pinapanalangin na sana bumagyo pa, syempre para wala nanamang pasok. Pero taliwas sa kanilang isipan na marami sa mga walang masilungan na, nagdarasal na bagyo'y sana tumila na. Kasi dina nila kaya.

#keepsafe! #pray!",,Wed Aug 15 01:24:36 +0000 2018
ysmnsndm,Very very very very long weekend. Keepsafe everyone! Pray! 🙏🏻,,Tue Aug 14 06:05:58 +0000 2018
kattychoy,"Ingat kayo! Ingat sa paglusong sa baha baka di mo mamalayan na may kanal, wag puro live sa fb. Pray den keepsafe &amp; Godbless💖 https://t.co/5rbu7pxCmW",,Mon Aug 13 16:51:23 +0000 2018
RRC_bully,"Just pray about it, there's no need to keep worrying. #Prayingforsafety #KeepSafe",,Mon Aug 13 11:39:27 +0000 2018
PasiaRenuell,"Tatlong bagyo sa labas ng par tapos may isang low pressure area sa loob ng par, ano nangyayari sa mundo!? Keepsafe everyone and pray!",,Mon Aug 13 11:15:10 +0000 2018
Flowersevennnn,"RT @Flowersevennnn: Goodnight ✨everyone,keep safe,i purple💜 y'all dont forget to pray before you sleep💤
#goodnightbts
#keepsafe https://t.c…","Goodnight ✨everyone,keep safe,i purple💜 y'all dont forget to pray before you sleep💤
#goodnightbts
#keepsafe https://t.co/Vjcss2ukr4",Sun Aug 12 15:40:52 +0000 2018
Flowersevennnn,"Goodnight ✨everyone,keep safe,i purple💜 y'all dont forget to pray before you sleep💤
#goodnightbts
#keepsafe https://t.co/Vjcss2ukr4",,Sun Aug 12 15:19:05 +0000 2018
crtnylove_,"uy, halaaaa ang lakas na naman. keepsafe😢 pag pray nadin natin yung mga nabahaan😭",,Sun Aug 12 12:40:25 +0000 2018
sheyie716,"Let's pray, na sana wag nang umulan ngayong magdamag. Keepsafe everyone!",,Sun Aug 12 09:38:28 +0000 2018
KwisyaLowrete,Ansakit sa puso kapag nakikita mo yung ibang tao nahihirapan dahil sa baha. Sobrang taas na ng tubig tapos sumasabay pa yung mga kuryenteng nagsisiputukan hays. Pray for us! 🙏 Keepsafe everyone.,,Sun Aug 12 08:38:42 +0000 2018
maranon20,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sun Aug 12 04:24:59 +0000 2018
jmtorrecampo22,"Pray for Marikina
Pray for Manila
Pray for Luzon 😭😭😭💔💔💔

Affected Flood and State of Calamity due to heavy rainfalls. 

#KeepSafe guys",,Sun Aug 12 03:55:22 +0000 2018
fmbagsic,Still raining outside. Most places are flooded. How are you all doing? We are still evacuees for now. Keep safe! #keepsafe #pray #typhoonkarding #raining https://t.co/1wtdGGNzN9,,Sun Aug 12 02:48:47 +0000 2018
matbagsic,Still raining outside. Most places are flooded. How are you all doing? We are still evacuees for now. Keep safe! #keepsafe #pray #typhoonkarding #raining https://t.co/aEOBvvTSkZ,,Sun Aug 12 02:48:18 +0000 2018
HiandySecretar1,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sun Aug 12 02:12:09 +0000 2018
TaiwanMayward,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sun Aug 12 01:30:14 +0000 2018
iamjulieann0707,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sun Aug 12 00:19:47 +0000 2018
eskrengee20,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 23:49:29 +0000 2018
MCastinada,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 23:17:05 +0000 2018
windegracia,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 23:05:42 +0000 2018
sam2simon1,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 23:03:50 +0000 2018
mitch_catipay,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 22:40:48 +0000 2018
monic_allyson,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 22:39:31 +0000 2018
AdriannecUy,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 22:28:37 +0000 2018
lilr_lilj12,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 22:27:25 +0000 2018
MatthewHudcovic,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 22:06:08 +0000 2018
ecajanemakidato,6am na gising padin ako hehe hiiiiii goodmorning!!! keepsafe Pray lang :&gt;,,Sat Aug 11 21:56:11 +0000 2018
Ivynamoca271,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 21:22:55 +0000 2018
ROLLER57920702,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 21:09:22 +0000 2018
BEMYGIRLxMAYMAY,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 20:43:05 +0000 2018
miinjakzui,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 20:28:52 +0000 2018
joyhizon22,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 19:12:24 +0000 2018
sarahgismydrug,"RT @DalivaGerald: Lets pray for the safety of all our kababayan specially sa marikina.
Keepsafe everyone.

#RescuePH","Lets pray for the safety of all our kababayan specially sa marikina.
Keepsafe everyone.

#RescuePH",Sat Aug 11 19:04:35 +0000 2018
DalivaGerald,"Lets pray for the safety of all our kababayan specially sa marikina.
Keepsafe everyone.

#RescuePH",,Sat Aug 11 19:00:33 +0000 2018
JackieRevoltar,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 18:21:39 +0000 2018
MyHappyCheeks22,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 18:11:51 +0000 2018
