CrettyFace,RT @CougarsBKB: Our hearts and prayers go out to the family of our very own Steven Rosenthal. Our hearts are heavy. This loss is unimaginab…,Our hearts and prayers go out to the family of our very own Steven Rosenthal. Our hearts are heavy. This loss is unimaginable! We love you Steve. Rest easy! #Cougar4Life 🛑🔵❤️💙 @cbschicago @nbcchicago @ABC7Chicago @Suntimes @ChiTribPreps @RTCMedPrep https://t.co/VK7HAMZoxc,Sun Aug 19 00:47:41 +0000 2018
Trew1Trew,"@KalinaBoulter Happy Sunday to you, too with love and prayers, too. :)",,Sun Aug 19 00:47:15 +0000 2018
taylor_ellen,love and prayers for my beautiful foxy who was laid to rest today... thank you for being so kind and wonderful to me nonnie. I love you and miss you so much ❤️,,Sun Aug 19 00:46:55 +0000 2018
Trew1Trew,"RT @KalinaBoulter: @Trew1Trew Thank you.
Peaceful night.
Happy Sunday.
Love and prayers","@Trew1Trew Thank you.
Peaceful night.
Happy Sunday.
Love and prayers",Sun Aug 19 00:45:47 +0000 2018
grierxcarstairs,"RT @archivesgowmez: sending my prayers and my love to the owner of this account who's sadly at the hospital since this morning,she's suffer…","sending my prayers and my love to the owner of this account who's sadly at the hospital since this morning,she's suffering and in this difficult day,i wanna say we are all here for you❤ https://t.co/QF2zpTkKH7",Sun Aug 19 00:45:30 +0000 2018
Ivyrobles18,"RT @flormag2: Blessed Sunday!
My KimXi heart is so full,so many blessings coming to both of them be it personal or professional side,just l…","Blessed Sunday!
My KimXi heart is so full,so many blessings coming to both of them be it personal or professional side,just love how they find time to be together &amp; be there for each other,XL said ""we are just being us"".
They don't know I exist but they are always in my prayers.",Sun Aug 19 00:45:06 +0000 2018
Jordan43235458,"had a very bad crash today, I’m not gonna release any details until ik for sure, but please keep me in the prayers! much love💜",,Sun Aug 19 00:44:54 +0000 2018
Jara29036032,"RT @MiraTMansterr: My happiness is centered around you--- @aldenrichards02 and @mainedcm , of course next to my children and Tito Poch. Nak…","My happiness is centered around you--- @aldenrichards02 and @mainedcm , of course next to my children and Tito Poch. Nakacostume ka pa Victor Magtanggol? Thank you for making me happy. Be assured of my prayers, love &amp; support to you &amp; Maine. Love you both.♥️

#ALDUBHatidAySaya https://t.co/hdlrptDNO2",Sun Aug 19 00:43:51 +0000 2018
GloriaJ2013,Happy 15th Birthday!  #GODsCreation a gift to those who love and care! #MakingaPositiveDifference! Prayers #goodhealth &amp; #blessings!+++81818gj https://t.co/qsIZEGSuRn,,Sun Aug 19 00:43:41 +0000 2018
PeanutBrittle13,"@PuppyNumber7 @TheMooshies Oh Thomas, no! Sending prayers love and hugs. Please feel better soon!",,Sun Aug 19 00:43:27 +0000 2018
Mrs_Bowman_30,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sun Aug 19 00:42:24 +0000 2018
BrittanyKeise,@inbeliefs Your family will be in my prayers. I pray God’s will is done. All my love as well💛💛,,Sun Aug 19 00:42:24 +0000 2018
joecoppp,RT @KidRock: Sending lots of love and prayers for Aretha. Truly a woman god has his hands on. All of my RESPECT - forever. Kid Rock https:/…,Sending lots of love and prayers for Aretha. Truly a woman god has his hands on. All of my RESPECT - forever. Kid Rock https://t.co/MLwpXWS5sT,Sun Aug 19 00:42:16 +0000 2018
Kevenedwards,"RT @GonzagaBaseball: Calling all Zags! Ex-Zag Clayton Moretensen’s son Miles Mortensen and the entire Mortensen Family need our thoughts, p…","Calling all Zags! Ex-Zag Clayton Moretensen’s son Miles Mortensen and the entire Mortensen Family need our thoughts, prayers, and love during this very difficult time. 🙏🏻💙#letsgomiles https://t.co/oxherPYMvU",Sun Aug 19 00:42:12 +0000 2018
chinarugel,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sun Aug 19 00:42:04 +0000 2018
chari_xo,"RT @JanetsBUN: Dear Diary, today I survived the New York City subway. I would like to thank God and all my guardian buns for the prayers. L…","Dear Diary, today I survived the New York City subway. I would like to thank God and all my guardian buns for the prayers. Love, BUN. 

P.S. Never again.

P.S.S. Janet got me f**ked up. https://t.co/6FVmvqypFK",Sun Aug 19 00:41:25 +0000 2018
JessicaCliffo11,6. We talk about equality and ❤ like it's actually a thing that fucking matters to us. But if it's in your core how can you hate? People man. Acting like you all never made mistakes in your life. This family needs us man. All love &amp; prayers @CatherinePaiz  and @AustinMcbroom ❤,,Sun Aug 19 00:41:15 +0000 2018
Repolitics82,RT @nikkihaley: RT @USUN: We join the entire @UN and diplomatic community in celebrating his life and lifting the Annan family up in love a…,RT @USUN: We join the entire @UN and diplomatic community in celebrating his life and lifting the Annan family up in love and prayers. https://t.co/UVMactnXYt,Sun Aug 19 00:40:44 +0000 2018
