SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
orionjari,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 22:43:37 +0000 2018
kejsi34417243,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:43:03 +0000 2018
lostallinyu,"@agbsbride OMG UGH I HAVE ONE! So it was finals and it was like pouring rain! I went to go get a coffee bc i definitely needed it so i got it. I get to school, step out of the car and slip and fall! My entire coffee was gone! I hurt my knee and ya! Ppl saw and even teachers laughed at me :)",,Sat Aug 18 22:42:57 +0000 2018
jeffhillfox5,RT @AlexaLiackoFOX5: Am I in a car wash or something?! Rain is POURING and plenty of thunder and lightning In Dekalb County. @FOX5Atlanta @…,Am I in a car wash or something?! Rain is POURING and plenty of thunder and lightning In Dekalb County. @FOX5Atlanta @FOX5StormTeam https://t.co/QOKFFlF8tc,Sat Aug 18 22:42:27 +0000 2018
ElectricOctopu3,"Red rain is pouring down all over me
Peter Gabriel",,Sat Aug 18 22:41:16 +0000 2018
gingot1,"RT @StarWalkerVU: I knew today was the day. Pouring down rain, I march down the driveway, trek across the sidewalk. No excuses. Pull my sea…","I knew today was the day. Pouring down rain, I march down the driveway, trek across the sidewalk. No excuses. Pull my season tickets from the mailbox, secure them safely and trot back into the house. All out effort. Fully committed.

Im doing my part, @Nick_Zeppos. You're up.",Sat Aug 18 22:40:50 +0000 2018
Emmalernouttt,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:39:20 +0000 2018
crissicole,"@redsunrising @godsmack @Shinedown @redsunrising , Rain or shine?  ☔️☔️. It’s freaking pouring.",,Sat Aug 18 22:38:34 +0000 2018
zencuevas,"I know your eyes in the morning sun
I feel you touch me in the pouring rain
And the moment that you wander far from me
I want t... — 🤗😊 https://t.co/d8zl5Szj5U",,Sat Aug 18 22:37:18 +0000 2018
brawday,"Jim case 4 UK 
 We don't need to paint our faces, make our weans do things they have no idea what for or even paint wee stones to show our support for our union with the ruk, we don't even need to walk for miles in the pouring rain, a wee x on a polling card at the ballot box 7",,Sat Aug 18 22:37:03 +0000 2018
TNGMadPres,"RT @docker2k: 3 hour drive in pouring rain, $46 chicken tender/fries, delayed #bucs #cubsgame- but hey #freetee  #boysnightout @ PNC Park h…","3 hour drive in pouring rain, $46 chicken tender/fries, delayed #bucs #cubsgame- but hey #freetee  #boysnightout @ PNC Park https://t.co/KiWFkmkZJV",Sat Aug 18 22:36:28 +0000 2018
inft7_carpediem,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 22:35:44 +0000 2018
RachieSkeleton,"Absolutely pouring it down, I love the rain",,Sat Aug 18 22:34:51 +0000 2018
shesdanger,Let me fuck you hard in the pouring rain,,Sat Aug 18 22:30:31 +0000 2018
MOvering,"Oh by the way, it’s absolutely POURING rain now",,Sat Aug 18 22:29:16 +0000 2018
NikitaMarie__,@KaRaRacn75 @WWENXTGuy @LouisVMahon @WWE4Nina @Rubbishy_Blood @RobbyRobJames @P1Ange1 @KMcjazzy @yeahuknowit1991 @AlfredoReyes24 @mayorofcanton @ReBourneAgain @eagles1229 @nitara38 @cnationmaverick @HeelBalor @MichaelTreacy10 I think so. It’s a bunch of thunder and lightning storms with pouring rain I’ve never seen so many back to back thunder storms with so much rain,,Sat Aug 18 22:28:38 +0000 2018
arianajupiters,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:28:10 +0000 2018
foxcci_,I’m pissed asf Apple weather saidur wasn’t gonna rain so my aaa at the car wash cleaning my car out and it’s pouring 😑,,Sat Aug 18 22:27:46 +0000 2018
HeyyKeepCalm,"Before I die, I would like to kiss someone in the pouring rain.",,Sat Aug 18 22:27:07 +0000 2018
Bubalub1021,"RT @jasoninthehouse: When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took…","When I want to get away and clear my head, I enjoy wildlife photography. Go to @jasoninthehouse to see my photos. Took this on our Alaska trip in the pouring rain. https://t.co/PakSdO4OVV",Sat Aug 18 22:24:41 +0000 2018
