radiormnpodcast,"Typhoons and hurricanes can trigger large #earthquakes in tropical regions, a study suggests. Haiti's 2010 magnitude-7.0 temblor and a 6.4-magnitude quake that struck Kaohsiung, Taiwan, the same year, fit this pattern https://t.co/DhpWCnjzwy",,Sat Aug 18 19:04:48 +0000 2018
fletchdr222,"Pacific rim on fire as the 7th major quake in 5 days struck tonight when a magnitude 6.5 rocked Kampungbajo, Indonesia https://t.co/zZ7bil2nc3",,Sat Aug 18 17:17:14 +0000 2018
johnpaily,The 8th major quake in 5 days struck Costa Rica last night along with Peru's Sabancaya volcanoa spewing ash two miles into the air https://t.co/Og7A8Bq5ct,,Sat Aug 18 16:54:33 +0000 2018
survivingearth,"Pacific rim on fire as the 7th major quake in 5 days struck tonight when a magnitude 6.5 rocked Kampungbajo, Indonesia https://t.co/G6VDGdB9iZ",,Sat Aug 18 15:05:54 +0000 2018
survivingearth,The 8th major quake in 5 days struck Costa Rica last night along with Peru's Sabancaya volcanoa spewing ash two miles into the air https://t.co/d1DWtngg8k,,Sat Aug 18 15:05:03 +0000 2018
DeliberateGroup,RT @LoudounSheriff: Did you feel the earthquake in #Loudoun? The U.S. Geological Survey (USGS) reported a 1.7 magnitude quake struck just a…,"Did you feel the earthquake in #Loudoun? The U.S. Geological Survey (USGS) reported a 1.7 magnitude quake struck just after midnight.

We hear some residents felt a slight shake and rumble in parts of #Lansdowne. 

Here are a few reminders how to prepare: https://t.co/cIeZ2CAR9Z https://t.co/fOjL7euQoy",Sat Aug 18 14:21:36 +0000 2018
ClintCastleford,"RT @FW1SHINE: FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes repor…","FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes reported that the quake had a magnitude of 6.0 and struck at 5:22 p.m. local time at a depth of 12 miles (19 kilometers) epicenter north of the town of #Golfito https://t.co/Ka3diwkbdB",Sat Aug 18 14:12:00 +0000 2018
AngeloftheSeize,"RT @FW1SHINE: FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes repor…","FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes reported that the quake had a magnitude of 6.0 and struck at 5:22 p.m. local time at a depth of 12 miles (19 kilometers) epicenter north of the town of #Golfito https://t.co/Ka3diwkbdB",Sat Aug 18 14:07:29 +0000 2018
FW1SHINE,"FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes reported that the quake had a magnitude of 6.0 and struck at 5:22 p.m. local time at a depth of 12 miles (19 kilometers) epicenter north of the town of #Golfito https://t.co/Ka3diwkbdB",,Sat Aug 18 14:03:38 +0000 2018
ocofqijx,"3.9-magnitude quake strikes near Borrego Springs https://t.co/AYnZV84Ejq

A 3.9-magnitude earthquake struck about 10 miles north, northeast of Borrego Springs Wednesday afternoon.

copyright © 2018

August 18, 2018 at 02:38AM",,Sat Aug 18 09:38:12 +0000 2018
ranaalikash,"There were no immediate reports of damage. (Representational)

SAN JOSE: 

A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the U.S. Geological Survey said, but there were no immediate reports of damages in the… https://t.co/tcVFdIl4kZ https://t.co/fsM2R1tC46",,Sat Aug 18 07:03:45 +0000 2018
MusafirNamah,"A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, US Geological Survey said, but there were no immediate reports of damages in the two Central American countries. #earthquake #CostaRica",,Sat Aug 18 06:59:34 +0000 2018
ggyubboo,RT @ABC: Cellphone video captures the moment a 23-year-old woman was rescued from underneath the ruins of a collapsed minimart two days aft…,"Cellphone video captures the moment a 23-year-old woman was rescued from underneath the ruins of a collapsed minimart two days after a magnitude 7.0 earthquake struck Indonesia's resort island of Lombok.

The woman is reportedly recovering in the hospital. https://t.co/TppD0vUE6W https://t.co/luPT06QKhE",Sat Aug 18 04:10:45 +0000 2018
MarMulato,"RT @NewsDingo: A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the US Geological Survey said.…","A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the US Geological Survey said.
https://t.co/nHUydNiBQf",Sat Aug 18 02:34:59 +0000 2018
NewsDingo,"A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the US Geological Survey said.
https://t.co/nHUydNiBQf",,Sat Aug 18 02:31:04 +0000 2018
stockawiki,"(Quake rattles southern Costa Rica, Panama; no damage reported) StockaWiki | Fast Breaking Financial News  

SAN JOSE (Reuters) – A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the U.S.... - https://t.co/ROgw00KZPr",,Sat Aug 18 01:26:09 +0000 2018
lynda3035,RT @Cinecraig: A 6.0-magnitude earthquake struck Costa Rica this afternoon https://t.co/nHGjLnxifs #CostaRica #Panama #CentralAmerica #eart…,A 6.0-magnitude earthquake struck Costa Rica this afternoon https://t.co/nHGjLnxifs #CostaRica #Panama #CentralAmerica #earthquake #quake,Sat Aug 18 00:28:43 +0000 2018
stockawiki,"(Magnitude 6.0 quake hits southern Costa Rica: USGS) StockaWiki | Fast Breaking Financial News  

(Reuters) – A magnitude 6.0 quake struck southern Costa Rica on Friday, close to the border with Panama, the U.S. Geological... - https://t.co/uxW6MG9Csc",,Sat Aug 18 00:27:23 +0000 2018
