hoeslove_peewee,Its not fair i get treated like shit when u put ya bitches on a pedestal i work everyday slave everyday and i get called dumb and stupid when im not on time doing some for u its not fair its not,,Sat Aug 18 20:37:37 +0000 2018
honeyraalene,RT @ariannnanicole_: some of you bitches are god damn stupid it’s funny,some of you bitches are god damn stupid it’s funny,Sat Aug 18 20:35:51 +0000 2018
kamisharief,RT @LilBootieNiy: bitches drinking stupid juice for breakfast huh 😂 https://t.co/0dg59gSlxP,bitches drinking stupid juice for breakfast huh 😂 https://t.co/0dg59gSlxP,Sat Aug 18 20:34:31 +0000 2018
_issabrat,Ion understand how fucking stupid you bitches can get,,Sat Aug 18 20:32:37 +0000 2018
MaxonMS,RT @miamimama305: Omarosa: dog                                       Football players: sons of bitches.…,Omarosa: dog                                       Football players: sons of bitches.                                        Don Lemon: stupid                Lebron James and Maxine Waters: low IQ                           Putin: fine. Kim jong Un: Honorable. Nazis: Very Fine.,Sat Aug 18 20:31:21 +0000 2018
PinkKisssess_,I will literally bag 10 bitches that are standing right next to eachother because they all look tf good &amp; chancis thinks niggas watching me walk is a problem lmfaooo sis be ready to shoot a nigga head offf right with her stupid ass back up in the back like “B WHY YOU DRAGGING IT”,,Sat Aug 18 20:29:51 +0000 2018
PLASTiCSAVAGE,@BreadThaRebel I said what the fuck I said about 14 tweets ago and yet you and the rest of Hoe Buddens internet clown parade continue to tweet me! I really check bitches in real life don’t play with me stupid. I’ve been done with you. You keep coming back to say more!,,Sat Aug 18 20:29:36 +0000 2018
m7cudi,"it sux being tha only friend in yo group who hella fucs w trap music cos every time i get tha aux, em bitches jst sittin there unamused. like enjoy tha damn music stupid bitch",,Sat Aug 18 20:25:22 +0000 2018
BrandellB,RT @ariannnanicole_: some of you bitches are god damn stupid it’s funny,some of you bitches are god damn stupid it’s funny,Sat Aug 18 20:25:18 +0000 2018
LizbethMm416,RT @MaquillajeAngel: shoutout to all five of my friends 😘 love y’all stupid bitches,shoutout to all five of my friends 😘 love y’all stupid bitches,Sat Aug 18 20:23:51 +0000 2018
ariannnanicole_,some of you bitches are god damn stupid it’s funny,,Sat Aug 18 20:23:35 +0000 2018
lolCascash,Bored bitter bum bitches tf im jus tryna get brunch wit yo stupid pretty ass https://t.co/bQbxlPfymX,,Sat Aug 18 20:21:31 +0000 2018
leftovercrack_,i’m so broke rn from letting so many people borrow money. stupid broke bitches that haven’t paid me back i swear imma get rose on them. if u owe me money this is ur reminder to pay me back u ugly ass noodle head,,Sat Aug 18 20:19:28 +0000 2018
