ForensicNurse91,"@CoreyDixon33 @CTVToronto @CP24 @HayleyBCooper @BarbDGtoronto @TwitterCanada @CityNews @680NEWS @TorontoStar @CBCToronto @globalnewsto Corey, as another service dog team, we would like to send our love and sympathy’s to you. We are so sorry for the loss of your beautiful service to Aspen. I hope you get justice for sweet aspen. I know you’ll need another service dog. You will be in our thoughts and prayers. 💔🐾",,Sat Aug 18 21:27:56 +0000 2018
Stopfemanowxxx2,"RT @tedlieu: Dear @realDonaldTrump Cabinet: If you fly coach, not only do you get free peanuts, you can also get free pretzels. (But few th…","Dear @realDonaldTrump Cabinet: If you fly coach, not only do you get free peanuts, you can also get free pretzels. (But few things can beat the honey roasted peanuts on @SouthwestAir).

You should try flying coach. The people would appreciate it.

#SaturdayMorning Thoughts https://t.co/BH3WthrkUO",Sat Aug 18 21:27:55 +0000 2018
frespirit01,"RT @jojoh888: Remember the New Mexico compound where the kids were being trained to be school shooters? It was destroyed by authorities, ho…","Remember the New Mexico compound where the kids were being trained to be school shooters? It was destroyed by authorities, however evidence was left behind according to this video. What are your thoughts? 

#MAGA
#NewMexico
#NewMexicoCompound https://t.co/pyOo51YrtB",Sat Aug 18 21:27:55 +0000 2018
Benkaf_BMG,"RT @ChelseaFC: Maurizio Sarri has arrived to give us his post-match thoughts... 

#CHEARS https://t.co/cWlbqGxW73","Maurizio Sarri has arrived to give us his post-match thoughts... 

#CHEARS https://t.co/cWlbqGxW73",Sat Aug 18 21:27:54 +0000 2018
theupperroom4,"You learn at a very early age to build strongholds because of negative thoughts and emotions. Strongholds are fortified ways of thinking. Your thinking is always in the negative not the positive. You trust no one. When you meet Jesus, you will find that H…https://t.co/N3r9g4tzrc",,Sat Aug 18 21:27:54 +0000 2018
JeanPowers,@marcorubio Your thoughts? Is this information just the tip of an iceberg? Let all Senators have access to his papers. Be fair. Be loyal to America. Be BRAVE. https://t.co/Ld0bftiV4f,,Sat Aug 18 21:27:54 +0000 2018
Xhinaba1,"RT @AlexGoldberg_: Chelsea - Arsenal thoughts: 

- Morata found confidence
- Alonso great attacking
- Fullbacks worrying defensively
- Luiz…","Chelsea - Arsenal thoughts: 

- Morata found confidence
- Alonso great attacking
- Fullbacks worrying defensively
- Luiz = Not a good defender
- Pedro wild but useful 
- Willian’s work-rate is overrated
- Kanté has been unleashed
- Kovačič perfect for Sarri 
- Hazard = Best in PL",Sat Aug 18 21:27:53 +0000 2018
fbcuvn_,@WWTBADOND90210 gonna get u this for ur bday thoughts,,Sat Aug 18 21:27:53 +0000 2018
StephenCook68,"RT @jeremycorbyn: Kofi Annan dedicated his life to building a more just and peaceful world. 

His efforts in support of conflict resolution…","Kofi Annan dedicated his life to building a more just and peaceful world. 

His efforts in support of conflict resolution and human rights will be remembered. He looked for a peaceful path when others looked for war.

My thoughts are with his family and loved ones.",Sat Aug 18 21:27:52 +0000 2018
jaswin26,"RT @JustinTrudeau: Tragic news from Kerala, India - Canada sends its deepest condolences to all those who have lost a loved one in the deva…","Tragic news from Kerala, India - Canada sends its deepest condolences to all those who have lost a loved one in the devastating floods. Our thoughts are with everyone affected.",Sat Aug 18 21:27:52 +0000 2018
Jhaleesi_,Happy thoughts and early nights to fix this mess,,Sat Aug 18 21:27:52 +0000 2018
