kyoshino,This is continuing coverage of California's deadly wildfires. 11 people are dead and fire has scorched hundreds of thousands of acres and destroyed countless homes. https://t.co/gjD7IkXnaO,,Thu Aug 16 15:05:34 +0000 2018
KatlegoJunior16,"RT @AlexanderXV: Moment #CarrFire Update:
- At least 5 people dead from wildfire in Redding, #California
- Fire has burnt nearly 81,000 acr…","Moment #CarrFire Update:
- At least 5 people dead from wildfire in Redding, #California
- Fire has burnt nearly 81,000 acres, only 5% contained
- 17 People missing
- 500 structures destroyed, 5,000 threatened
- “Firenadoes or fire tornadoes  reported in the area V:@PMBreakingNews https://t.co/I306CMl0ev",Sun Aug 12 21:03:37 +0000 2018
wind_in_grass,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Sun Aug 12 02:55:31 +0000 2018
abbreviationism,"@KenLayne Hey, Ken, how about a little perspective. People are dead. Hundreds of acres of land is destroyed, millions of dollars in damage to infrastructure and homes. And you think keeping lighters from arsonists is the punishment? Nah. They should be in jail forever, or executed",,Fri Aug 10 16:47:38 +0000 2018
2014_judi,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 10 15:31:27 +0000 2018
oswaldheston,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 10 06:07:43 +0000 2018
mnewsince,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 10 03:33:24 +0000 2018
ebookitude,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Thu Aug 09 09:37:57 +0000 2018
UncommonSense50,I am a native Californian from San Joaquin Valley. The Dems have removed water from 1000s of acres of farmland &amp; destroyed lives. Drive the roads-miles of dead walnut/apricot/peach trees. Dems are spending BILLIONS on a bullet train noone wants vs a WATER tunnel everyone needs. https://t.co/Cu0jJrXMIH,,Wed Aug 08 16:30:22 +0000 2018
CarlaJNeal,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Wed Aug 08 15:39:49 +0000 2018
