gift_kibona,RT @KTNNews: Transport CS James Macharia has warned that action would be taken against all individuals constructing sub-standard buildings.…,"Transport CS James Macharia has warned that action would be taken against all individuals constructing sub-standard buildings. He said the government will not sit back and watch more people being killed by collapsed buildings
#KTNNewsCentre https://t.co/P2fLPXhAk9",Sat Aug 18 08:28:42 +0000 2018
KTNNews,"Transport CS James Macharia has warned that action would be taken against all individuals constructing sub-standard buildings. He said the government will not sit back and watch more people being killed by collapsed buildings
#KTNNewsCentre https://t.co/P2fLPXhAk9",,Sat Aug 18 08:23:39 +0000 2018
tw_mahesh,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 08:19:33 +0000 2018
MaheshKottarat1,"We -Kerala- need more support to build from the core/scratch.
Collapsed bridges, roads, buildings, shopping malls, residences, flats, bus stations, river banks, high range roads, highways.
Join with us, please.
@PMOIndia @narendramodi @rajnathsingh @SushmaSwaraj",,Sat Aug 18 08:12:28 +0000 2018
BhaskaraMurti,Government offices in dilapidated buildings pose a threat to the emaployes in . An employee of sub treaury office in Kakinada dist AP is dead when the slab of the old building collapsed .,,Sat Aug 18 06:49:51 +0000 2018
rajsan2017,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 06:08:07 +0000 2018
ArunXavier2008,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 05:55:06 +0000 2018
SGK19551,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 04:56:23 +0000 2018
bolsagarbol,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 04:50:03 +0000 2018
muraliks_11,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 02:46:50 +0000 2018
VirtualThinker,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 02:27:20 +0000 2018
rajs51,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 02:24:07 +0000 2018
5914f38359c44d2,"RT @unnis_m: Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; wate…","Munnar,the beautiful hill station is collapsed and isolated due to heavy rain and #floods.Landslide, collapsed buildings&amp; waterlogged roads.Shocking to see the ruined face of #Munnar.Plz help #Kerala. Donate to #CMReliefFund.Visuals Via @Sebinster #KeralaFloods @jamewils #Thread https://t.co/ZsPzbvIqwP",Sat Aug 18 02:09:14 +0000 2018
