sreejith_snair,"Confirmed
Family with 5 senior citizens ,handicapped  brother. Trapped  at the first floor of house. Mobile phones are dead.
loc:K P Thamarakshan Road, near Chakkumarassery temple, North paravur, ernakulam.
Contacts :9526143752
#KeralaFloods #KeralaFloodRescue #KeralaFloodRelief",,Sat Aug 18 17:49:54 +0000 2018
swordinthedark,@yea_BUDDE confirmed that the deer is dead and has a broken neck. Good!,,Sat Aug 18 17:49:46 +0000 2018
justintomitch,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:47:12 +0000 2018
teeisme4,The NFL is dead.  Confirmed suicide. News on ESPN at 11. NOBODY CARES. The league would have to pay me to watch. Doubt they have enough money to get that to happen! https://t.co/rwI8UAR4Ls,,Sat Aug 18 17:45:36 +0000 2018
LilMonster2013,"Korn lead singer's estranged wife, 39, confirmed dead https://t.co/HPW2wHQt9K",,Sat Aug 18 17:35:17 +0000 2018
sleepybatts,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:35:06 +0000 2018
AxdrianBEE,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:33:02 +0000 2018
ashya_yadav,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:32:42 +0000 2018
itsyaboylance,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:30:05 +0000 2018
KooPhante1,RT @Hitzjointgh: Shocking : UN Former Secretary Kofi Annan Confirmed Dead https://t.co/j7jlN6Apa1 via @oilcitytoday @KooPhante1,Shocking : UN Former Secretary Kofi Annan Confirmed Dead https://t.co/j7jlN6Apa1 via @oilcitytoday @KooPhante1,Sat Aug 18 17:29:55 +0000 2018
liesfail,"In late 2003, I remember reading an article (perhaps Outlook) where a ""source"" described ABV as ""half-dead"" (or something equivalent). One can see it in this interview by Sardesai. This was further confirmed by Shourie in his NDTV interview the other day.",,Sat Aug 18 17:29:35 +0000 2018
ji_agkvg,"RT @maleksolh: For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people…","For those of you who aren’t yet informed of the floods in Kerala, there are currently 324 confirmed dead and 2,30,00 people living in relief camps. 
These people need our help. Other than the commonly circulated donation links, Amazon and Zomato have campaigns to help donate: https://t.co/fi9QPTIJNu",Sat Aug 18 17:26:39 +0000 2018
