Ikramkh65444700,"RT @iam_farha: One person is dead and two others are injured, confirmed the local DPO, Syed Khalid Hamdani. The person who was killed is a…","One person is dead and two others are injured, confirmed the local DPO, Syed Khalid Hamdani. The person who was killed is a PTI worker, he said. He has been identified as Shahzeb.
@SalahuddinTano1 
@Iamyasirkhaan 
@iamAhmadokz 
@FatimaKH_N 
#JusticeForShahZeb https://t.co/hizv0sOevz",Sat Aug 18 16:41:52 +0000 2018
23f2a406d03d410,"RT @nemanigeria: Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 crit…","Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 critically injured and 5 others rescued alive at the collapsed building site in Jabi, Abuja. The rescue operation has been called off. https://t.co/UWKDG7jxZo",Sat Aug 18 15:11:45 +0000 2018
Okudu11,"RT @nemanigeria: Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 crit…","Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 critically injured and 5 others rescued alive at the collapsed building site in Jabi, Abuja. The rescue operation has been called off. https://t.co/UWKDG7jxZo",Sat Aug 18 13:39:57 +0000 2018
SaLeehMuhammed1,"RT @nemanigeria: Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 crit…","Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 critically injured and 5 others rescued alive at the collapsed building site in Jabi, Abuja. The rescue operation has been called off. https://t.co/UWKDG7jxZo",Sat Aug 18 11:41:40 +0000 2018
nemanigeria,"Building collapse update: The DG #NEMA Engr. Mustapha Maihaja, has confirmed the rescue of 7persons; 1 person dead, 1 critically injured and 5 others rescued alive at the collapsed building site in Jabi, Abuja. The rescue operation has been called off. https://t.co/UWKDG7jxZo",,Sat Aug 18 11:38:45 +0000 2018
DCorrespondents,"2 confirmed dead, 6 injured in Abuja building collapse https://t.co/qqTKxrn4W4 https://t.co/R4Pr3lfLjS",,Fri Aug 17 18:41:53 +0000 2018
TBRVorg,TBRV Breaking News | Biafran Women peacefully protesting early hours today 17/08/2018 are currently being shot at by the murderous Nigerian Police. Many were injured &amp; rushed to the hospitals. One already confirmed dead so far. Click the link to read more https://t.co/uJs4ecmw8V https://t.co/MFDn6kZe8X,,Fri Aug 17 15:19:48 +0000 2018
TeacherGodang,RT @GenoveseMichael: The death toll has again risen. 105 people confirmed dead following #lombokearthquake 236 seriously injured. Thousands…,The death toll has again risen. 105 people confirmed dead following #lombokearthquake 236 seriously injured. Thousands displaced.,Fri Aug 17 15:14:12 +0000 2018
news10nbc,"Officials say 38 people are confirmed dead and 15 injured. Prosecutors say 10 to 20 people might be unaccounted for.
https://t.co/jnk1m5f0hG",,Fri Aug 17 11:56:27 +0000 2018
haro_arnold,RT @GenoveseMichael: The death toll has again risen. 105 people confirmed dead following #lombokearthquake 236 seriously injured. Thousands…,The death toll has again risen. 105 people confirmed dead following #lombokearthquake 236 seriously injured. Thousands displaced.,Fri Aug 17 07:05:44 +0000 2018
