Antony48214248,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 11:36:00 +0000 2018
cannibcorpseBOT,"I am feeding
Mutilated with remains, once again
In the dead destroy their fucking pain
I ripped from hands
Ready to torture
As",,Sat Aug 18 11:36:00 +0000 2018
blitzente,"RT @IjeomaOluo: A lynch mob is when a mob of people string you up a tree &amp; hang you until you're dead.

What you're experiencing is critici…","A lynch mob is when a mob of people string you up a tree &amp; hang you until you're dead.

What you're experiencing is criticism.

It's different.",Sat Aug 18 11:36:00 +0000 2018
may_veez,"RT @christsunami_: Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles,…","Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles, learned how to harness the earth in metal and created a whole police force in the future. Dead is what terra would be https://t.co/peL4rmrSQj",Sat Aug 18 11:35:59 +0000 2018
blinksonceuwus,@jaelikey BIJJ I AM DEAD BECAUSE OF THTA I WAS NOT WARNED IT WOULD BE LIKE THAT HELP A BIJJ OUT,,Sat Aug 18 11:35:59 +0000 2018
harmansingh9461,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 11:35:58 +0000 2018
modernmappillai,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 11:35:58 +0000 2018
TabanAlexS,"Koffi Annan is dead and my wish and only wish that racist bigoted Trump shouldn't in any way be part of the funeral and I am looking forward to see his tweet regarding that
# Trump is not a king",,Sat Aug 18 11:35:58 +0000 2018
MrThunderchurch,"RT @gregjames: If you don’t enjoy this, you’re dead inside https://t.co/OFwpd3RUzd","If you don’t enjoy this, you’re dead inside https://t.co/OFwpd3RUzd",Sat Aug 18 11:35:58 +0000 2018
90snuisance,dead,,Sat Aug 18 11:35:57 +0000 2018
akichan0369,【生放送】【steam】Dead by daylight を開始しました。 https://t.co/keBY7ijocK #lv315137664,,Sat Aug 18 11:35:56 +0000 2018
brownnoses,"RT @IndivisibleNet: So let us get this straight...

a Porn Star, Stormy Daniels⚡

a Playboy Bunny, Karen McDougal⚡

 a Reality Star Omarosa…","So let us get this straight...

a Porn Star, Stormy Daniels⚡

a Playboy Bunny, Karen McDougal⚡

 a Reality Star Omarosa ⚡

are bigger threats to Trump’s impeachment than Russia at this point.

The GOP party is dead.",Sat Aug 18 11:35:56 +0000 2018
shyamMSDian07,Foolish. That's an absolute Dead Plumb. Needless by Pujara,,Sat Aug 18 11:35:56 +0000 2018
VANGVA__,RT @skzoasis: ALL HYUNJIN STANS FOUND DEAD IN A DITCH BECAUSE OF THIS CLOSE UP https://t.co/rBNLfph3G9,ALL HYUNJIN STANS FOUND DEAD IN A DITCH BECAUSE OF THIS CLOSE UP https://t.co/rBNLfph3G9,Sat Aug 18 11:35:55 +0000 2018
aelidh,mamma mia here we go again's when I kissed the teacher:  brideshead revisited found dead in oxford,,Sat Aug 18 11:35:55 +0000 2018
LisaNovi777,RT @QRedPilledMe: LISTEN: Haunting Final Interview Surfaces of Dead Journalist Jen Moore; Her Chilling Details of Abuse of Alleged Clinton…,LISTEN: Haunting Final Interview Surfaces of Dead Journalist Jen Moore; Her Chilling Details of Abuse of Alleged Clinton Child Rape Victim –  https://t.co/Aw4NxWCRRN,Sat Aug 18 11:35:55 +0000 2018
ptomandpaul,"RT @Bakehouse2016: Ardent elderly Tory Brexiter in village today:
""You really don't need to carry on with your campaigning. Brexit is dead…","Ardent elderly Tory Brexiter in village today:
""You really don't need to carry on with your campaigning. Brexit is dead &amp; nothing can revive it.""
Me: ""How do you feel about that?""
He: ""Relief, actually""
Me: ""So you don't want Brexit to happen?""
He: ""No I don't. Dreadful mistake.""",Sat Aug 18 11:35:55 +0000 2018
darsh647,Plot twist: I never wake up; I was dead the whole time DUH DUH DUH,,Sat Aug 18 11:35:55 +0000 2018
jsivaluna1051,RT @jayfoley2131: Breaking news: Kofi Annan dead? https://t.co/tTMzxTtVZ8,Breaking news: Kofi Annan dead? https://t.co/tTMzxTtVZ8,Sat Aug 18 11:35:54 +0000 2018
OenniAmSha,"RT @Jazzthemermaid: He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform s…","He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform sexual acts. He'd been accused of assault SEVEN TIMES prior. His defence argued his scholarship would be lost if convicted. I am SO tired of these people winning https://t.co/qoI6KrS1dm",Sat Aug 18 11:35:54 +0000 2018
avalontrials,RT @Thomas1774Paine: The story is not about whether Clinton raped the boy. Only feds could sort that out. The story is she was probing thos…,The story is not about whether Clinton raped the boy. Only feds could sort that out. The story is she was probing those allegations and turned up dead AFTER feds ignored the Intel -- and possibly ratted her out. SO MANY naysayers trying to paint this as nothingburger. Won't work.,Sat Aug 18 11:35:54 +0000 2018
ill_u_graphic,Ich mag das @YouTube-Video: https://t.co/pdLw1QFczg HWSQ 💀 190: Geile SAU auf PIRSCH 🌟 DEAD BY DAYLIGHT,,Sat Aug 18 11:35:54 +0000 2018
bukari_timothy,"RT @JOYNEWSONTV: #JoyNewsToday   
Archbishop Most. Rev Charles Palmer Buckle has condemned extravagant funerals saying Ghanaians waste too…","#JoyNewsToday   
Archbishop Most. Rev Charles Palmer Buckle has condemned extravagant funerals saying Ghanaians waste too much resources on the dead. The Archbishop wants Ghanaians to learn to bury their dead relatives within the first or second week of their demise.",Sat Aug 18 11:35:54 +0000 2018
saralastella,"RT @Jazzthemermaid: He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform s…","He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform sexual acts. He'd been accused of assault SEVEN TIMES prior. His defence argued his scholarship would be lost if convicted. I am SO tired of these people winning https://t.co/qoI6KrS1dm",Sat Aug 18 11:35:54 +0000 2018
LaBabyScientist,"RT @nytimesworld: Kofi Annan headed the U.N. for two successive five-year terms, spanning a decade of turmoil that challenged the vast and…","Kofi Annan headed the U.N. for two successive five-year terms, spanning a decade of turmoil that challenged the vast and sprawling body and redefined its place in a changing world https://t.co/JqFADe9Sao",Sat Aug 18 11:35:54 +0000 2018
yunscenario,RT @_TOPicasso_: the boys must have been dead tired performing encores over encores 😂 what a thrillingly remarkable concert 🔥😍 the fans wer…,"the boys must have been dead tired performing encores over encores 😂 what a thrillingly remarkable concert 🔥😍 the fans were extremely hyped too ! thank you iKON and iKONIC 🧡
#iKONTINUEinSEOUL https://t.co/1FymjUAPza",Sat Aug 18 11:35:53 +0000 2018
NIKKONlKKA,"RT @nytimes: Breaking News: Kofi Annan is dead at 80. He helped redefine the U.N. during a 10-year run as secretary general. 
https://t.co/…","Breaking News: Kofi Annan is dead at 80. He helped redefine the U.N. during a 10-year run as secretary general. 
https://t.co/BtdyXZXrII",Sat Aug 18 11:35:53 +0000 2018
KayxWest,RT @quueennL: i dont beef wit bitches period. EITHER we fighting or it’s no issue. dead that weird shit.,i dont beef wit bitches period. EITHER we fighting or it’s no issue. dead that weird shit.,Sat Aug 18 11:35:52 +0000 2018
carrie_reynolds,"RT @danieldaekim: ""Hong has around 500 credits... [and} through impossible odds, racked up the most credits of any actor — living or dead —…","""Hong has around 500 credits... [and} through impossible odds, racked up the most credits of any actor — living or dead — on film, TV and stage."" #StandingOnHisShoulders

Dear @TheAcademy and @goldenglobes, this man deserves a Lifetime Achievement Award. https://t.co/CFM3Cqb1Vu",Sat Aug 18 11:35:52 +0000 2018
TnXOficial,"RT @patricksean333: All the X fans hating on Peep. 
All the Peep fans hating on X. 
Neither Peep or X would have wanted this 
This is Reall…","All the X fans hating on Peep. 
All the Peep fans hating on X. 
Neither Peep or X would have wanted this 
This is Really getting outta hand.. 
Disrespecting the Dead is Disgusting. 
Long Live Both of Them.
Both Legendary Artists &amp; I miss Both 
#LLJ #LLG #xxxtentacion #lilpeep https://t.co/OmlXrG3jXz",Sat Aug 18 11:35:51 +0000 2018
Ipodnan,"RT @1Romans58: Do wee add this one to the Clinton body count? I'm not sure, you decide for yourself. 

LISTEN: Haunting Final Interview Sur…","Do wee add this one to the Clinton body count? I'm not sure, you decide for yourself. 

LISTEN: Haunting Final Interview Surfaces of Dead Journalist Jen Moore; Her Chilling Details of Abuse of Alleged Clinton Rape Victim – https://t.co/NRGL03qyCR",Sat Aug 18 11:35:51 +0000 2018
Anjalkrishna4,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 11:35:51 +0000 2018
indybemine,"RT @hvernsol: OKAY BUT CAN YALL BELIEVE I GOT THESE BEAUTIFUL PICTURES OF KINO AT KCON I AM STILL SHOOOK DEAD 

#kcon #kino #pentagon https…","OKAY BUT CAN YALL BELIEVE I GOT THESE BEAUTIFUL PICTURES OF KINO AT KCON I AM STILL SHOOOK DEAD 

#kcon #kino #pentagon https://t.co/yjqL7DZKwg",Sat Aug 18 11:35:51 +0000 2018
sbeav239,RT @DCClothesline: Arkancide? Investigative Journalist Jen Moore Found Dead 1 Week After Interview Of Bill Clinton Rape Victim &amp; Reporting…,Arkancide? Investigative Journalist Jen Moore Found Dead 1 Week After Interview Of Bill Clinton Rape Victim &amp; Reporting To FBI &amp; DOJ https://t.co/EflIzbA5zb https://t.co/xUmVwEfcNh,Sat Aug 18 11:35:50 +0000 2018
techjenos,"RT @neos_salad: Why are all the comments under tens photography photo ""you outdid johnny"" ""johntography who?"" ""Johntography been found dead…","Why are all the comments under tens photography photo ""you outdid johnny"" ""johntography who?"" ""Johntography been found dead in a ditch""... That has nothing to do with Johnny.. Y'all coulda hyped up 10 but instead yall downgrading johnny... What if he reads those comments????",Sat Aug 18 11:35:50 +0000 2018
Perseverance__M,"RT @Jazzthemermaid: He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform s…","He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform sexual acts. He'd been accused of assault SEVEN TIMES prior. His defence argued his scholarship would be lost if convicted. I am SO tired of these people winning https://t.co/qoI6KrS1dm",Sat Aug 18 11:35:50 +0000 2018
illegukk,my moots are dead skdksf,,Sat Aug 18 11:35:50 +0000 2018
febb_7,"RT @christsunami_: Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles,…","Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles, learned how to harness the earth in metal and created a whole police force in the future. Dead is what terra would be https://t.co/peL4rmrSQj",Sat Aug 18 11:35:49 +0000 2018
FebinFjk,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 11:35:49 +0000 2018
Jamaul_K,"RT @christsunami_: Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles,…","Terra could see and still couldn’t control her fucking powers. Toph was blind, was taught to earthbend via badgermoles, learned how to harness the earth in metal and created a whole police force in the future. Dead is what terra would be https://t.co/peL4rmrSQj",Sat Aug 18 11:35:48 +0000 2018
lindachris2015,"RT @DEAR0616x0219: ""THE FIRST"" ⅡI 

drop-dead gorgeous T_________T❤️❤️

#ฟ่านเฉิงเฉิง #จัสติน #NEX7
#FANCHENGCHENG #JUSTIN https://t.co/qgg…","""THE FIRST"" ⅡI 

drop-dead gorgeous T_________T❤️❤️

#ฟ่านเฉิงเฉิง #จัสติน #NEX7
#FANCHENGCHENG #JUSTIN https://t.co/qggEq6nFD2",Sat Aug 18 11:35:48 +0000 2018
illestfairys,"RT @Jazzthemermaid: He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform s…","He led a 14 y/o to dead end in the woods, forced her to her knees, tied her up with a belt, and forced her to perform sexual acts. He'd been accused of assault SEVEN TIMES prior. His defence argued his scholarship would be lost if convicted. I am SO tired of these people winning https://t.co/qoI6KrS1dm",Sat Aug 18 11:35:48 +0000 2018
