wvvyxo,RT @sabreidxo: Yeah but a car could be coming at you at 60mph or faster and that baby would be seriously injured or dead... good god people…,Yeah but a car could be coming at you at 60mph or faster and that baby would be seriously injured or dead... good god people 😩 https://t.co/n3KngP7ikZ,Sat Aug 18 18:42:30 +0000 2018
UniverseAmor,"RT @davidlipson: In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Governm…","In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Government still hasn't declared a National Disaster. Incredible.",Sat Aug 18 18:42:28 +0000 2018
MediaNorms,"RT @ShekharGupta: Incredibly sad how some would even divide us Indians dead, sick, injured or drowning. Of course while they live smugly in…","Incredibly sad how some would even divide us Indians dead, sick, injured or drowning. Of course while they live smugly in virtuous West https://t.co/FjzVy926Dd",Sat Aug 18 18:41:16 +0000 2018
Afattqa,"RT @davidlipson: In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Governm…","In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Government still hasn't declared a National Disaster. Incredible.",Sat Aug 18 18:40:41 +0000 2018
sabreidxo,Yeah but a car could be coming at you at 60mph or faster and that baby would be seriously injured or dead... good god people 😩 https://t.co/n3KngP7ikZ,,Sat Aug 18 18:40:23 +0000 2018
SHIRLEYPARNELL,"RT @JewsagainstJC: .@jeremycorbyn I was next door when the bomb went off at The Dolphinarium. I will NEVER forget the carnage I saw, dead,…",".@jeremycorbyn I was next door when the bomb went off at The Dolphinarium. I will NEVER forget the carnage I saw, dead, injured &amp; maimed teenagers. I still have nightmares. You sat with the man responsible for this - you are beneath contempt. https://t.co/dBcCV9eg06",Sat Aug 18 18:39:58 +0000 2018
davidh7426,"Three dead, at least 51 injured after Ukrainian tour bus overturns in southeastern Poland -- Society's Child -- https://t.co/LDLhmC6vY7 https://t.co/p2TXLSWZ1o",,Sat Aug 18 18:37:25 +0000 2018
BarbaraGoggin4,"RT @DontDenyThe: @DVATW When you think about it and the claims of how badly these mosques have been treated, it all fades into insignifican…","@DVATW When you think about it and the claims of how badly these mosques have been treated, it all fades into insignificance after the Christian churches in #Surabaya were suicide bombed by Islamists 11 dead and 45 injured in just one of the three churches https://t.co/dmIoMutujz",Sat Aug 18 18:36:48 +0000 2018
justicepal2014,"RT @theIMEU: Israeli forces have shut down the Al-Aqsa Mosque compound, sparking protests from Palestinians in the holy city. The shut down…","Israeli forces have shut down the Al-Aqsa Mosque compound, sparking protests from Palestinians in the holy city. The shut down came after an alleged attempted attack on an Israeli policeman, who was not injured and shot the attacker dead https://t.co/Tf4hkU45JL https://t.co/Ze5yOeRL1N",Sat Aug 18 18:34:47 +0000 2018
Vikkibibi22,"RT @Nexteditionnews: Collapsed building: Rescue work completed, one dead, six injured –NEMA https://t.co/mqaDIXbiSz https://t.co/IP40GnmYc2","Collapsed building: Rescue work completed, one dead, six injured –NEMA https://t.co/mqaDIXbiSz https://t.co/IP40GnmYc2",Sat Aug 18 18:34:31 +0000 2018
