Samleighwilson,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:28:35 +0000 2018
sallybr83436617,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:28:25 +0000 2018
Av1anFlu,RT @korybing: FYI it’s ok to like Lovecraft’s work. Dude is dead as shit and rotting in the ground or whatever who cares. But acting like h…,FYI it’s ok to like Lovecraft’s work. Dude is dead as shit and rotting in the ground or whatever who cares. But acting like his shitty creepy beliefs didn’t influence the hell outta his work is missing a huge chunk of meaning from it.,Sat Aug 18 12:28:08 +0000 2018
Mistierain,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:27:30 +0000 2018
Saving_America_,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:27:07 +0000 2018
Kimperiale,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:26:52 +0000 2018
MyPlace4U,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:26:48 +0000 2018
candyq50,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:26:35 +0000 2018
Kelly62317572,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:26:35 +0000 2018
jpondolph,RT @Thomas1774Paine: Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyon…,Just to set the story straight. Myself and Jen Moore were the only ones to interview the alleged Clinton victim. Anyone else who claims they know what he said is simply posturing. MISSING THE POINT. Feds knew and did NOTHING. Not. One. Thing. Whistle blower dead month later.,Sat Aug 18 12:26:02 +0000 2018
