IrreverentItaly,"RT @Clifford_Lisa: A day of National mourning today in Italy. 38 dead and 20 still unaccounted for. This tragedy had me in tears, I haven't…","A day of National mourning today in Italy. 38 dead and 20 still unaccounted for. This tragedy had me in tears, I haven't been able to write about it till now. I... https://t.co/T7mplrguJR",Sat Aug 18 11:30:51 +0000 2018
Clifford_Lisa,"A day of National mourning today in Italy. 38 dead and 20 still unaccounted for. This tragedy had me in tears, I haven't been able to write about it till now. I... https://t.co/T7mplrguJR",,Sat Aug 18 09:24:36 +0000 2018
news10nbc,"Officials say 38 people are confirmed dead and 15 injured. Prosecutors say 10 to 20 people might be unaccounted for.
https://t.co/jnk1m5f0hG",,Fri Aug 17 11:56:27 +0000 2018
roberthobbs31,"another stadium full of dead addicts - 70,000 opioid-related overdose deaths in US unaccounted for since '99 https://t.co/wqzdS4Sdhe #heroinlivinganddying #overdose",,Thu Aug 16 12:40:24 +0000 2018
DanJohnsonNews,"There will be a state funeral in Genoa on Saturday to honour the dead. At least 39 people died when the bridge collapsed but there are still others unaccounted for so recovery work is going on here, with teams drilling and digging under the piles of rubble",,Thu Aug 16 06:01:17 +0000 2018
lovabelow98,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 18:19:06 +0000 2018
NoMorePolitical,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 14:39:00 +0000 2018
potatoffel,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 08:27:11 +0000 2018
faithlemedwards,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 06:24:58 +0000 2018
_lauranovo,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 05:01:33 +0000 2018
frisch_fish,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 04:12:27 +0000 2018
edelweiss330,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 03:25:21 +0000 2018
iam_ddollar,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 02:41:17 +0000 2018
kacy642003,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 01:49:29 +0000 2018
sequoia2001,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 01:34:03 +0000 2018
Snowbirdsix1000,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 01:30:35 +0000 2018
_liinaaaa,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:56:44 +0000 2018
OgbeniBiodun,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:47:26 +0000 2018
mari1218,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:45:37 +0000 2018
JaroGiesbrecht,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:35:52 +0000 2018
roberto_8596,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:30:02 +0000 2018
DeniseHenwood,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:27:50 +0000 2018
techboy_88,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:23:02 +0000 2018
geehall1,"RT @antoguerrera: BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 in…","BREAKING. Updated death toll of #Genoa bridge collapse:
- 31 dead (5 still not identified)
- 12 critically injured
- 4 injured
- unknown number of unaccounted (sources say they might be a dozen)
#Italy",Wed Aug 15 00:05:02 +0000 2018
