zendayay_,RT @softsadsatan: anyone else went through adolescence never giving a thought abt what they wanted to be when they grew up not planning any…,anyone else went through adolescence never giving a thought abt what they wanted to be when they grew up not planning anything bc u either thought u would’ve killed urself by then or just died and now ur just kinda sitting in ur final teenage yrs wondering what the f to do next,Sat Aug 18 13:07:40 +0000 2018
aryathedirewolf,"RT @rcbbstcrk: [during sex] 

me: i want you to hurt me

them: robb stark is dead

me: wait

them: he never reunited with his family and di…","[during sex] 

me: i want you to hurt me

them: robb stark is dead

me: wait

them: he never reunited with his family and died thinking most of them were already dead he-

me: STOP",Sat Aug 18 13:07:40 +0000 2018
Zacchhw,RT @drewxjacob1: it’s crazy how someone who calls you their bestfriend can go days or even weeks without talking to you or checking up on y…,it’s crazy how someone who calls you their bestfriend can go days or even weeks without talking to you or checking up on you. but if i died tomorrow everyone would front like they give a shit,Sat Aug 18 13:07:39 +0000 2018
givesmemagic,did he get emotional breakdown when ace died https://t.co/VXMz8XDKYV,,Sat Aug 18 13:07:39 +0000 2018
mskvarla36,"RT @LoveWW2Planes: He was shot down by a Hurricane whilst on an escort mission in 1942.He made a near perfect, forced, wheels-up landing on…","He was shot down by a Hurricane whilst on an escort mission in 1942.He made a near perfect, forced, wheels-up landing on the ice of a frozen lake. The plane sank through the ice an came to rest on the lake-bed. Widowitz died more than a year later in another crash landing. I… https://t.co/JeydvN0Fj2",Sat Aug 18 13:07:39 +0000 2018
THESAMUELSTEEL,@karmamichele @thebestcloser Yeah I heard that John Lennon said some positive things about Pres Reagan before he died I guess,,Sat Aug 18 13:07:37 +0000 2018
fuckrubychris,@ExclusivePerk @_FatNick @fish_narc I am the dead i died twice already.,,Sat Aug 18 13:07:37 +0000 2018
AuthorCHNorwood,Aretha Franklin died with an $80 million fortune — here's why she demanded to be paid only in cash https://t.co/9he4iNtY6f,,Sat Aug 18 13:07:37 +0000 2018
Giftmyman,"RT @CNN: Former UN Secretary-General and Nobel Peace Prize winner Kofi Annan has died at age 80, a UN agency confirms. https://t.co/0bYmyhr…","Former UN Secretary-General and Nobel Peace Prize winner Kofi Annan has died at age 80, a UN agency confirms. https://t.co/0bYmyhr0xU https://t.co/G14937ylMN",Sat Aug 18 13:07:36 +0000 2018
P007Byrne,"RT @Lord_Sugar: When asked how I made my fortune the answer is . 
I bought car aerials for £1, sold them for £1.20 . Went on and bought mor…","When asked how I made my fortune the answer is . 
I bought car aerials for £1, sold them for £1.20 . Went on and bought more sold them and bought more sold them also and bought more ........Then my uncle died and left  me £500m",Sat Aug 18 13:07:36 +0000 2018
rkevinappier,RT @caitoz: One of the most aggressively protected narratives in Resistance Twitter is that John McCain is a hero. This man hasn't even die…,"One of the most aggressively protected narratives in Resistance Twitter is that John McCain is a hero. This man hasn't even died yet and they've made him the Democrats' Ronald Reagan, and he ran against Obama in '08. This is how far to the right they've been paced in ten years.",Sat Aug 18 13:07:35 +0000 2018
TAOShinaishin,RT @shomaristone: Kofi Annan has died. He was one of the world's most celebrated diplomats and a charismatic symbol of the United Nations w…,"Kofi Annan has died. He was one of the world's most celebrated diplomats and a charismatic symbol of the United Nations who rose through its ranks to become the first black African secretary-general. He was 80. #KofiAnnan #Kofi
https://t.co/0EpIjMX1OC",Sat Aug 18 13:07:35 +0000 2018
CThompsonGeorge,RT @trtworld: Former United Nations Secretary-General Kofi Annan passes away at the age of 80 https://t.co/BMW8q7wKsd https://t.co/57b2KyH4…,Former United Nations Secretary-General Kofi Annan passes away at the age of 80 https://t.co/BMW8q7wKsd https://t.co/57b2KyH4Ey,Sat Aug 18 13:07:34 +0000 2018
ilwareed,"Kofi Annan, the African leader who reshaped the UN, has died https://t.co/QjUzLq4Ct1 https://t.co/quCOQ9yuz2",,Sat Aug 18 13:07:34 +0000 2018
iKON_HanBaby,RT @kjwkhb: Hanbin scammed Bobby by going on vlive last night to inform ikonics on his plans 😂😂 and at the end he asked konics to sing dotd…,"Hanbin scammed Bobby by going on vlive last night to inform ikonics on his plans 😂😂 and at the end he asked konics to sing dotdae and konics said the f word, hanbin and jiwon died.  https://t.co/kVInFC0KU5",Sat Aug 18 13:07:33 +0000 2018
nowhere_nh,"RT @OldSchool80s: Also, today would've been the 66th birthday of Patrick Swayze (died in 2009). #RIP https://t.co/4YlckxqBcf","Also, today would've been the 66th birthday of Patrick Swayze (died in 2009). #RIP https://t.co/4YlckxqBcf",Sat Aug 18 13:07:33 +0000 2018
Shuayb_T,"RT @9NewsAUS: #BREAKING: Kofi Annan, the former UN secretary-general and Nobel Peace Prize winner has died, aged 80. #9News
https://t.co/UT…","#BREAKING: Kofi Annan, the former UN secretary-general and Nobel Peace Prize winner has died, aged 80. #9News
https://t.co/UTqDG9Fqw5",Sat Aug 18 13:07:32 +0000 2018
OUqCNCtVG6lfPSr,"RT @Joy105com: Pastor Killed In A Car Crash Last Night While Wife Was Driving.  

DR. MARC TILLEY
Senior Pastor

Dr. Marc Tilley of Pleasan…","Pastor Killed In A Car Crash Last Night While Wife Was Driving.  

DR. MARC TILLEY
Senior Pastor

Dr. Marc Tilley of Pleasant Grove Baptist Church died after a large truck rear-ended him and his wife while they were stopped at a stop sign. https://t.co/hPlFnmBaqY https://t.co/Hqbx9vpBff",Sat Aug 18 13:07:31 +0000 2018
Star_STasna,"RT @CNN: Former UN Secretary-General and Nobel Peace Prize winner Kofi Annan has died at age 80, a UN agency confirms. https://t.co/0bYmyhr…","Former UN Secretary-General and Nobel Peace Prize winner Kofi Annan has died at age 80, a UN agency confirms. https://t.co/0bYmyhr0xU https://t.co/G14937ylMN",Sat Aug 18 13:07:29 +0000 2018
pisoonael,RT @kjwkhb: Hanbin scammed Bobby by going on vlive last night to inform ikonics on his plans 😂😂 and at the end he asked konics to sing dotd…,"Hanbin scammed Bobby by going on vlive last night to inform ikonics on his plans 😂😂 and at the end he asked konics to sing dotdae and konics said the f word, hanbin and jiwon died.  https://t.co/kVInFC0KU5",Sat Aug 18 13:07:29 +0000 2018
kasujja,"RT @meghamohan: Dad with cancer who took his daughter down the aisle on his hospital bed, on August 9th, has died. This pic went viral in t…","Dad with cancer who took his daughter down the aisle on his hospital bed, on August 9th, has died. This pic went viral in the Philippines. 

https://t.co/m2yDfKp02G

(Photo from Law Tapalla Photography Facebook page) https://t.co/KpzH27FDW7",Sat Aug 18 13:07:28 +0000 2018
mirandamuseum,RT @SethAbramson: Erik Prince just said the mothers and fathers who live on the coasts of the United States aren't often sending their chil…,Erik Prince just said the mothers and fathers who live on the coasts of the United States aren't often sending their children into the armed forces and harm's way. It's unbelievable how offensive that remark is to all those who fought and died and mourned from our coastal states.,Sat Aug 18 13:07:26 +0000 2018
parsifel43,RT @ValleysCommando: Teacher who led pupils to safety during Aberfan disaster has died https://t.co/Cz06Y0LlqQ,Teacher who led pupils to safety during Aberfan disaster has died https://t.co/Cz06Y0LlqQ,Sat Aug 18 13:07:26 +0000 2018
