twogreypickles,"RT @Stonekettle: Or John Thain, the guy who vaporized Merrill Lynch and then punched out with a golden parachute of MILLIONS OF DOLLARS?

I…","Or John Thain, the guy who vaporized Merrill Lynch and then punched out with a golden parachute of MILLIONS OF DOLLARS?

I submit to you that this guy and his Wall Street cronies did more damage to your life and your country than any illegal alien ever did. 

5/",Sat Aug 18 07:59:44 +0000 2018
UqailiShafique,"Let me get this straight. So after 16 years of destruction, mass murders, loss of billions of dollars, loss of thousands of human lives and gross reputational damage to the United States of America, now Mr. Trump wants to ‘privitise’ the Afghan war, to convert it into a business? https://t.co/gc3xbKHI9W",,Sat Aug 18 07:38:31 +0000 2018
UqailiShafique,"@NBCNews Let me get this straight. So after 16 years of destruction, mass murders, loss of billions of dollars, loss of thousands of human lives and gross reputational damage to the United States of America, now Mr. Trump wants to ‘privitise’ the Afghan war, to convert it into a business?",,Sat Aug 18 07:37:23 +0000 2018
Rougepprince,"RT @theIMEU: ""Israel reopened Gaza’s sole commercial crossing one month after shutting it down in an act of collective punishment inflictin…","""Israel reopened Gaza’s sole commercial crossing one month after shutting it down in an act of collective punishment inflicting millions of dollars of additional economic damage on the besieged territory’s long-suffering population."" https://t.co/uRb8Be7cWF https://t.co/nkaYN3BqFs",Sat Aug 18 07:10:52 +0000 2018
Rougepprince,"RT @theIMEU: ""Israel reopened Gaza’s sole commercial crossing one month after shutting it down in an act of collective punishment inflictin…","""Israel reopened Gaza’s sole commercial crossing one month after shutting it down in an act of collective punishment inflicting millions of dollars of additional economic damage on the besieged territory’s long-suffering population."" https://t.co/uRb8Be7cWF https://t.co/4ffnXrdc3j",Sat Aug 18 07:09:55 +0000 2018
Firetail23,"@narendramodi are you aware of the phenomenal damage being done by missionary/Ngo nexus via #fcra billions of dollars r being pumped to destroy us from within, reaching pt of no return. @Swamy39 pls file #pil to abolish this ☠️ poison, https://t.co/Zvzw0v3OK3",,Sat Aug 18 06:35:08 +0000 2018
beyondserious,"On 8-18-1983,  Hurricane Alicia hits the Texas coast, killing 21 people and causing over US$1 billion in damage (1983 dollars).
https://t.co/jVOP4mYKbL https://t.co/6GwKv56ae8",,Sat Aug 18 05:52:14 +0000 2018
randysutt,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 05:19:29 +0000 2018
ride_stuff,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 04:33:50 +0000 2018
Beccabluesky,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 04:27:41 +0000 2018
gabrfranke,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 04:26:01 +0000 2018
Tallgrey,"RT @Stonekettle: Or John Thain, the guy who vaporized Merrill Lynch and then punched out with a golden parachute of MILLIONS OF DOLLARS?

I…","Or John Thain, the guy who vaporized Merrill Lynch and then punched out with a golden parachute of MILLIONS OF DOLLARS?

I submit to you that this guy and his Wall Street cronies did more damage to your life and your country than any illegal alien ever did. 

5/",Sat Aug 18 04:21:52 +0000 2018
quinnmacdonald,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 04:13:06 +0000 2018
L82be,"RT @MikeSoron: Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we gr…","Some context for the #bcwildfire:

1. Climate change makes wildfires worse 
2. Fossil fuel polluters broke the climate we grew up in 
3. The prov and federal governments are using our tax dollars to fund fossil fuel polluters to do even more damage to the climate 

#climate https://t.co/mZuOpr2ypP",Sat Aug 18 04:11:54 +0000 2018
