rishabhthakur,"RT @CMOKerala: For the people of Kerala, the road to recovery is going to be a long one. Your help no matter how small will be a step to re…","For the people of Kerala, the road to recovery is going to be a long one. Your help no matter how small will be a step to restore normalcy. Donate to: 

Chief Minister's Distress Relief Fund
NO: 67319948232 
Bank: State Bank of India  
IFSC : SBIN0070028
SWIFT CODE : SBININBBT08 https://t.co/cbsFwRplsG",Sat Aug 18 09:35:45 +0000 2018
sshail5455,"RT @aartic02: Kerala is facing the worst Flood in 100 years .. 
Needs all the Support ..
Do Donate &amp; Contribute 🙏 
#Donate4Kerala 
Donation…","Kerala is facing the worst Flood in 100 years .. 
Needs all the Support ..
Do Donate &amp; Contribute 🙏 
#Donate4Kerala 
Donation Link ;; 
https://t.co/BNN4sT0edJ https://t.co/3aY1h6VDPg",Sat Aug 18 09:35:44 +0000 2018
iamjuvi,"RT @firstpost: #UAE has formed a committee to provide relief to #Kerala and has called forth its people to donate for the cause
https://t.c…","#UAE has formed a committee to provide relief to #Kerala and has called forth its people to donate for the cause
https://t.co/x31JweeJV9",Sat Aug 18 09:35:44 +0000 2018
DandonaHarnoor,RT @annkur: @Rajyasree @thegeekyninja What I see is that a lot of PayTM users follow VSS and they are being encouraged in this tweet to don…,@Rajyasree @thegeekyninja What I see is that a lot of PayTM users follow VSS and they are being encouraged in this tweet to donate using the app.,Sat Aug 18 09:35:44 +0000 2018
igbomelanin,"RT @Shawnife_: Nathaniel Oyebode is one guy with dreams and aspirations. He was a Covenant University student, right until cancer struck.…","Nathaniel Oyebode is one guy with dreams and aspirations. He was a Covenant University student, right until cancer struck.

Let’s help this young man achieve his life goals. Please RT and donate if you can 🙏🏾 https://t.co/KjWn7Az1YP",Sat Aug 18 09:35:43 +0000 2018
Saswati1996BTS,RT @BangtanINDIA: As you all know a part of our country struggles through great tragedy. You can do your part by helping them by giving eve…,"As you all know a part of our country struggles through great tragedy. You can do your part by helping them by giving even a small donation of Rs 50. It counts alot&amp;would help so many.

You can go on paytm on donate on the kerala floods category.

#KeralaFloods #KeralaFloodRelief https://t.co/7DW6k4676M",Sat Aug 18 09:35:42 +0000 2018
joshmachine1973,RT @RajivMessage: Please donate to help Kerala Hindus. Christians &amp; Muslims worldwide raising lots of money to help mainly their own ppl &amp;…,Please donate to help Kerala Hindus. Christians &amp; Muslims worldwide raising lots of money to help mainly their own ppl &amp; agendas. https://t.co/A35xdMBfwr,Sat Aug 18 09:35:41 +0000 2018
lan2in,"RT @CMOKerala: For the people of Kerala, the road to recovery is going to be a long one. Your help no matter how small will be a step to re…","For the people of Kerala, the road to recovery is going to be a long one. Your help no matter how small will be a step to restore normalcy. Donate to: 

Chief Minister's Distress Relief Fund
NO: 67319948232 
Bank: State Bank of India  
IFSC : SBIN0070028
SWIFT CODE : SBININBBT08 https://t.co/cbsFwRplsG",Sat Aug 18 09:35:41 +0000 2018
_ansjs22,"RT @CMOKerala: Kerala is facing its worst flood in 100 years. 80 dams opened, 324 lives lost and 223139 people are in about 1500+ relief ca…","Kerala is facing its worst flood in 100 years. 80 dams opened, 324 lives lost and 223139 people are in about 1500+ relief camps. Your help can rebuild the lives of the affected. Donate to 
https://t.co/FjYFEdOsyl 
#StandWithKerala.",Sat Aug 18 09:35:40 +0000 2018
SiddharthKalba3,"RT @CMOKerala: Kerala is facing its worst flood in 100 years. 80 dams opened, 324 lives lost and 223139 people are in about 1500+ relief ca…","Kerala is facing its worst flood in 100 years. 80 dams opened, 324 lives lost and 223139 people are in about 1500+ relief camps. Your help can rebuild the lives of the affected. Donate to 
https://t.co/FjYFEdOsyl 
#StandWithKerala.",Sat Aug 18 09:35:40 +0000 2018
