eric_hontz,@PeterMoskos Why there are not foot patrols around the clock in a five block radius around penn north I will never know.,,Fri Aug 17 20:13:14 +0000 2018
DeathSentencePC,"(Fart sounds so loud windows rattle in a five block radius). 
 https://t.co/b4wVWcHpEM",,Fri Aug 17 11:33:10 +0000 2018
2020Tru,Do you know what it feels like to work your way out of that five block radius???,,Fri Aug 17 04:21:17 +0000 2018
worstninjaever,"Not a stranger. Old guy returned after his cigarette and went back to the kitchen.

I... don't know if I'll be back. This is not a tight production, and I've had better dining experiences at FIVE other Japanese places within a 3 block radius of here.

#Iruka",,Thu Aug 16 21:16:51 +0000 2018
beatalley,RT @Trumpssxruples: @realDonaldTrump What kind of criminal jackass has to make sure everyone within a five block radius of him signs an NDA…,"@realDonaldTrump What kind of criminal jackass has to make sure everyone within a five block radius of him signs an NDA? 

Oh yeah, the “president”

Photoshop art courtesy of @HotPockets4All https://t.co/zPNypPeSbZ",Tue Aug 14 19:17:54 +0000 2018
Trumpssxruples,"@realDonaldTrump What kind of criminal jackass has to make sure everyone within a five block radius of him signs an NDA? 

Oh yeah, the “president”

Photoshop art courtesy of @HotPockets4All https://t.co/zPNypPeSbZ",,Tue Aug 14 19:15:03 +0000 2018
JesseIrwin_,"People say Pittsburgh’s not worldly, yet downtown has Weiner World, Cartridge World, and Cobbler World all within a five block radius.",,Mon Aug 13 23:04:07 +0000 2018
DaveCoIon,RT @malegazegraves: in which I continue on this convenient new trend of reporting on restaurant openings/closings within a five block radiu…,in which I continue on this convenient new trend of reporting on restaurant openings/closings within a five block radius of where I live: https://t.co/KO2IUcXr4d,Fri Aug 10 19:35:59 +0000 2018
malegazegraves,in which I continue on this convenient new trend of reporting on restaurant openings/closings within a five block radius of where I live: https://t.co/KO2IUcXr4d,,Fri Aug 10 19:32:47 +0000 2018
graceruthbondy,So pissed they got rid of that restaurant down the street from my house that I’d never been to in the 4 years I lived in a five block radius. Like what the hell I was gonna go there.,,Fri Aug 10 02:43:44 +0000 2018
anna_marie1998,"RT @MasonJar38: Why?

*realizes there a five stores in a three block radius in Highland*

Oh yeah that makes sense nvm https://t.co/MHARila…","Why?

*realizes there a five stores in a three block radius in Highland*

Oh yeah that makes sense nvm https://t.co/MHARila06o",Wed Aug 08 16:39:57 +0000 2018
