tribunephl,"Philippine Airlines, the country’s flag carrier, also had five flights canceled as the NAIA was closed until the afternoon of Friday as rains continued to affect the extraction of Xiamen Airline flight MF 8667 from the grassy fringes of the runway.
https://t.co/MWc3QhMfQX",,Sat Aug 18 04:06:29 +0000 2018
qatarisbooming,@qatarairways halts Kochi #flights until August 26 https://t.co/5WBvkIGRwM,,Fri Aug 17 18:30:45 +0000 2018
UAVectorNV,#drone #halts #flights at Porto Airport https://t.co/adPZOtOcXr https://t.co/SJ6MIhasEm,,Fri Aug 17 18:03:56 +0000 2018
sunilkrsingh15,RT @GulfTimes_QATAR: #QatarAirways halts Kochi flights until August 26  https://t.co/pEbB2t6Mu3 https://t.co/IwFRrgdOPe,#QatarAirways halts Kochi flights until August 26  https://t.co/pEbB2t6Mu3 https://t.co/IwFRrgdOPe,Thu Aug 16 21:02:10 +0000 2018
GulfTimes_QATAR,#QatarAirways halts Kochi flights until August 26  https://t.co/pEbB2t6Mu3 https://t.co/IwFRrgdOPe,,Thu Aug 16 20:56:49 +0000 2018
dean1974march,"RT @hardstyle_hc: https://t.co/uzggGGCLNM
All flights cancelled/delayed in the Dutch airport.
Radio/air problems.
Stay safe &amp; try to be cal…","https://t.co/uzggGGCLNM
All flights cancelled/delayed in the Dutch airport.
Radio/air problems.
Stay safe &amp; try to be calm at your best",Thu Aug 16 11:47:14 +0000 2018
Konkiro,RT @piyokango: Flights resume after system meltdown halts all traffic at Amsterdam's Schiphol Airport — RT World News https://t.co/KAIBkXGk…,Flights resume after system meltdown halts all traffic at Amsterdam's Schiphol Airport — RT World News https://t.co/KAIBkXGkir,Thu Aug 16 11:18:34 +0000 2018
SoLun10,RT @paris_2015: Flights resume after system meltdown halts all traffic at Amsterdam's Schiphol Airport https://t.co/BnyDCj7jtm https://t.co…,Flights resume after system meltdown halts all traffic at Amsterdam's Schiphol Airport https://t.co/BnyDCj7jtm https://t.co/9nDauI2ZKS,Thu Aug 16 05:44:57 +0000 2018
paris_2015,Flights resume after system meltdown halts all traffic at Amsterdam's Schiphol Airport https://t.co/BnyDCj7jtm https://t.co/9nDauI2ZKS,,Thu Aug 16 04:37:03 +0000 2018
hashamsterdam,Air traffic control problem halts flights at Amsterdam's Schiphol airport - The Straits Times https://t.co/S7D8zi46Wy #Amsterdam #News,,Thu Aug 16 04:22:15 +0000 2018
Jans_Arbor,"RT @ExecRoadWarrior: Shortly before 10 p.m., an electrical failure at Ronald Reagan Washington National Airport interrupted flights late We…","Shortly before 10 p.m., an electrical failure at Ronald Reagan Washington National Airport interrupted flights late Wednesday evening, shutting down the entire airport. https://t.co/GBSBvDsj9e",Thu Aug 16 03:57:41 +0000 2018
