jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
laoislocalnews,"WEATHER: Outlook for tonight &amp; tomorrow (Sunday 19th August) via Met Éireann. Lowest overnight temperatures of 15 or 16 degrees ⚠️ a nationwide Yellow weather advisory is in place overnight as heavy bursts of rain are expected due to #StormErnesto.

#Laois #Leinster #mpnweather https://t.co/MWE1JdPSi7",,Sat Aug 18 16:58:09 +0000 2018
JOEdotie,Tonight will see heavy or persistent rain but it's set to become lighter later https://t.co/FLvo6ei0qc,,Sat Aug 18 16:58:00 +0000 2018
lisstalkingshit,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:57:58 +0000 2018
OlliesMother,"RT @IJM: Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the…","Heavy rain forced the rescue team to delay for 6+ hours, but as they waited a police officer reminded the group, “it is worth the wait because these children are suffering and we need to rescue them.” https://t.co/tJ7KkjHYpr #RESCUE #untilallarefree https://t.co/QM4rGxAfFL",Sat Aug 18 16:57:46 +0000 2018
LTalbot444,"@MTMayer66 @Conservative_VW @RTR_Chris 1954 Chevy model 210 with 3 on the tree was my first car. Remember  the windshield wipers working off the engine vacuum? They slowed down and sped up with engine speed. Deadly in those heavy downpours, you were completely blinded by the rain.",,Sat Aug 18 16:57:37 +0000 2018
ibarra_madison,RT @RPritt: Poca defeated Herbert Hoover 13-6. And I’m out of here. Standing water in my shoes. Rain literally hasn’t quit since 8 am at le…,Poca defeated Herbert Hoover 13-6. And I’m out of here. Standing water in my shoes. Rain literally hasn’t quit since 8 am at least. And it’s as heavy now as it’s been.,Sat Aug 18 16:57:37 +0000 2018
jillianeshaw,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:57:36 +0000 2018
koheidive,"How can I explain my feeling.I experienced big earthqueke june, I experienced heavy rain july. I came from Japan. because I love phish &amp; that community.And We are  honeymooners. I need the helping friendly book. #curveball",,Sat Aug 18 16:57:25 +0000 2018
DerekMacEwen,RT @PEI_Stormchaser: 12.00 (15z) Very heavy rain now. rain rate 62.0 mms/hr. Will wait to get new total after this cell passes.  Cocorahs P…,12.00 (15z) Very heavy rain now. rain rate 62.0 mms/hr. Will wait to get new total after this cell passes.  Cocorahs PE-20 Bonshaw. #PEStorm,Sat Aug 18 16:57:24 +0000 2018
NWSMidland,"1157PM CDT A few storms are going up over State Hwy 118 in Fort Davis State Park &amp; US Hwy 385 in Pecos Co. Expect frequent lightning, gusty winds, and brief, heavy rainfall. Rain will make roads slick and lower visibility, so be careful and when you hear thunder, go inside! #txwx",,Sat Aug 18 16:57:22 +0000 2018
IVercouteren,"This Afternoon we went to the 'Atlanterhavsvegen' the famous Atlantic road! 
The weather was very variable today. Sun, clouds, rain, heavy rain and wind 🇳🇴 https://t.co/39lMM4Yfji",,Sat Aug 18 16:57:00 +0000 2018
jeffbenner,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:56:52 +0000 2018
muralikumarje,RT @TOIBengaluru: Karnataka: Heavy rain continues to lash Kodagu https://t.co/mAMMsas94J,Karnataka: Heavy rain continues to lash Kodagu https://t.co/mAMMsas94J,Sat Aug 18 16:56:35 +0000 2018
queencuntwaffle,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:56:24 +0000 2018
imrajesh2255,"RT @madhyamam: #KeralaSOS, #KeralaFloods മാള, കൊടുങ്ങല്ലൂർ മേഖലയിൽ സ്​ഥിതി ഗുരുതരം https://t.co/NmH2Zqgr1t","#KeralaSOS, #KeralaFloods മാള, കൊടുങ്ങല്ലൂർ മേഖലയിൽ സ്​ഥിതി ഗുരുതരം https://t.co/NmH2Zqgr1t",Sat Aug 18 16:56:03 +0000 2018
osterholtz51,RT @DavidMora: Bourbon Street is coming back to life after heavy rain earlier today. 🌦⚜️ #bourbonstreet #neworleans https://t.co/6xRWYpP767,Bourbon Street is coming back to life after heavy rain earlier today. 🌦⚜️ #bourbonstreet #neworleans https://t.co/6xRWYpP767,Sat Aug 18 16:55:59 +0000 2018
madi_ord11,RT @RPritt: Poca defeated Herbert Hoover 13-6. And I’m out of here. Standing water in my shoes. Rain literally hasn’t quit since 8 am at le…,Poca defeated Herbert Hoover 13-6. And I’m out of here. Standing water in my shoes. Rain literally hasn’t quit since 8 am at least. And it’s as heavy now as it’s been.,Sat Aug 18 16:55:43 +0000 2018
nrclaire,I love Heavy Rain but it looks weird after watching Detroit:Become Human. Technology improced SO MUCH!!!,,Sat Aug 18 16:55:15 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods മാള, കൊടുങ്ങല്ലൂർ മേഖലയിൽ സ്​ഥിതി ഗുരുതരം https://t.co/NmH2Zqgr1t",,Sat Aug 18 16:55:06 +0000 2018
Sq0b0uCom,HEAVY RAINやってる難しい(☝︎ ՞ਊ ՞)☝︎,,Sat Aug 18 16:54:52 +0000 2018
jftaveira1993,"Thousands of people in the southern Indian state of #Kerala are still awaiting rescue from the worst flooding in nearly 100 years, with heavy rain predicted to continue for at least the next two days. https://t.co/X9Dyn3DqEK #India #KeralaFloods #KeralaSOS",,Sat Aug 18 16:54:44 +0000 2018
JosephPrigith,"RT @DBIDaily: ചാലക്കുടി, ചെങ്ങന്നൂര്‍ മേഖലകളിലാണ്  ഇന്നലെ കൂടുതല്‍ പ്ര‌ശ്‌നബാധിത മേഖലായി പറഞ്ഞിരുന്നുത്. വിവിധ സേനകളുടെ നല്ല രീതിയിലുള്ള പ്…","ചാലക്കുടി, ചെങ്ങന്നൂര്‍ മേഖലകളിലാണ്  ഇന്നലെ കൂടുതല്‍ പ്ര‌ശ്‌നബാധിത മേഖലായി പറഞ്ഞിരുന്നുത്. വിവിധ സേനകളുടെ നല്ല രീതിയിലുള്ള പ്രവര്‍ത്തനത്തിലൂടെ ഈ മേഖലയിലെ പ്രശ്നങ്ങള്‍ പരിഹരിക്കാന്‍ സാധിച്ചിട്ടുണ്ട്. https://t.co/v7477ggnqu",Sat Aug 18 16:54:43 +0000 2018
ThotCinderella,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:53:30 +0000 2018
muhdhishampk,"@Cristiano @nikefootball #StandWithKerala Dear sir,
I am @muhdhishampk from Kerala, India. we are now suffering from huge flood followed by land slides,etc. due to the heavy non stop rain.The people are facing uncountable losses and Other problem.Many people lost there home.I believe in ur helping hands.",,Sat Aug 18 16:53:27 +0000 2018
JosephPrigith,"RT @madhyamam: #KeralaSOS, #KeralaFloods ദുരന്ത ഭൂമിയായി ആലുവ; ഒ​റ്റ​പ്പെ​ട്ട​ത് ആ​യി​രങ്ങൾ https://t.co/ydl1nbc67u","#KeralaSOS, #KeralaFloods ദുരന്ത ഭൂമിയായി ആലുവ; ഒ​റ്റ​പ്പെ​ട്ട​ത് ആ​യി​രങ്ങൾ https://t.co/ydl1nbc67u",Sat Aug 18 16:53:17 +0000 2018
rakesh_koppa,RT @VishweshwarBhat: Hassan - Managaluru Road has been badly affected due to heavy rain and landslides. https://t.co/7MgMtm5T9b,Hassan - Managaluru Road has been badly affected due to heavy rain and landslides. https://t.co/7MgMtm5T9b,Sat Aug 18 16:53:15 +0000 2018
MystiqueBobbie,"RT @indiatvnews: #KeralaFloods : PM Modi announces Rs 500 crore assistance for rain-ravaged state, salutes people's 'fighting spirit' #Indi…","#KeralaFloods : PM Modi announces Rs 500 crore assistance for rain-ravaged state, salutes people's 'fighting spirit' #IndiaForKerala https://t.co/KULZQP5sXI",Sat Aug 18 16:53:10 +0000 2018
DBIDaily,"ചാലക്കുടി, ചെങ്ങന്നൂര്‍ മേഖലകളിലാണ്  ഇന്നലെ കൂടുതല്‍ പ്ര‌ശ്‌നബാധിത മേഖലായി പറഞ്ഞിരുന്നുത്. വിവിധ സേനകളുടെ നല്ല രീതിയിലുള്ള പ്രവര്‍ത്തനത്തിലൂടെ ഈ മേഖലയിലെ പ്രശ്നങ്ങള്‍ പരിഹരിക്കാന്‍ സാധിച്ചിട്ടുണ്ട്. https://t.co/v7477ggnqu",,Sat Aug 18 16:53:06 +0000 2018
gelemmence,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:52:53 +0000 2018
inspiringwriter,Heavy Rain (Blind) - Part 11: https://t.co/J3rkkztBZZ via @YouTube,,Sat Aug 18 16:52:35 +0000 2018
DerekMacEwen,RT @TrafficPE: @TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #p…,@TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #pei #slowdown (via @Teresa_MacLean),Sat Aug 18 16:52:34 +0000 2018
FunkmasterStorm,RT @NWSNERFC: Heavy Rain with Cold Front Moving Across Northeast. Some Minor River Flooding. https://t.co/X2uvVWJmby,Heavy Rain with Cold Front Moving Across Northeast. Some Minor River Flooding. https://t.co/X2uvVWJmby,Sat Aug 18 16:52:32 +0000 2018
dbailey1116,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:52:28 +0000 2018
awa62711,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:52:11 +0000 2018
cleanmysuru,RT @DeccanHerald: #Kodagu district is virtually under siege as heavy rain continued to batter the coffee bowl of the state. Incessant rain…,"#Kodagu district is virtually under siege as heavy rain continued to batter the coffee bowl of the state. Incessant rain claimed four lives on Friday. | #KodaguFloods #KodaguFloods2018 

https://t.co/nz7RptzEED",Sat Aug 18 16:52:09 +0000 2018
visheshaal,"RT @News18Guj: ""24 કલાકમાં ભારે વરસાદની આગાહી, સીએમ રૂપાણીએ યોજી સમીક્ષા બેઠક""
https://t.co/l0Xtxcyek6
#Gujarat #Gandhinagar #forecast #rai…","""24 કલાકમાં ભારે વરસાદની આગાહી, સીએમ રૂપાણીએ યોજી સમીક્ષા બેઠક""
https://t.co/l0Xtxcyek6
#Gujarat #Gandhinagar #forecast #rainnews @vijayrupanibjp #ReviewMeeting",Sat Aug 18 16:51:09 +0000 2018
this_emil,"@WTWales @wgcs_rural @wgmin_enviro @WelshGovernment @SeneddCCERA @WildlifeTrusts @WalesLink In my experience farmers are the very last people to be entrusted with restoring eco systems and fostering wildlife. Only yesterday I witnessed a young farmer spreading slurry on an inclined field above a major river, just before heavy rain this weekend.",,Sat Aug 18 16:51:05 +0000 2018
romanezingraff,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:50:57 +0000 2018
GianncarloI,"RT @NWSSanJuan: Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y…","Showers and thunderstorms are developing across Western PR. Periods of heavy rain and gusty winds are possible.
Aguaceros y tronadas comienzan a desarrollarse a través del oeste de PR. Periodos de lluvia fuerte y vientos en ráfaga son posibles.
#prwx https://t.co/ATEb8cPKoY",Sat Aug 18 16:50:51 +0000 2018
ACPressMartucci,"RT @NWS_MountHolly: A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and eve…","A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and evening may result in heavy rain and flash flooding. https://t.co/FRwlYTUR3g",Sat Aug 18 16:50:31 +0000 2018
mattparenteau,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:50:28 +0000 2018
El_lumiNohDee,NEPA did me a favour. The power is out and the rain is heavy. Lemme just chill and sip my tea.,,Sat Aug 18 16:50:26 +0000 2018
TinaKeophannga,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:50:19 +0000 2018
KodakTheBear,"Gonna start up a stream right now! It's been so long since I've streamed. Going to be playing some Heavy Rain tonight and look for my lost son!

https://t.co/VYKG09pCiK",,Sat Aug 18 16:50:11 +0000 2018
__samfrallon,RT @pittywaps: the aftermath of heavy rain lol https://t.co/tZTMet86OG,the aftermath of heavy rain lol https://t.co/tZTMet86OG,Sat Aug 18 16:50:03 +0000 2018
danvm20,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:50:03 +0000 2018
snackzilla69,I liked a @YouTube video https://t.co/kvYbizSB7R Heavy Rain part 3 (Finale),,Sat Aug 18 16:49:45 +0000 2018
gregd43465771,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:49:26 +0000 2018
lyssacervantez,"RT @Negro_Ninja22: *Heavy rain and severe thunderstorm warning in your area*

Bet: https://t.co/FJpWR2twKA","*Heavy rain and severe thunderstorm warning in your area*

Bet: https://t.co/FJpWR2twKA",Sat Aug 18 16:49:20 +0000 2018
_zhethagovan_,Heavy rain + Maggi + hot chocolate + engeyum kadhal = probably a very nice Saturday I guess 😋 thank the rain that spoiled my plans of going out.,,Sat Aug 18 16:48:56 +0000 2018
RuthLoisDev,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:48:51 +0000 2018
DafenAFCu14s,"RT @DafenWelfareCC: Unfortunately, due to the heavy rain, the pitch is unplayable and with rain forecast, we’ve made the decision to cancel…","Unfortunately, due to the heavy rain, the pitch is unplayable and with rain forecast, we’ve made the decision to cancel tomorrow’s Six-A-Side. See you next year!👍",Sat Aug 18 16:48:50 +0000 2018
RichardOHanlon4,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 16:48:24 +0000 2018
IswanaOf,"RT @iswana_j: We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWit…","We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWithKerala #prayforkerala",Sat Aug 18 16:48:20 +0000 2018
steffy_ani,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:48:12 +0000 2018
PlainsSouthern,RT @NWSNorman: Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. Howeve…,"Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. However, much better rain chances arrive this evening and overnight.  Locally heavy rainfall is possible. #okwx #txwx https://t.co/RNTzieY0CN",Sat Aug 18 16:47:15 +0000 2018
ZackirHussain2,"RT @praddy06: Kerala Rain Update - No stand &amp; deliver rains today as Idukki clouds weakened and moved away
==================
No widespread…","Kerala Rain Update - No stand &amp; deliver rains today as Idukki clouds weakened and moved away
==================
No widespread heavy rains are occurring today and the heavy spells are happening in scattered areas.",Sat Aug 18 16:46:54 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods ദുരന്ത ഭൂമിയായി ആലുവ; ഒ​റ്റ​പ്പെ​ട്ട​ത് ആ​യി​രങ്ങൾ https://t.co/ydl1nbc67u",,Sat Aug 18 16:46:40 +0000 2018
IswarryF,"RT @iswana_j: We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWit…","We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWithKerala #prayforkerala",Sat Aug 18 16:46:32 +0000 2018
stefan_lanz,"RT @Protect_Wldlife: Due to heavy rain on Monday a  holiday was declared for the children this school BUT......

.....it didn't stop a herd…","Due to heavy rain on Monday a  holiday was declared for the children this school BUT......

.....it didn't stop a herd of #Elephants from visiting the school with THEIR children!

This incident happened in Karnataka, Southern India. https://t.co/IeR4W8LCd9",Sat Aug 18 16:46:13 +0000 2018
