Kl7SuriyaFans,RT @actor_jayamravi: It is horrifying to see Kerala in this situation. My heart goes out to people who have lost their homes and livelihood…,It is horrifying to see Kerala in this situation. My heart goes out to people who have lost their homes and livelihoods. Let's pray for the safety of everyone in Kerala #Keralafloods,Sat Aug 18 10:20:10 +0000 2018
salbumahin,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 10:19:58 +0000 2018
5MinuteFinal,How the fuck can people be so heartless that they refuse to show any humanitarian concern towards people who’ve lost homes and dying of hunger. How can you be so thick to not look beyond politics during a humanitarian crisis? Cunts.,,Sat Aug 18 10:12:36 +0000 2018
mufaruk,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 10:12:06 +0000 2018
DavidBloomPT,"https://t.co/KfA9Lgq80o

Hodge must have also lost her moral compass somewhat when ignoring, then suppressing, information about ""horrendous child sex abuse in the care homes for which she was responsible, and did nothing about it"". She held the post for 10 years!",,Sat Aug 18 10:11:33 +0000 2018
sumeshn4ir,RT @porinju: National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousand…,National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousands of homes under water. This is unprecedented. Hundreds are dying. Thousands are facing death. Hope the rains stop today and pray for water to recede,Sat Aug 18 10:11:28 +0000 2018
AshokKona2,"Dear Modi Ji ,

Please diclare #KeralaFloods as National Dissater under ungent basis.
Laks of people lost their homes and domestic needs ...entire state had no power...plz diclare @narendramodi @S_MahajanLS @PMOIndia @rajnathsingh @arunjaitley",,Sat Aug 18 10:10:37 +0000 2018
SinghVijukum,"Hey BongLiberals in 2013 there were 106 instances of communal violence in West Bengal. Why isn't there a Burkha Dhat or a Bahana Aazmi crying? The people at the receiving end were Hindu's. They lost lives, homes, businesses and it was their women who were raped or molested",,Sat Aug 18 10:10:14 +0000 2018
Oddlittlelocket,"RT @swindiaofficial: Kerala, the southern most state in India is now facing the biggest calamity in the history of kerala due to heavy rain…","Kerala, the southern most state in India is now facing the biggest calamity in the history of kerala due to heavy rain and flood. Many people lost their lives , lots of people lost their homes , thousands of people are relocated to relief camps , no electricity , no water supply- https://t.co/rXPiVXdJL4",Sat Aug 18 10:10:05 +0000 2018
5Diamonds525,"RT @swindiaofficial: Kerala, the southern most state in India is now facing the biggest calamity in the history of kerala due to heavy rain…","Kerala, the southern most state in India is now facing the biggest calamity in the history of kerala due to heavy rain and flood. Many people lost their lives , lots of people lost their homes , thousands of people are relocated to relief camps , no electricity , no water supply- https://t.co/rXPiVXdJL4",Sat Aug 18 10:07:52 +0000 2018
vinodsrirampura,RT @cpimspeak: Kerala Govt announces Rs 10 lakh each for the families which lost their homes and properties as compensation to the floods.…,"Kerala Govt announces Rs 10 lakh each for the families which lost their homes and properties as compensation to the floods.
https://t.co/kOvxyHQ5oC",Sat Aug 18 10:05:38 +0000 2018
giovanni_deLisi,"Fundraising for the families that lost their homes because of the Morandi bridge's collapse in Genova. @Italia_Startup supports @wylabincubator 's ""Startups for Genova"" in search of help from companies and organizations in this emergency!
https://t.co/j7GdkJIHjO",,Sat Aug 18 10:04:19 +0000 2018
DrRohantweets,"RT @Muneef__PK: @fundacionmessi
I do not know if you read this or not ..
People in kerala are facing the most tragic situation in history…","@fundacionmessi
I do not know if you read this or not ..
People in kerala are facing the most tragic situation in history  many have lost their homes😔
And the funds are limited
Many are trapped in many places
Then pls help us as much as you can..
#StandWithKerala  #KeralaFloods https://t.co/rNR4p1UIxv",Sat Aug 18 10:02:22 +0000 2018
psrimajin,RT @porinju: National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousand…,National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousands of homes under water. This is unprecedented. Hundreds are dying. Thousands are facing death. Hope the rains stop today and pray for water to recede,Sat Aug 18 09:59:55 +0000 2018
ZakiIshaan,"Countless number of lives lost, many many pregnant women, elderly, differently abled stuck in homes and other places. Many children and family members missing, this is an alarming situation. @nytimes @washingtonpost @HuffPost",,Sat Aug 18 09:58:52 +0000 2018
KWlucka,"RT @c_sperk78: ""None of the 10,000 to 30,000 people in Kibera who lost homes that morning have received compensation"" - lack of formal #Lan…","""None of the 10,000 to 30,000 people in Kibera who lost homes that morning have received compensation"" - lack of formal #LandRights is a key issue. #SDG1.4 #SDG11.3 
 https://t.co/g8UFAJgwHj",Sat Aug 18 09:52:55 +0000 2018
AFSUAFSAL007,"RT @Muneef__PK: @fundacionmessi
I do not know if you read this or not ..
People in kerala are facing the most tragic situation in history…","@fundacionmessi
I do not know if you read this or not ..
People in kerala are facing the most tragic situation in history  many have lost their homes😔
And the funds are limited
Many are trapped in many places
Then pls help us as much as you can..
#StandWithKerala  #KeralaFloods https://t.co/rNR4p1UIxv",Sat Aug 18 09:52:31 +0000 2018
lilysonch,"RT @shrutipremkumar: Kerala is suffering the worst disaster in 100 yrs &amp; it needs your help
Animals &amp; people are dying due to lack of help.…","Kerala is suffering the worst disaster in 100 yrs &amp; it needs your help
Animals &amp; people are dying due to lack of help. PEOPLE HAVE LOST THEIR HOMES

Please donate any amount or any product! Its may seem small to u but it will help their world!
Heres how:
https://t.co/DH29em2RjO",Sat Aug 18 09:48:54 +0000 2018
VedaSrnvsn,"#KeralaFloodRelief Heart goes out to the people who've lost their homes and dear ones. Can never understand the anguish sitting in the comfort of our living rooms. Pl donate, every contribution counts 🙏",,Sat Aug 18 09:46:57 +0000 2018
commonraj,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 09:46:01 +0000 2018
amitgunsoldier,RT @porinju: National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousand…,National media has completely lost it - thay have no idea what's going on in Kerala. Lacs of people stranded. Tens of thousands of homes under water. This is unprecedented. Hundreds are dying. Thousands are facing death. Hope the rains stop today and pray for water to recede,Sat Aug 18 09:45:40 +0000 2018
officeofsst,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 09:42:40 +0000 2018
UmangSharmaINC,"RT @INCMumbai: Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. P…","Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. People have lost homes and livelihood. We urge Mumbaikar’s to contribute generously to CM’s Relief fund. https://t.co/Ng12BiUHOe #MumbaiStandsWithKerala https://t.co/ngsGgHKSim",Sat Aug 18 09:42:27 +0000 2018
I_M_Vendetta,"RT @INCMumbai: Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. P…","Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. People have lost homes and livelihood. We urge Mumbaikar’s to contribute generously to CM’s Relief fund. https://t.co/Ng12BiUHOe #MumbaiStandsWithKerala https://t.co/ngsGgHKSim",Sat Aug 18 09:42:26 +0000 2018
satyajeettambe,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 09:42:20 +0000 2018
DRamaSudhakar,RT @drshamamohd: At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will…,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,Sat Aug 18 09:40:56 +0000 2018
drshamamohd,At the relief camp at kottiyur- Peravur assembly (Kannur district) -so many have lost their homes that rehabilitation will be very challenging! #KeralaFloodRelief #KeralaFloods https://t.co/lUvhChGPHe,,Sat Aug 18 09:39:07 +0000 2018
nitin_bhaurao,"RT @INCMumbai: Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. P…","Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. People have lost homes and livelihood. We urge Mumbaikar’s to contribute generously to CM’s Relief fund. https://t.co/Ng12BiUHOe #MumbaiStandsWithKerala https://t.co/ngsGgHKSim",Sat Aug 18 09:37:28 +0000 2018
bakulp,Saturday morning seriousness. Kerala is suffering the worst monsoon for a hundred years and the floods have now reached major disaster level. Thousands have lost their homes and many hundreds ave lost their lives.... https://t.co/6rC5eaTxrt,,Sat Aug 18 09:36:55 +0000 2018
IllegirlAlways,"ARMY! We come together to help in times of crisis. My country too is under similar crisis. Kerala in India has been facing a flood that is the worst in 100 years.
More than 340 lives are lost and thousands have lost their homes. #PrayForKerala Please donate if you can! @BTS_twt https://t.co/sZnGMuH1ak",,Sat Aug 18 09:35:58 +0000 2018
shrutipremkumar,"Kerala is suffering the worst disaster in 100 yrs &amp; it needs your help
Animals &amp; people are dying due to lack of help. PEOPLE HAVE LOST THEIR HOMES

Please donate any amount or any product! Its may seem small to u but it will help their world!
Heres how:
https://t.co/DH29em2RjO",,Sat Aug 18 09:35:30 +0000 2018
kimgal5,"RT @producerdeb: If you live near the CA fires, wild animals are fleeing the fires and may show up in your yard. Bring your pets in at nigh…","If you live near the CA fires, wild animals are fleeing the fires and may show up in your yard. Bring your pets in at night, let the wild animals pass thru. Please put out buckets of water for them. They are scared, exhausted &amp; have lost their homes. #HolyFire #WildFire https://t.co/KsGfwbwxuu",Sat Aug 18 09:33:46 +0000 2018
raf_alam,"RT @INCMumbai: Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. P…","Kerala is facing its worst flood in 100 years,Incessant rains and landslides have claimed over 300 lives in last few days. People have lost homes and livelihood. We urge Mumbaikar’s to contribute generously to CM’s Relief fund. https://t.co/Ng12BiUHOe #MumbaiStandsWithKerala https://t.co/ngsGgHKSim",Sat Aug 18 09:24:50 +0000 2018
IamRajessh,"RT @KannurNow: Kerala Needs Your Help.

The situation in the State is extremely serious. The calamity has caused immeasurable misery and de…","Kerala Needs Your Help.

The situation in the State is extremely serious. The calamity has caused immeasurable misery and devastation. 
Many lives were lost. Hundreds of homes were… https://t.co/Jl2o1n9Afz",Sat Aug 18 09:23:04 +0000 2018
