chaibiscuit12,"RT @TKGStweet: The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of…","The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",Sat Aug 18 09:12:17 +0000 2018
AoifeMahon8,"Advice needed please! I have clothes and house items I want to donate however most charities sell these items after donation, and I understand why, but I want to give them to people who can't afford to buy them. Any suggestions? Thank you!",,Sat Aug 18 08:54:16 +0000 2018
ajay896,"RT @TKGStweet: The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of…","The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",Sat Aug 18 08:01:51 +0000 2018
ShahanaSham1,"RT @TKGStweet: The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of…","The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",Sat Aug 18 08:00:21 +0000 2018
Zahra9992,"RT @TKGStweet: The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of…","The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",Sat Aug 18 07:16:40 +0000 2018
seeja0974,"RT @TKGStweet: The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of…","The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",Sat Aug 18 06:58:19 +0000 2018
TKGStweet,"The Kindergarten Starters, Al Garhoud, Dubai, a GEMS school, is carrying out a drive to rebuild Kerala. Please send items of donation between 8 am and 4 pm Saturday to Thursday to the school. #KeralaFloods #DoforKerala #keralafloods2018 

Items needed in the comment..",,Sat Aug 18 06:50:54 +0000 2018
MirandaHummel_,Please visit a local @MeridianCU Branch to drop off your donation. @communitycarest provides hundreds of our locoal community Members with much needed items. #makeadifference #communities https://t.co/ymDC1SjkU6,,Sat Aug 18 02:59:33 +0000 2018
DawsonNewsNet,RT @MyAccessCA: @CAASaskatchewan along with their partners are collecting non-perishable food items until Aug 29 for the @ReginaFoodBank in…,"@CAASaskatchewan along with their partners are collecting non-perishable food items until Aug 29 for the @ReginaFoodBank in preparation for our Labour Day #ShowNShine. 

Not sure what to donate? Check out their most needed items below. 
Drop off locations: https://t.co/5JymOulNhl https://t.co/kfz4LMAZuD",Fri Aug 17 20:24:02 +0000 2018
starsunila007,RT @RealPaulWalker: #ROWW needs our help. Please consider a donation and/or a purchase of tools to replace the response trailer and importa…,#ROWW needs our help. Please consider a donation and/or a purchase of tools to replace the response trailer and important items needed to continue vital disaster relief efforts! #TeamPW https://t.co/yro9RFjOe5,Fri Aug 17 19:26:16 +0000 2018
