IndiaNews777,"Fire at Ludhiana Civil Hospital, No Casualties Reported https://t.co/aXsPPoNFS3 :Auto pickup by wikyou",,Sat Aug 18 08:29:06 +0000 2018
XaajiFarxiyo,RT @RadioDanan: A heavy roadside explosion heard in #Mogadishu at #Taleeh district near #Kulan Pharmacy. Witnesses say it  was targeted to…,A heavy roadside explosion heard in #Mogadishu at #Taleeh district near #Kulan Pharmacy. Witnesses say it  was targeted to #Somali government forces who were passing there. No casualties confirmed yet but death is eminent and inevitable since the site was rather busy.#Somalia https://t.co/S7OEycAM8j,Sat Aug 18 08:18:55 +0000 2018
Crewiser,"BREAKING: Aeromexico AM2431 Durango to Mexico City has crashed. XA-GAL Embraer ERJ190 97 passengers and 4 crew on board. 

 Allegedly no casualties and called ""A Miracle Escape"" https://t.co/mgJ2SUfl5Z",,Sat Aug 18 08:17:52 +0000 2018
Miyhnea,"RT @OzKaterji: Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many…","Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many Kremlin-funded bloggers or Hezbollah obsessed PhD students tell you otherwise.",Sat Aug 18 08:10:19 +0000 2018
peejayreyes,"RT @daxlucas: Plane didn’t ‘overshoot’ (it didn’t run off the far end) or ‘skid off’ (which implies loss of braking traction). Instead, the…","Plane didn’t ‘overshoot’ (it didn’t run off the far end) or ‘skid off’ (which implies loss of braking traction). Instead, the passenger video below shows the aircraft landing already dangerously close to left edge of runway. ⁦@siManzano⁩ pilot error? https://t.co/cMYzz6vTyS",Sat Aug 18 08:08:27 +0000 2018
nielmaya,Fitfam...Saturday run. No casualties😁😎 https://t.co/r2GO05y7lg,,Sat Aug 18 08:08:00 +0000 2018
NuNurlanax,RT @CombatChris1: Idlib : Regime forces fired rockets and artillery on #Al_Tamanah but no casualties are reported.,Idlib : Regime forces fired rockets and artillery on #Al_Tamanah but no casualties are reported.,Sat Aug 18 07:57:21 +0000 2018
markcherry19,2 casualties for the sheep away awready n No even left the gaff yet😂😂,,Sat Aug 18 07:49:02 +0000 2018
AllNewsAsia,"In Asia Now: Xiamen Air passenger jet skids off runway in Manila, no casualties https://t.co/0toXZj3EwI",,Sat Aug 18 07:37:21 +0000 2018
Pmor1,RT @bdog19781978: @SarahKSilverman Cnn just showed it on their website.  Nobody ever shows that kind of stuff.  I'm glad u and others r.  I…,"@SarahKSilverman Cnn just showed it on their website.  Nobody ever shows that kind of stuff.  I'm glad u and others r.  Its never right to sweep casualties under the rug like its no big deal.  If the US was getting bombed randomly, we would all go apeshit.  We need to be in the shoes of others.",Sat Aug 18 07:32:37 +0000 2018
daditoka,"On the 19th &amp; 22nd August 2017 at approximately 4pm, fire swept through Hetoa and Gunina clan at Hanuabada Village taking out 18 houses. Fortunately, there were no casualties but 18 families lost everything they had in the houses. Thanks you PNG for your help. https://t.co/s3q9K3bFm5",,Sat Aug 18 07:22:33 +0000 2018
joelj403,RT @bdog19781978: @SarahKSilverman Cnn just showed it on their website.  Nobody ever shows that kind of stuff.  I'm glad u and others r.  I…,"@SarahKSilverman Cnn just showed it on their website.  Nobody ever shows that kind of stuff.  I'm glad u and others r.  Its never right to sweep casualties under the rug like its no big deal.  If the US was getting bombed randomly, we would all go apeshit.  We need to be in the shoes of others.",Sat Aug 18 07:16:50 +0000 2018
EliseRonan,"RT @OzKaterji: Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many…","Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many Kremlin-funded bloggers or Hezbollah obsessed PhD students tell you otherwise.",Sat Aug 18 07:02:03 +0000 2018
deesbarbara,RT @CombatChris1: Idlib : Regime forces fired rockets and artillery on #Al_Tamanah but no casualties are reported.,Idlib : Regime forces fired rockets and artillery on #Al_Tamanah but no casualties are reported.,Sat Aug 18 06:49:21 +0000 2018
CombatChris1,Idlib : Regime forces fired rockets and artillery on #Al_Tamanah but no casualties are reported.,,Sat Aug 18 06:48:25 +0000 2018
UmeshJhaJi,"RT @indiatvnews: J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD","J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD",Sat Aug 18 06:44:11 +0000 2018
VIJAYraghavSING,"RT @indiatvnews: J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD","J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD",Sat Aug 18 06:34:01 +0000 2018
TheRealJanel,"RT @indiatvnews: J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD","J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD",Sat Aug 18 06:33:31 +0000 2018
indiatvnews,"J-K: Terrorists attack NC leader's residence in Shopian, no casualties
https://t.co/dJUWd3y2WD",,Sat Aug 18 06:30:35 +0000 2018
jwram24,"RT @OzKaterji: Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many…","Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many Kremlin-funded bloggers or Hezbollah obsessed PhD students tell you otherwise.",Sat Aug 18 06:30:29 +0000 2018
adamglantz,"RT @OzKaterji: Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many…","Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many Kremlin-funded bloggers or Hezbollah obsessed PhD students tell you otherwise.",Sat Aug 18 06:29:37 +0000 2018
KohNagao,RT @sahloul: The humanitarian community reminds all parties to abide by their obligations under international humanitarian and human rights…,The humanitarian community reminds all parties to abide by their obligations under international humanitarian and human rights law to protect civilians and to spare no effort to prevent civilian casualties #idlib @MedGlobalOrg . https://t.co/dunZ2KuSuR,Sat Aug 18 06:25:05 +0000 2018
LeilaEnazvision,"Xiamen Air passenger jet overshoots runway in Manila, no casualties   https://t.co/8T7V8K0Xp8",,Sat Aug 18 06:14:42 +0000 2018
bdog19781978,"@SarahKSilverman Cnn just showed it on their website.  Nobody ever shows that kind of stuff.  I'm glad u and others r.  Its never right to sweep casualties under the rug like its no big deal.  If the US was getting bombed randomly, we would all go apeshit.  We need to be in the shoes of others.",,Sat Aug 18 06:03:43 +0000 2018
DogboGilles,"I stand with me. Sad truth. Still absolute. I stand with myself for myself. Casualties or no casualties. Horrors or none. Wealth or sickness. Ultra-abilities or dis-abilities: I stand with myself, evening alone, walking in the rain. None will break me easy at the price of little.",,Sat Aug 18 05:59:27 +0000 2018
ruskicouch,"RT @OzKaterji: Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many…","Reporting accurately on civilian casualties and who is responsible for them is not ""pro-war propaganda"", no matter how many Kremlin-funded bloggers or Hezbollah obsessed PhD students tell you otherwise.",Sat Aug 18 05:59:13 +0000 2018
