KellyAnneBryan1,RT @KellyAnneBryan1: There has been ONE death attributed to Kratom. (other deaths where decedents tested positive for it had multiple other…,"There has been ONE death attributed to Kratom. (other deaths where decedents tested positive for it had multiple other illicit drugs present.) The victim happened to have a self-inflicted gunshot wound to his chest. Maybe, his doc cut off his opioids and he couldn't take the pain https://t.co/qbWv7ci2jQ",Sat Aug 18 16:41:29 +0000 2018
KellyAnneBryan1,"There has been ONE death attributed to Kratom. (other deaths where decedents tested positive for it had multiple other illicit drugs present.) The victim happened to have a self-inflicted gunshot wound to his chest. Maybe, his doc cut off his opioids and he couldn't take the pain https://t.co/qbWv7ci2jQ",,Sat Aug 18 15:28:32 +0000 2018
MEM_PoliceDept,"At 12:29 a.m., officers responded to a shooting at 2240 Griggs Ave. One adult male victim was located lying in the street suffering from a gunshot wound to the chest. He was pronounced deceased on the scene.  
Call 901-528-CASH with tips.",,Sat Aug 18 13:22:42 +0000 2018
MonroeCtyPost,"The victim, a 20-year-old man, was located at Rochester General Hospital with at least one gunshot wound to his lower body. https://t.co/91UNZdjZpp",,Sat Aug 18 00:45:03 +0000 2018
elongwoods,"14 gunshot reports in Toronto over 5 days. At least one victim died and seven were injured. Three arrests. Cops seized - a shotgun, two handguns, an assortment of knives and (of course) illicit drugs. Toronto has a challenge!!!",,Fri Aug 17 18:20:00 +0000 2018
Fontenelle_OPS,"Gunshot victim training to become chef without sight, sense of smell. Mortel is the father of one of our fantastic falcons!!!!  #FontenelleJoy #OPSProud  https://t.co/tll83gHvpo",,Fri Aug 17 14:41:24 +0000 2018
_AlexandraStone,"Some INSPIRATION for your Friday! 

Mortel Crawford lost his sight and sense of smell in a shooting. Now, he's one semester away from earning his degree in culinary arts! 

His story on @KETV FIRST NEWS! 

https://t.co/7Y2bylF121",,Fri Aug 17 10:30:00 +0000 2018
djdannygrey,"A Queen of Soul–related dispute ended in a shootout in Virginia. According to local Virginia station WTKR, two Virginians were arguing “over whether or not Halle Berry played Aretha Franklin in a movie,”then one pulled a gun. Police say the gunshot victim is in serious condition.",,Fri Aug 17 06:50:15 +0000 2018
perilofafrica,"via @PerilofAfrica Kabale Shooting Victim Succumbs to Gunshot Wounds: Hassan Mwebembezi, a relative to the couple, says Kenkoonzi died due to excessive bleeding despite efforts by doctors to save her life. The late Kenkoonzi was rushed to Mbarara... https://t.co/TjMBeuOslf",,Thu Aug 16 07:43:08 +0000 2018
mlnangalama,"via @PerilofAfrica Kabale Shooting Victim Succumbs to Gunshot Wounds: Hassan Mwebembezi, a relative to the couple, says Kenkoonzi died due to excessive bleeding despite efforts by doctors to save her life. The late Kenkoonzi was… https://t.co/dt8WMi9Djf **AUTOMATED NEWSFEED https://t.co/KcPvB8zkW8",,Thu Aug 16 07:42:05 +0000 2018
WDAMassignments,"A shooting in Laurel lands one suspect behind bars. Rashad Hardy is charged with one count of Aggravated Assault following a shooting Monday in South Park Village in Laurel. The victim suffered a gunshot wound to the leg. Hardy's bond was set at $50,000. https://t.co/HyQalEuI0f",,Wed Aug 15 17:52:46 +0000 2018
WilmingtonPD,"Wilmington Police are investigating a shooting that left one man with injuries last night. 

Officers responded to New Hanover Regional Medical Center just before 6 p.m. Tuesday in reference to a gunshot wound victim who drove himself to the hospital.",,Wed Aug 15 14:02:41 +0000 2018
gbpressgazette,RT @svhernandez: GBPD confirmed shots fired and one victim was taken to the hospital with a non-life threatening gunshot wound. Video on GB…,GBPD confirmed shots fired and one victim was taken to the hospital with a non-life threatening gunshot wound. Video on GB Press-Gazette FB page. More soon at https://t.co/xXG0CIUwlX.,Tue Aug 14 23:26:23 +0000 2018
GBstreetwise,RT @svhernandez: GBPD confirmed shots fired and one victim was taken to the hospital with a non-life threatening gunshot wound. Video on GB…,GBPD confirmed shots fired and one victim was taken to the hospital with a non-life threatening gunshot wound. Video on GB Press-Gazette FB page. More soon at https://t.co/xXG0CIUwlX.,Tue Aug 14 23:24:22 +0000 2018
svhernandez,GBPD confirmed shots fired and one victim was taken to the hospital with a non-life threatening gunshot wound. Video on GB Press-Gazette FB page. More soon at https://t.co/xXG0CIUwlX.,,Tue Aug 14 23:23:41 +0000 2018
mariachong,"@quietlines @ManzellBeezy @ijbailey @CathyYoung63 Or say two men walk on the same road. One walks east and goes home to murder his wife. One walks west to a hospital to perform surgery, saving a gunshot victim. The road, the inversion of the trip—is hardly substantive or indicative in the value of their disparate behavior.",,Tue Aug 14 20:49:22 +0000 2018
