Elianok10,RT @DanLairdMD: There’s nothing more heartbreaking than the way sickle cell patients are being treated in the midst of the “crackdown” on o…,"There’s nothing more heartbreaking than the way sickle cell patients are being treated in the midst of the “crackdown” on opioids by ignorant politicians. ‘Every time it’s a battle’: In excruciating pain, sickle cell patients shunted aside https://t.co/ytplgSb8Ow via @statnews",Sat Aug 18 18:40:30 +0000 2018
HumanlyAwkward,RT @Cmfundisi: @somadodafikeni One of my greatest heartbreaks experiencedtreating patients was when I treated a young gentleman who had bee…,"@somadodafikeni One of my greatest heartbreaks experiencedtreating patients was when I treated a young gentleman who had been hit on abdomen but diagnosed late of stomach rupture. The young man died, I was heartbroken as I do not want anyone to die from a recreational activities! Never forgot it",Sat Aug 18 18:39:36 +0000 2018
Cmfundisi,"@somadodafikeni One of my greatest heartbreaks experiencedtreating patients was when I treated a young gentleman who had been hit on abdomen but diagnosed late of stomach rupture. The young man died, I was heartbroken as I do not want anyone to die from a recreational activities! Never forgot it",,Sat Aug 18 18:28:27 +0000 2018
kittykatlady505,RT @kittykatlady505: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/lxm2uSuJTq,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/lxm2uSuJTq,Sat Aug 18 18:28:16 +0000 2018
SJAEastYouth,"And that’s the end of #RiZeFestival for our cadets! Over 150+ patients treated today, with many of the treatments done by our young people.

#sjaeast #youth #cadets #mysjaday https://t.co/pJSZmHW4rD",,Sat Aug 18 18:26:48 +0000 2018
ArizonaBitch69,RT @CleClinicMD: Evaluating live zoster vaccine response in rheumatoid arthritis patients on biologics who respond inadequately to methotre…,Evaluating live zoster vaccine response in rheumatoid arthritis patients on biologics who respond inadequately to methotrexate: https://t.co/xxsGZJ9JCW,Sat Aug 18 18:25:09 +0000 2018
RugbyRef14,"RT @BestForBritain: Brexit should be treated as a ""health security issue"" according to Mike Thompson, the head of the ABPI (the UK pharma b…","Brexit should be treated as a ""health security issue"" according to Mike Thompson, the head of the ABPI (the UK pharma body), as he warns that life-saving drugs could become unavailable for British patients. 

The government must take notice. Please share

https://t.co/eD97Qpagnd",Sat Aug 18 18:19:33 +0000 2018
ShawnAPulliam08,"RT @VOOMFdn: Baylor Scott &amp; White has the most amazing mission and ministry program, donating medical supplies to third world countries tha…","Baylor Scott &amp; White has the most amazing mission and ministry program, donating medical supplies to third world countries that are desperately in need. Some patients in Nigeria don't get treated just simply... https://t.co/FN8lIaS0Eg",Sat Aug 18 18:16:58 +0000 2018
libroazuln,An international study of the quality of life of adult patients treated with home parenteral nutrition. https://t.co/wMKlAVGAbe,,Sat Aug 18 18:14:06 +0000 2018
HRRV,"When a friend is struggling with an illness, trying to understand what they're going through can help you be compassionate &amp; kind. Think about how you'd want to be treated. Here are tips on how to support a friend who is ill. https://t.co/frK8vDTLSC https://t.co/R1giOw1bvt",,Sat Aug 18 17:59:15 +0000 2018
TheValuesVoter,RT @thehill: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.…,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.co/wv3gjT1b0M,Sat Aug 18 17:54:26 +0000 2018
DrSundardasa,"""Utilizing Yoga in Oncologic Patients Treated with Radiotherapy: Review"" @DrSundardasa #drsundardas https://t.co/bn4XbJ0OL6",,Sat Aug 18 17:53:20 +0000 2018
BrianDonnaPenn1,@McHardyMindy Absolutely accurate. I called out a Dr. for poor behaviour and he lashed out at me. Treated me very unprofessionally. Then asked that I not communicate with him anymore. Definitely has an ego problem. Patients are labeled for speaking out against decision makers.,,Sat Aug 18 17:52:55 +0000 2018
f57d3ae9a67f4f7,"RT @sepsismaggie: RT: @EDNNUH I present our new #qualityimprovement project! I call it #feedback4strongpack 🐺
Your feedback (#team &amp; #patie…","RT: @EDNNUH I present our new #qualityimprovement project! I call it #feedback4strongpack 🐺
Your feedback (#team &amp; #patients ) is what allows us to make our department the place where you want to work in &amp; patients want to be treated in. Have your voice heard! #Empowerment https://t.co/ZASl6yFZN2",Sat Aug 18 17:49:56 +0000 2018
boogykas,RT @thehill: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.…,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.co/wv3gjT1b0M,Sat Aug 18 17:48:35 +0000 2018
katiedyd2,RT @thehill: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.…,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.co/wv3gjT1b0M,Sat Aug 18 17:48:30 +0000 2018
tessalaprofessa,"A better pull quote: “In 2016, a Harvard study of more than 1.5 million hospitalized Medicare patients found that when patients were treated by female physicians, they were less likely to die or be readmitted to the hospital.” https://t.co/ss1bCShEhZ",,Sat Aug 18 17:45:45 +0000 2018
obiBona,RT @thehill: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.…,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.co/wv3gjT1b0M,Sat Aug 18 17:44:14 +0000 2018
PMazakri,RT @thehill: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.…,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/egIkNwWlHR https://t.co/wv3gjT1b0M,Sat Aug 18 17:41:32 +0000 2018
Jeremy_Bourquin,RT @kittykatlady505: Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/lxm2uSuJTq,Michigan nurse sues hospital for obeying patient's request not to be treated by black woman https://t.co/lxm2uSuJTq,Sat Aug 18 17:41:00 +0000 2018
