macharajarao,"RT @mepratap: Along with Union Minister Sri @DVSBJP, MLA Sri K G Bopaiah &amp; Sri Apppachu Ranjan visited the shelter homes in Madikeri, inter…","Along with Union Minister Sri @DVSBJP, MLA Sri K G Bopaiah &amp; Sri Apppachu Ranjan visited the shelter homes in Madikeri, interacted with the affected people &amp; heard their grievances &amp; made arrangements for necessary relief materials.
#SOSKodagu 
#KodaguFloods https://t.co/7w1anW0xv0",Sat Aug 18 14:04:09 +0000 2018
idesibanda,"RT @pnbindia: #Kerala is struggling with floods, leaving people with no food, clothing &amp; Shelter.  Let us stand united and help them in thi…","#Kerala is struggling with floods, leaving people with no food, clothing &amp; Shelter.  Let us stand united and help them in this hour of need. Any amount of financial assistance can be a big help. #MakeADonation and be a support.   
#KeralaFloods #Donation https://t.co/EhryVWWSuy",Sat Aug 18 14:03:40 +0000 2018
avinashrama,"RT @ArtofLiving: The unprecedented #KeralaFloods have till now caused the deaths of nearly 400 people, and have left many thousands strande…","The unprecedented #KeralaFloods have till now caused the deaths of nearly 400 people, and have left many thousands stranded and struggling for food and shelter.

Many organizations have come forward to support relief operations in Kerala. #KeralaFloodRelief",Sat Aug 18 14:03:05 +0000 2018
SupriyaUnniNair,RT @vinayaravind: A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please s…,"A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please share for visibility please (Map will help people with directions too)

https://t.co/5EQxgJ51TE",Sat Aug 18 14:02:25 +0000 2018
ttinejira,"RT @ajplus: Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them child…","Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them children: https://t.co/qfh5eQXXAB",Sat Aug 18 14:01:51 +0000 2018
beaudyk,"RT @CBCNews: More than 300,000 people have taken shelter in over 1,500 state-run relief camps, officials said.  https://t.co/VSFgDxEW8G","More than 300,000 people have taken shelter in over 1,500 state-run relief camps, officials said.  https://t.co/VSFgDxEW8G",Sat Aug 18 14:01:50 +0000 2018
santhosh680,"RT @indianmba08: This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affecte…","This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affected from floods in and around kushalnagar, Please share my contact number 9980516161 for those who need a shelter.

Share it.
@Kanagalogy",Sat Aug 18 14:01:43 +0000 2018
m29384756z,"RT @ajplus: Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them child…","Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them children: https://t.co/qfh5eQXXAB",Sat Aug 18 14:01:22 +0000 2018
Jegadeeshbabu82,"RT @HariKaali1: When Chennai flooded in 2015, many twitter keralites made fun of us, one fellow said in kerala rains are normal why chennai…","When Chennai flooded in 2015, many twitter keralites made fun of us, one fellow said in kerala rains are normal why chennai people reacting too much.

I don't forget those kind hearted malayaalis helped us in ground providing food and shelter but those twitter kanta hurted a lot",Sat Aug 18 14:01:05 +0000 2018
CBCNews,"More than 300,000 people have taken shelter in over 1,500 state-run relief camps, officials said.  https://t.co/VSFgDxEW8G",,Sat Aug 18 14:00:29 +0000 2018
vinod_gowda,"RT @indianmba08: This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affecte…","This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affected from floods in and around kushalnagar, Please share my contact number 9980516161 for those who need a shelter.

Share it.
@Kanagalogy",Sat Aug 18 13:59:54 +0000 2018
MeloKabir,"RT @ajplus: Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them child…","Gigi Hadid visited Rohingya refugee camps in Bangladesh that are providing shelter to over 1 million people, half of them children: https://t.co/qfh5eQXXAB",Sat Aug 18 13:58:57 +0000 2018
Priyasamzz,"RT @PratyushaOrg: Due to the continuing rains and floods, hundreds are losing lives and several marooned in their houses and relief camps w…","Due to the continuing rains and floods, hundreds are losing lives and several marooned in their houses and relief camps without basic necessities like food, water, clothing and shelter. 
Isn't it now our time to help Kerala and its people? (2)",Sat Aug 18 13:58:31 +0000 2018
ArmyVet24yrs,RT @ggreenwald: I'm increasingly excited about our model of a homeless-run animal shelter we've created. The care our (formerly) homeless e…,I'm increasingly excited about our model of a homeless-run animal shelter we've created. The care our (formerly) homeless employees now give is highly professional and amazingly loving. We're now launching the adoption campaign. To help fund this project: https://t.co/cocXUBRPpK https://t.co/hg2rTve4nU,Sat Aug 18 13:58:18 +0000 2018
Abdo82499216,"RT @NYTHealth: A Q&amp;A with Dr. Barry Zevin, medical director for street medicine and shelter health in San Francisco. He talks about the cit…","A Q&amp;A with Dr. Barry Zevin, medical director for street medicine and shelter health in San Francisco. He talks about the city's new program to hand out prescriptions to help addicted people with withdrawal symptoms. https://t.co/hDnv0HJOVg",Sat Aug 18 13:57:47 +0000 2018
VishalKempaiah,"RT @indianmba08: This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affecte…","This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affected from floods in and around kushalnagar, Please share my contact number 9980516161 for those who need a shelter.

Share it.
@Kanagalogy",Sat Aug 18 13:57:43 +0000 2018
prasan_kumar,RT @vinayaravind: A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please s…,"A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please share for visibility please (Map will help people with directions too)

https://t.co/5EQxgJ51TE",Sat Aug 18 13:57:34 +0000 2018
Arunkum83041611,"RT @PratyushaOrg: Due to the continuing rains and floods, hundreds are losing lives and several marooned in their houses and relief camps w…","Due to the continuing rains and floods, hundreds are losing lives and several marooned in their houses and relief camps without basic necessities like food, water, clothing and shelter. 
Isn't it now our time to help Kerala and its people? (2)",Sat Aug 18 13:57:26 +0000 2018
Ammu74156970,"@NiharickaSingh in Kerala people are suffering due to the flood. Several people are given shelter in camps. There are kids, old ones and women. Please pray for us.",,Sat Aug 18 13:56:51 +0000 2018
vito4224,"RT @NYTHealth: A Q&amp;A with Dr. Barry Zevin, medical director for street medicine and shelter health in San Francisco. He talks about the cit…","A Q&amp;A with Dr. Barry Zevin, medical director for street medicine and shelter health in San Francisco. He talks about the city's new program to hand out prescriptions to help addicted people with withdrawal symptoms. https://t.co/hDnv0HJOVg",Sat Aug 18 13:56:40 +0000 2018
shruthipady,RT @vinayaravind: A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please s…,"A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please share for visibility please (Map will help people with directions too)

https://t.co/5EQxgJ51TE",Sat Aug 18 13:56:33 +0000 2018
Sham_Gumaste,"RT @indianmba08: This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affecte…","This is Santhosh from             Hotel Maharaja, B.M.Road. Kushalnagar, here we can accommodate 50 people who are affected from floods in and around kushalnagar, Please share my contact number 9980516161 for those who need a shelter.

Share it.
@Kanagalogy",Sat Aug 18 13:56:26 +0000 2018
saurabh_42,RT @vinayaravind: A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please s…,"A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please share for visibility please (Map will help people with directions too)

https://t.co/5EQxgJ51TE",Sat Aug 18 13:56:25 +0000 2018
pawfectpal,"RT @petMD: 6.5 million animals arrive at US animal shelters each year, and although 3.2 million are adopted, a big gap of needy pets remain…","6.5 million animals arrive at US animal shelters each year, and although 3.2 million are adopted, a big gap of needy pets remains. Find out how the #ClearTheShelters campaign brings awareness to adoption and encourages people to adopt a shelter pet. 🐶🐱 https://t.co/8c1lprZOql https://t.co/muz1WErtnm",Sat Aug 18 13:56:24 +0000 2018
CaRT3nO,"RT @redaguessoumdvm: 6.5 million animals arrive at US animal shelters each year, and although 3.2 million are adopted, a big gap of needy p…","6.5 million animals arrive at US animal shelters each year, and although 3.2 million are adopted, a big gap of needy pets remains. Find out how the #ClearTheShelters campaign brings awareness to adoption and encourages people to adopt a shelter pet. … https://t.co/UHkSOZ3Ikf",Sat Aug 18 13:56:16 +0000 2018
paapus,RT @vinayaravind: A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please s…,"A bunch of us are compiling verified information that can help people seeking food/shelter/rescue etc. Could you please share for visibility please (Map will help people with directions too)

https://t.co/5EQxgJ51TE",Sat Aug 18 13:55:27 +0000 2018
AlooToSona,RT @mepratap: Visited the shelter homes which have been set up in Suntikoppa &amp; Madikeri. Interacted with the affected people &amp; heard their…,"Visited the shelter homes which have been set up in Suntikoppa &amp; Madikeri. Interacted with the affected people &amp; heard their grievances &amp; made arrangements for necessary relief materials.
#SOSKodagu 
#KodaguFloods https://t.co/9Th1aR2HVR",Sat Aug 18 13:55:15 +0000 2018
