gw20900,"RT @ajaymaken: Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our…","Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our prayers to grant strength to the bereaved family.
#RIPVimalKhurana https://t.co/RBAoe6ZwbB",Sat Aug 18 18:15:31 +0000 2018
brinyellrogers1,RT @shaylllaa: ian even gone flex we all b laughing at her relationship with young boy but theres helly mfs in that same situation. This ai…,ian even gone flex we all b laughing at her relationship with young boy but theres helly mfs in that same situation. This ain’t even funny this is sad and she needs help; my prayers out to her fr. https://t.co/YaVx2dA9hy,Sat Aug 18 18:14:09 +0000 2018
Domadebest,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 18:12:05 +0000 2018
arungiri,"RT @ajaymaken: Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our…","Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our prayers to grant strength to the bereaved family.
#RIPVimalKhurana https://t.co/RBAoe6ZwbB",Sat Aug 18 18:11:39 +0000 2018
Pa678Swa,"Would they be angry if I thought of joining you
Gloomy is Sunday, with shadows I spend it all
My heart and I have decided to end it all...,...,...
..
Soon there'll be candles and prayers that are sad, I know
Let them not weep, let them know that I'm glad to go",,Sat Aug 18 18:06:21 +0000 2018
realkapur,"RT @ajaymaken: Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our…","Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our prayers to grant strength to the bereaved family.
#RIPVimalKhurana https://t.co/RBAoe6ZwbB",Sat Aug 18 18:05:20 +0000 2018
grannym70,"@ElderLansing @CNN @Blklivesmatter OMG, how sad, R.I.P. Kenwon. Prayers for his family and friends 😢",,Sat Aug 18 18:05:11 +0000 2018
ohenebalife,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 18:04:10 +0000 2018
rajanbhamba,"RT @ajaymaken: Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our…","Extremely sad to hear the sudden demise of Sh. Vimal Khurana s/o Ex-CM, Sh Madan Lal Khurana (who is also ailing).

All our prayers to grant strength to the bereaved family.
#RIPVimalKhurana https://t.co/RBAoe6ZwbB",Sat Aug 18 18:04:08 +0000 2018
Dontwantfun,It is sad yet predictable that she would use my name at this time to reinvent past incidents for her promotional gain. It is in my heart to forgive and I will keep her in my prayers.,,Sat Aug 18 18:04:08 +0000 2018
