cgocke1,The wind in Richland must be super strong  #LivePD,,Sat Aug 18 01:53:05 +0000 2018
Sleepening,the wind is super strong im blown away ..... ;) https://t.co/wugfw5FOOg,,Fri Aug 17 07:50:56 +0000 2018
savanparmar,its raining so so so heavily since 5.30 am and it just keeps on getting worse and worse.. strong wind and super fast rain what a deadly combo. #thunderstorm #HeavyRain,,Fri Aug 17 04:02:18 +0000 2018
MirrorKyoto,@celcosplay Omg yeah your dark team is loaded! Those are all super great chars!! If you can I'd recommend work on wind or earth as well since those elements are really f2p friendly and will make you strong faster :3 but the game's about having fun so do whatever motivates you!,,Wed Aug 15 23:26:25 +0000 2018
takeherhoume,@ w1 be careful esp the super skinny members bc the wind is strong u might actually get blown away lmao,,Wed Aug 15 06:48:26 +0000 2018
MonoChronica,"@medicalaxioms @Uber @lyft If you need to do an extra activity just to be able to drive home, you shouldn't be driving at all.

Examples of extra activities include:
1. Drinking a super strong coffee/energy drink
2. Rubbing eyes vigorously
3. Blasting the music
4. Slapping yourself (by wind/hand)
Etcetera",,Wed Aug 15 03:33:20 +0000 2018
NimOgnfmi,It would really be a shame if my tv fell off this makeshift space bc of an earthquake or super strong gust of wind and shattered into a million pieces.,,Tue Aug 14 21:34:54 +0000 2018
kisskean,RT @maria_nero: Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong…,Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong wind could blow him away. 😂 They played 9 songs from the Showbiz album #Muse #MattBellamy #DomHoward #ChrisWolstenholme https://t.co/UFsF77epV6,Tue Aug 14 20:28:38 +0000 2018
wxlstenholme,RT @maria_nero: Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong…,Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong wind could blow him away. 😂 They played 9 songs from the Showbiz album #Muse #MattBellamy #DomHoward #ChrisWolstenholme https://t.co/UFsF77epV6,Tue Aug 14 19:13:36 +0000 2018
LLStarlight,RT @maria_nero: Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong…,Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong wind could blow him away. 😂 They played 9 songs from the Showbiz album #Muse #MattBellamy #DomHoward #ChrisWolstenholme https://t.co/UFsF77epV6,Tue Aug 14 19:10:56 +0000 2018
maria_nero,Aug 14 1999 #MuseHistory @muse played La Route du Rock Festival in St. Malo #France  Super skinny Matt looked like a strong wind could blow him away. 😂 They played 9 songs from the Showbiz album #Muse #MattBellamy #DomHoward #ChrisWolstenholme https://t.co/UFsF77epV6,,Tue Aug 14 19:02:58 +0000 2018
EWestaway,RT @impermfilm: Incredible wind storms and super strong caterpillars...: https://t.co/64uhGfEjP6 via @YouTube,Incredible wind storms and super strong caterpillars...: https://t.co/64uhGfEjP6 via @YouTube,Tue Aug 14 12:25:37 +0000 2018
Cheermaster500,@WillWeaverRVA whoa man this wind from this storm that hit ya'll already is blowing super strong here! Stay safe man,,Mon Aug 13 23:44:38 +0000 2018
heirl00mreviews,I liked a @YouTube video https://t.co/tIvmP65t1K Incredible wind storms and super strong caterpillars...,,Mon Aug 13 15:33:13 +0000 2018
CharmaineDupa,Strong wind and super rain andy,,Mon Aug 13 11:14:27 +0000 2018
elocinjacinto,mother this rain and super strong wind?????,,Mon Aug 13 08:58:15 +0000 2018
hangingwithmr,SVP100 splits confirming what I expected. Set off too quickly when usually I start comfortably &amp; wind it up to finish strong. Still super happy with time/placing but good to learn where to improve for next time.,,Mon Aug 13 08:30:21 +0000 2018
pxlatedtraveler,"@aorticinkwell That’s how it felt like to me too. All of a sudden my parents called saying there was a monster of a storm heading to town, and that the gusts of wind were super strong. I looked it up on weather channel radar and it was craaaazy huuuge! It went as far down as Laughlin!",,Mon Aug 13 02:18:54 +0000 2018
pixieitzel,"@stac_cat_o it’s super windy and dark, the wind is so strong it’s moving the cars slightly",,Sun Aug 12 20:26:18 +0000 2018
impermfilm,Incredible wind storms and super strong caterpillars...: https://t.co/64uhGfEjP6 via @YouTube,,Sun Aug 12 16:10:32 +0000 2018
AntTGale,Ann &amp; Jones area getting hit by super strong wind gusts. Started about 20 minutes ago. https://t.co/SRyoYupAMb,,Sun Aug 12 03:47:02 +0000 2018
fairyeoltale,morning. it’s flooded in our village and the rain and wind are still super strong!!! let’s pray that it stops soon :(,,Sun Aug 12 03:10:57 +0000 2018
Otweetweetgodam,"@dhm See these idiots everywhere. One dude was holding sign during the Phils home opener that said sissies are going to hell, but couldn't keep it in the air due to the strong wind. I commented on that fact and he told me he'd be in my mom's bedroom later that day. Super Christian...",,Sat Aug 11 18:48:06 +0000 2018
Nichebabies,"Indeed a LIFE SAVIOUR in this SUPER HOT WEATHER ARGHHHH

My 2 gals have 02COOL fan blowing on them whenever they are outdoors these days...
The wind is strong n power! Thank god that we have the O2COOL DELUXE... https://t.co/HqgWoj6bPJ",,Sat Aug 11 15:50:44 +0000 2018
AndySam4780,RT @osicne16: Super strong wind &amp;  rain ... keep safe guys ...,Super strong wind &amp;  rain ... keep safe guys ...,Sat Aug 11 03:28:05 +0000 2018
osicne16,Super strong wind &amp;  rain ... keep safe guys ...,,Sat Aug 11 03:23:19 +0000 2018
kriemheldonline,"There was a super duper strong wind that hit our area just today. I don’t know what it was lol i haven’t watched the news yet. Anyways, one thing im worried is that my connection might get slow d/t the weather condition ㅠㅠ",,Fri Aug 10 10:42:58 +0000 2018
BabyCrimsonVamp,Outside it's raining and the wind is blowing super strong. Not complaining tho it's lovely 😍,,Fri Aug 10 10:12:31 +0000 2018
AriMai84,Result of riding a motorbike in this super heavy rain and super strong wind for more than 1.5 hours - My hands now look like those of white people and I can’t really feel my fingers now... https://t.co/Q4ZvF1BviE,,Fri Aug 10 09:37:26 +0000 2018
March4HerandUs,"@sanchezbella3 @TheChickLivesOn @sharonvt75 ROFLLLLLLLLLLLLLLLLLL which has to be stronger than super glue so with one real strong wind he's going to be looking like he was scalped-won't even mention- plus, in so, so much pain ROFLLLLLLLLLLLL",,Fri Aug 10 05:00:29 +0000 2018
BROCKMCROCK,"@cityofcalgary I knew my Air Guitar would be useful one day, I’m going to send some super strong Windmill strum gusts of wind your way to clear out the bad air. I’m going to turn it up to 11! We can talk keys to the city later 😉 https://t.co/0UpGaiS0yh",,Thu Aug 09 16:02:06 +0000 2018
TentipiTents,"Winning Features that make the Tentipi camping experience a little bit special. Here is the pole cap, a super strong construction of tough webbing and tricky stitching! This is where the stress of wind rain and snow focus all their force onto the pole so… https://t.co/M5C3FTwpCK https://t.co/LTzpVy5Ro4",,Wed Aug 08 22:34:44 +0000 2018
