Politiko_Ph,RT @Politiko_Manila: QC gov’t suspends classes on August 20 for Quezon Day https://t.co/8A5opJL7gF @QCPublicAffairs,QC gov’t suspends classes on August 20 for Quezon Day https://t.co/8A5opJL7gF @QCPublicAffairs,Sat Aug 18 11:19:51 +0000 2018
Politiko_Manila,QC gov’t suspends classes on August 20 for Quezon Day https://t.co/8A5opJL7gF @QCPublicAffairs,,Sat Aug 18 11:13:23 +0000 2018
JaysonBalao,"RT @fsqcph: In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 20…","In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 2018. https://t.co/iG0ZNhjoMb",Sat Aug 18 02:23:18 +0000 2018
manilainformer,Quezon City suspends classes on Monday for Manuel Quezon birth anniversary https://t.co/KbEFA1A1av https://t.co/ZgYvlg7c95,,Fri Aug 17 22:46:15 +0000 2018
Ioonasphere,haseul make it rain in manila until our mayor suspends classes i dont want to take my economics exam,,Fri Aug 17 15:08:42 +0000 2018
LarryDomingo15,"RT @PhilippineStar: Classes on Monday, August 20 are suspended in all levels in Quezon City to commemorate the birth anniversary of former…","Classes on Monday, August 20 are suspended in all levels in Quezon City to commemorate the birth anniversary of former President Manuel Quezon. https://t.co/G6cvFfizsE https://t.co/xtHXtnIzw9",Fri Aug 17 13:48:52 +0000 2018
newscenterPHL1,"RT @PhilippineStar: Classes on Monday, August 20 are suspended in all levels in Quezon City to commemorate the birth anniversary of former…","Classes on Monday, August 20 are suspended in all levels in Quezon City to commemorate the birth anniversary of former President Manuel Quezon. https://t.co/G6cvFfizsE https://t.co/xtHXtnIzw9",Fri Aug 17 13:21:02 +0000 2018
PhilippineStar,"Classes on Monday, August 20 are suspended in all levels in Quezon City to commemorate the birth anniversary of former President Manuel Quezon. https://t.co/G6cvFfizsE https://t.co/xtHXtnIzw9",,Fri Aug 17 11:00:00 +0000 2018
MigoMeneses,RT @PanahonTV: (1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon C…,"(1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon City on Monday August 20, 2018.",Fri Aug 17 10:28:42 +0000 2018
ericaxtoriii,"RT @fsqcph: In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 20…","In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 2018. https://t.co/iG0ZNhjoMb",Fri Aug 17 09:46:51 +0000 2018
sofiaysabel13_,"RT @fsqcph: In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 20…","In view of the commemoration of the birth of Manuel Quezon, QUEZON CITY suspends classes in all levels on Monday, August 20, 2018. https://t.co/iG0ZNhjoMb",Fri Aug 17 09:10:00 +0000 2018
manilainformer,QC suspends classes on Monday to honor ex-president Quezon https://t.co/fombiATx4O https://t.co/qsx72XBAWJ,,Fri Aug 17 09:02:29 +0000 2018
kirbyquiocson,RT @PanahonTV: (1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon C…,"(1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon City on Monday August 20, 2018.",Fri Aug 17 08:54:24 +0000 2018
marvsbarnardjr,RT @PanahonTV: (1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon C…,"(1/2) #WALANGPASOK | City Mayor Herbert Bautista temporarily suspends classes in all levels - Public and Private at Quezon City on Monday August 20, 2018.",Fri Aug 17 08:44:03 +0000 2018
