carrieboettcher,RT @NWSTopeka: Warm and mostly sunny today. Showers and thunderstorms possible late tonight. Periods of showers and storms Sunday through M…,Warm and mostly sunny today. Showers and thunderstorms possible late tonight. Periods of showers and storms Sunday through Monday. #kswx https://t.co/NI5nEvnfrG,Sat Aug 18 10:49:32 +0000 2018
ibminjibir,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:48:33 +0000 2018
sorosorosan,RT @YHZweatherguy: 2/2 All models have a swath of 50mm across the middle of the Maritimes. Thunderstorms/downpours will give some higher am…,"2/2 All models have a swath of 50mm across the middle of the Maritimes. Thunderstorms/downpours will give some higher amounts (flood risk). The two models in my pic suggest parts CB (maybe E PEI) at risk of 100mm+.
Stay safe https://t.co/nQ6RBfQ7xE",Sat Aug 18 10:48:31 +0000 2018
CloudieCo,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:48:24 +0000 2018
trohm67,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:48:18 +0000 2018
churysira,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:47:43 +0000 2018
JerzyACEHood,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:47:39 +0000 2018
monee_luvv,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:47:33 +0000 2018
youngprince117,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:47:23 +0000 2018
WarAndCoffee,RT @YHZweatherguy: 2/2 All models have a swath of 50mm across the middle of the Maritimes. Thunderstorms/downpours will give some higher am…,"2/2 All models have a swath of 50mm across the middle of the Maritimes. Thunderstorms/downpours will give some higher amounts (flood risk). The two models in my pic suggest parts CB (maybe E PEI) at risk of 100mm+.
Stay safe https://t.co/nQ6RBfQ7xE",Sat Aug 18 10:46:47 +0000 2018
Whitleyweather,Here we go again. Showers and thunderstorms beginning to go over the Gulf. https://t.co/VZNo6cTCtx,,Sat Aug 18 10:46:42 +0000 2018
JRGBonavistaS,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:46:39 +0000 2018
rrandomweirdo,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:46:22 +0000 2018
DOUBNEWS,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:46:18 +0000 2018
Ruben0628,"RT @CNN: These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in th…","These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/9RFiLVwpDZ",Sat Aug 18 10:46:08 +0000 2018
NWSAberdeen,"Showers and thunderstorms move in late today and tonight, and will linger through Sunday. Here's a look at the Severe Weather Outlook and th https://t.co/uGjaREBbiT",,Sat Aug 18 10:46:05 +0000 2018
engOnline1,"RT CNN ""These cars were swept off a dealership lot in Little Falls, New Jersey, after rain showers and thunderstorms caused flooding in the area https://t.co/7023aRlyZj""",,Sat Aug 18 10:45:55 +0000 2018
RachaelWood10,"RT @NWS_BaltWash: Today will be warm, but not quite as hot as the last few days with more clouds around. Scattered showers and thunderstorm…","Today will be warm, but not quite as hot as the last few days with more clouds around. Scattered showers and thunderstorms are likely again this afternoon and evening. https://t.co/8HJHwd5T1K",Sat Aug 18 10:45:40 +0000 2018
