jma343,"RT @MuslimIQ: Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bom…","Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bombs to dictators &amp; helps dictators bomb
•refuses accountability
•bans Yemeni refugees from coming to US b/c *they* threaten us🤔
https://t.co/zKSYcbsa9b",Sat Aug 18 14:20:45 +0000 2018
LemuelRisaac,RT @Alyssa_Milano: Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles…,Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles.  One of those missiles was used in a Saudi air strike that killed 40 Yemeni kids.  https://t.co/kSEE215Ac0,Sat Aug 18 14:20:42 +0000 2018
PDXJulia,RT @Alyssa_Milano: Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles…,Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles.  One of those missiles was used in a Saudi air strike that killed 40 Yemeni kids.  https://t.co/kSEE215Ac0,Sat Aug 18 14:20:41 +0000 2018
VeaSandra,"RT @MuslimIQ: Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bom…","Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bombs to dictators &amp; helps dictators bomb
•refuses accountability
•bans Yemeni refugees from coming to US b/c *they* threaten us🤔
https://t.co/zKSYcbsa9b",Sat Aug 18 14:20:36 +0000 2018
markhollinrake,RT @TheGreenParty: The UK championed the #armstradetreaty. Article 7 of ATT prohibits arms sales where there is an 'overriding risk' they w…,"The UK championed the #armstradetreaty. Article 7 of ATT prohibits arms sales where there is an 'overriding risk' they will be used to commit or facilitate a serious violation of international humanitarian or human rights law. Stop arms sales to Saudi NOW.
https://t.co/aPX44UFJKh",Sat Aug 18 14:20:31 +0000 2018
rachel99marta,RT @Alyssa_Milano: Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles…,Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles.  One of those missiles was used in a Saudi air strike that killed 40 Yemeni kids.  https://t.co/kSEE215Ac0,Sat Aug 18 14:20:29 +0000 2018
FrodoChewhan,"RT @chunkymark: “The unbearable weight of the lightest bodies”
Boys dig friends graves Theresa May and her Tory Government complicit in the…","“The unbearable weight of the lightest bodies”
Boys dig friends graves Theresa May and her Tory Government complicit in the massacre of 40 children..
Why is the media so silent about Theresa May who is holding her to account? Who?

https://t.co/exPxAhfKZt",Sat Aug 18 14:20:26 +0000 2018
stringbeans15,"RT @NathanHRubin: Strike 1: Brett Kavanaugh went $200,000 in debt for sports tickets.

Strike 2: Kavanaugh deliberately misled &amp; lied to th…","Strike 1: Brett Kavanaugh went $200,000 in debt for sports tickets.

Strike 2: Kavanaugh deliberately misled &amp; lied to the Senate in 2006.

Strike 3: Kavanaugh wrote that under no circumstances can a President be charged with a crime.

Sorry, Brett. Three strikes. 

You’re out.",Sat Aug 18 14:20:26 +0000 2018
ovasili,"RT @OrlaGuerin: #Yemen BBC News Rare footage of the terrible human cost of airstrikes in #Yemen
Huge thanks to team - @NicolaCareem, @Antjc…","#Yemen BBC News Rare footage of the terrible human cost of airstrikes in #Yemen
Huge thanks to team - @NicolaCareem, @Antjclifford. 
Boys dig friends’ graves after air strike https://t.co/nRcGsgjT7D",Sat Aug 18 14:20:24 +0000 2018
cal3bslaton,"RT @BrianZahnd: Come you masters of war
You that build all the guns
You that build the death planes
You that build the big bombs
You that h…","Come you masters of war
You that build all the guns
You that build the death planes
You that build the big bombs
You that hide behind walls
You that hide behind desks
I just want you to know
I can see through your masks
https://t.co/DWlbCXl4ZQ",Sat Aug 18 14:20:23 +0000 2018
rahah_ghazali,RT @Alyssa_Milano: Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles…,Jesus.  Trump admin overturned an Obama-admin ban on selling precision-guided tech to the Saudis.  We then sold missiles.  One of those missiles was used in a Saudi air strike that killed 40 Yemeni kids.  https://t.co/kSEE215Ac0,Sat Aug 18 14:20:19 +0000 2018
Mrsbtgabs,"RT @MuslimIQ: Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bom…","Confirmed: Lockheed Martin built the bomb that killed 40 Yemeni kids
•US Govt spends tax dollars on building bombs
•sells bombs to dictators &amp; helps dictators bomb
•refuses accountability
•bans Yemeni refugees from coming to US b/c *they* threaten us🤔
https://t.co/zKSYcbsa9b",Sat Aug 18 14:20:19 +0000 2018
Alesh_jnr,RT @salahudeensheu1: Mr. Vice President sir!Am a student of LAUTECH Ogbomoso owned by Oyo and Osun States under the leadership of @AAAjimob…,Mr. Vice President sir!Am a student of LAUTECH Ogbomoso owned by Oyo and Osun States under the leadership of @AAAjimobi &amp; @raufaregbesola. Both governors have failed to do their obligations on the Uni which had in turn causing incessant strike action in the school. Please help us https://t.co/3GYZfZ73aI,Sat Aug 18 14:20:15 +0000 2018
