ipobincatalunya,"RT @BiafraHerald: #IPOB: September 14th is Saboteur Day/The Day of Betrayal.

Say #NoToSaboteur in #Biafra-land.

We shall remember victims…","#IPOB: September 14th is Saboteur Day/The Day of Betrayal.

Say #NoToSaboteur in #Biafra-land.

We shall remember victims of Nigerian Army’s operation Python Dance II.

#StopBiafraOppressions 
#StopBiafraKillings 
#Pray4Biafra 🙏🏽
@AmnestyNigeria https://t.co/GDCNtNJy4q",Sat Aug 18 17:12:09 +0000 2018
Appleknocker18,"RT @cwebbonline: Dear ⁦@Pontifex⁩ I love you, but you must step in. It isn’t enough to ask for forgiveness. The Church must actually do the…","Dear ⁦@Pontifex⁩ I love you, but you must step in. It isn’t enough to ask for forgiveness. The Church must actually do the right thing after ruining so many lives. Do not fight the extension of the statute of limitation on sex crimes.
#CatholicMeToo  https://t.co/QDzgS3oJas",Sat Aug 18 17:12:08 +0000 2018
EzaldeenKanaan,"Dears,
@adidasUS @adidas @adidasoriginals,
I would like to report the below fake link as #Adidas discounted website(https://t.co/LVa92SrzeO) the fake website affects lot of #adidas lovers and need from you as a respectable company a serious action to preventing more victims",,Sat Aug 18 17:12:07 +0000 2018
LynneTJones2,RT @auntlellie: @shannonrwatts @MartiCannon @NRA @BetoORourke @tedcruz Compassion for Hurricane Harvey victims or families and loved ones o…,"@shannonrwatts @MartiCannon @NRA @BetoORourke @tedcruz Compassion for Hurricane Harvey victims or families and loved ones of the Santa Fe shooting is not a man Texas deserves to have represent them. We all deserve better, we all deserve @BetoORourke.",Sat Aug 18 17:12:06 +0000 2018
k8winkler,RT @AuschwitzMuseum: We always need to remember about the unimaginable human suffering of all victims. It's our obligation to protect &amp; res…,We always need to remember about the unimaginable human suffering of all victims. It's our obligation to protect &amp; respect their dignity. https://t.co/firKRxE8sF,Sat Aug 18 17:12:06 +0000 2018
dulcimer1978,"RT @fred_guttenberg: @realDonaldTrump Trump, are you seriously defending Alex Jones over other media.  The same Alex Jones who calls for ri…","@realDonaldTrump Trump, are you seriously defending Alex Jones over other media.  The same Alex Jones who calls for riots and has said that the Sandy Hook shooting never happened and harassed its victims.  Wow, new pathetic low for you!!!  @SpeakerRyan and @SenateMajLdr , WAKE UP!!!",Sat Aug 18 17:12:06 +0000 2018
akhilteja456,"RT @CinemaPichhi: #SuperstarMaheshBabu donating 25 Lakhs to Kerala CM Distress Relief Fund to extend his support to flood victims 👍👍

#Kera…","#SuperstarMaheshBabu donating 25 Lakhs to Kerala CM Distress Relief Fund to extend his support to flood victims 👍👍

#KeralaFloodRelief",Sat Aug 18 17:12:05 +0000 2018
seshukumardhfm,"RT @UrstrulyHNE: Superstar @urstrulyMahesh  donating 25Lakhs to Kerala Floods Victims 🙏

A true n real superstar....
then 
now 
Forever","Superstar @urstrulyMahesh  donating 25Lakhs to Kerala Floods Victims 🙏

A true n real superstar....
then 
now 
Forever",Sat Aug 18 17:12:04 +0000 2018
ipobincatalunya,"RT @thebiafratimes: #IPOB: September 14th is Saboteur Day/The Day of Betrayal.

Say #NoToSaboteur in #Biafra-land.

We shall remember victi…","#IPOB: September 14th is Saboteur Day/The Day of Betrayal.

Say #NoToSaboteur in #Biafra-land.

We shall remember victims of Nigerian Army’s operation Python Dance II.

#StopBiafraOppressions 
#StopBiafraKillings 
#Pray4Biafra 🙏🏽
@AmnestyNigeria https://t.co/UeUISf9Xop",Sat Aug 18 17:12:04 +0000 2018
NaffaMahasati,"RT @HerNameIs_Bea: ""A person who practices charity so secretly that his left hand does not know what his right hand has given""

With that s…","""A person who practices charity so secretly that his left hand does not know what his right hand has given""

With that said I hope that as many as possible (who can) shows generosity &amp; support towards the victims of #KeralaFloods in the uttermost respectful way. https://t.co/wzQvYupy6X",Sat Aug 18 17:12:04 +0000 2018
shailendra8273,RT @MyNation: #RSS in action to help with #KeralaFloodRelief and #KeralaFloodRescue. #KeralaFloods https://t.co/K2mEBo9Yc3,#RSS in action to help with #KeralaFloodRelief and #KeralaFloodRescue. #KeralaFloods https://t.co/K2mEBo9Yc3,Sat Aug 18 17:12:03 +0000 2018
BrahaspatiSutra,RT @MyNation: #RSS in action to help with #KeralaFloodRelief and #KeralaFloodRescue. #KeralaFloods https://t.co/K2mEBo9Yc3,#RSS in action to help with #KeralaFloodRelief and #KeralaFloodRescue. #KeralaFloods https://t.co/K2mEBo9Yc3,Sat Aug 18 17:12:02 +0000 2018
Ramakri39056152,"RT @pvdinesh: SC Justice kurian Jospeh is involved in packing relief materials for kerala flood victims , outside Supreme Court https://t.c…","SC Justice kurian Jospeh is involved in packing relief materials for kerala flood victims , outside Supreme Court https://t.co/1bdjDPMCK7",Sat Aug 18 17:12:02 +0000 2018
iChampionWomen,RT @Hogshead3Au: Reversed! The US Center for SafeSport wouldn’t even let the @LopezTKDAcademy appeal go to the arbitrator - defying its own…,"Reversed! The US Center for SafeSport wouldn’t even let the @LopezTKDAcademy appeal go to the arbitrator - defying its own rules to force the victims to testify. 😱 1/ 
https://t.co/WYFdWiOVEO https://t.co/BoQBdsfRJO",Sat Aug 18 17:12:02 +0000 2018
ManitouStultus,RT @AuschwitzMuseum: A fake shower-head found in the ruins of gas chamber and crematorium II at Auschwitz II-Birkenau. The last element of…,A fake shower-head found in the ruins of gas chamber and crematorium II at Auschwitz II-Birkenau. The last element of deception. Victims were given the ilusion of hope &amp; told about disinfection. One of many objects at @auschwitzxhibit in Madrid. More: https://t.co/VdA3oZeQYC https://t.co/7LKsoXLtss,Sat Aug 18 17:12:01 +0000 2018
