AlexCorderoWX,"RT @NWSMobile: 🌀49 Years Ago - Late on the 17th of August in 1969, Hurricane #Camille made landfall along the Mississippi Gulf Coast.
🌬️The…","🌀49 Years Ago - Late on the 17th of August in 1969, Hurricane #Camille made landfall along the Mississippi Gulf Coast.
🌬️The actual maximum sustained wind will never be known, as Camille destroyed all wind-recording instruments in coastal Mississippi.
💻https://t.co/iS4Rg9k2GG https://t.co/vkfnqgFpcH",Sat Aug 18 12:34:19 +0000 2018
OmglolU,RT @ClimateChaosBot: Tropical Storm Rumbia will continue to spread the danger for flooding across eastern China well after landfall. Rumbia…,Tropical Storm Rumbia will continue to spread the danger for flooding across eastern China well after landfall. Rumbia is expected to make landfall in China's northern Zhejiang Province by Friday: https://t.co/MbRlRuuWBZ https://t.co/lzpkD6FiJN https://t.co/hAseqrWZsH https://t.co/VB8jVPkvNu,Sat Aug 18 05:01:59 +0000 2018
Paula_Hayes8,Hurricane Maria makes landfall in Dominica https://t.co/jFrg35Colc https://t.co/UNmyTwYYfA,,Sat Aug 18 04:33:59 +0000 2018
Matilde_medina4,Hurricane Maria makes landfall in Dominica https://t.co/BP0WeQRebm https://t.co/W1aB0znXml,,Sat Aug 18 04:32:01 +0000 2018
juana_maria4,Maria makes landfall in Dominica at Category 5 https://t.co/oFUXOZcyYB https://t.co/bOoMGkKwvk,,Sat Aug 18 04:28:35 +0000 2018
Lizrivera75,CNN reporter lashed by winds in Puerto Rico https://t.co/ONnQqFr8UX https://t.co/8SgAYByig9,,Sat Aug 18 04:27:32 +0000 2018
Carlos_Monzon7,Ferocious winds lash at Puerto Rico https://t.co/nx5rE6fNpp https://t.co/40kEvb8s3S,,Sat Aug 18 04:23:52 +0000 2018
isabel_lopez0,Maria makes landfall in Dominica at Category 5 https://t.co/0DyNretjSE https://t.co/cblEOJqzVP,,Sat Aug 18 04:21:28 +0000 2018
Valeria_soto6,CNN reporter lashed by winds in Puerto Rico https://t.co/mTypaLJuUJ https://t.co/LXqdNpTFDH,,Sat Aug 18 04:13:35 +0000 2018
Julio_Gamarra3,Hurricane Maria makes landfall in Dominica https://t.co/Uni1nMi23j https://t.co/ga0YtUbw62,,Sat Aug 18 04:07:00 +0000 2018
