Oldlady12345,RT @kare11: Toll rises to 42 in Italy bridge collapse ahead of funeral https://t.co/JuYURmDfp8 https://t.co/ibby5BxOt6,Toll rises to 42 in Italy bridge collapse ahead of funeral https://t.co/JuYURmDfp8 https://t.co/ibby5BxOt6,Sat Aug 18 19:12:07 +0000 2018
bnhunter3273,RT @EpochTimes: Italian Media: Death Toll Rises to 41 in Bridge Collapse https://t.co/jdp2OpNVtO #GenoaBridgeCollapse #ItalyBridgeCollapse,Italian Media: Death Toll Rises to 41 in Bridge Collapse https://t.co/jdp2OpNVtO #GenoaBridgeCollapse #ItalyBridgeCollapse,Sat Aug 18 19:11:37 +0000 2018
soufflegirlpond,RT @liamcunningham1: Populist dog whistle politics lead to death. Another proud achievement of the Five Star movement. https://t.co/mtQqUYk…,Populist dog whistle politics lead to death. Another proud achievement of the Five Star movement. https://t.co/mtQqUYkLVW,Sat Aug 18 19:11:01 +0000 2018
zachishtti,RT @nytimesworld: Italy mourned those killed in the collapse of a bridge in Genoa with state funerals on Saturday as the country struggled…,Italy mourned those killed in the collapse of a bridge in Genoa with state funerals on Saturday as the country struggled to come to terms with a tragedy that critics say could have been avoided https://t.co/WmBi78wzcW,Sat Aug 18 19:10:46 +0000 2018
EmojiiPrincess,Stopped right on top of a bridge praying it doesn’t collapse because of all these cars 😰,,Sat Aug 18 19:10:40 +0000 2018
JeanValjean84,RT @OnlineMagazin: 🆘‼😎🇮🇹 #Italy: Interior Minister #MatteoSalvini went to the memorial service for the many victims of the terrible bridge…,🆘‼😎🇮🇹 #Italy: Interior Minister #MatteoSalvini went to the memorial service for the many victims of the terrible bridge collapse in #Genoa. Pay attention to the applause that the people's tribune receives from citizens and relatives for its excellent work. A man of action! https://t.co/zko8Y3jPIb,Sat Aug 18 19:10:40 +0000 2018
ItaliaAmericano,"GENOVA, ITALY: On behalf of myself, Italian American Association (ITAA) and the U.S., we express our deepest sympathies and condolences to the families of the 42 people who died tragically in the #Genova bridge collapse. We stand in solidarity. Robert Dionisio, Chairman ITAA https://t.co/0YvtntzFs2",,Sat Aug 18 19:10:21 +0000 2018
atomicjoy,"@Gwenelope I have a theory that the train there's always a dog that always survives is that in probably the most famous real disaster caught on film in its early days, the collapse of the Tacoma Narrows bridge, the only casualty was a dog.",,Sat Aug 18 19:09:28 +0000 2018
jomarkr,RT @SkyNews: Firefighters were applauded as they arrived to pay their respects to the victims of the Morandi Bridge collapse at the state f…,"Firefighters were applauded as they arrived to pay their respects to the victims of the Morandi Bridge collapse at the state funeral in Genoa.

For more on this story, head here: https://t.co/x1Ynk8tAq3 https://t.co/RcwRdmFdmC",Sat Aug 18 19:09:14 +0000 2018
Lisa_HealthJob,The Latest: Romanian trucker is Genoa bridge's 43rd victim - Washington Post https://t.co/OmTdDo4sqs https://t.co/HSbT0Km56D,,Sat Aug 18 19:09:05 +0000 2018
