TtotheMar_1,RT @jackbarlow_STS: @_rileymareth Your brother and I went to a party with the football team and left after gunshots were outside the apartm…,@_rileymareth Your brother and I went to a party with the football team and left after gunshots were outside the apartment. But naps are cool too I suppose,Sat Aug 18 18:09:58 +0000 2018
CaseyHibma,"Unexpected voice behind me? Unfazed
Loud vehicle zooming past? Whatever
Fireworks/gunshots outside my window? I don't bat an eye.

The sound of insect wings near my ear?
Full karate stances after twisting my ankle flipping myself like a cat near a cucumber",,Sat Aug 18 13:01:01 +0000 2018
casanova407_876,RT @MyNews13: Officers working at Gilt nightclub say they heard gunshots around 2:30 a.m. One person was found with a gunshot wound and ano…,Officers working at Gilt nightclub say they heard gunshots around 2:30 a.m. One person was found with a gunshot wound and another was taken into custody. https://t.co/Wvm0vXNXGe,Sat Aug 18 12:12:59 +0000 2018
RichFiege,RT @MyNews13: Officers working at Gilt nightclub say they heard gunshots around 2:30 a.m. One person was found with a gunshot wound and ano…,Officers working at Gilt nightclub say they heard gunshots around 2:30 a.m. One person was found with a gunshot wound and another was taken into custody. https://t.co/Wvm0vXNXGe,Sat Aug 18 10:31:26 +0000 2018
MyNews13,Officers working at Gilt nightclub say they heard gunshots around 2:30 a.m. One person was found with a gunshot wound and another was taken into custody. https://t.co/Wvm0vXNXGe,,Sat Aug 18 10:22:05 +0000 2018
Abel312_,@BeanerChava Outside in the st00p drinking with  neighbors. We literally just heard 4 gunshots. 😅😅,,Sat Aug 18 08:39:48 +0000 2018
Caretaker_Cat,"@PollackHunter @davidhogg111 @Emma4Change Seems like they work hard 2fix root of problem- guns in wrong hands &amp; self interested pols who just want 2 get re-elected &amp; fail 2do jobs - like Florida red flag &amp; age restrictions BEFORE parkland tragedy. Even if u could #fixit inside, outside not fixed https://t.co/UoJq7NdXR2",,Sat Aug 18 08:31:38 +0000 2018
texasfrenchie95,Gunshots outside my hotel a couple of minutes ago.,,Sat Aug 18 08:02:45 +0000 2018
Pumpernickel_B,Gunshots outside my house in my neighborhood at 2am. WOOOOO Boy what a time to be alive.,,Sat Aug 18 07:15:12 +0000 2018
danimarie666,Woke up to gunshots and police sirens outside my window it was nice knowing ya’ll,,Sat Aug 18 07:09:16 +0000 2018
LeahandBacon,"Waiter: ""There were gunshots outside a block north of here so be careful.""
Me: *goes outside a block north*",,Sat Aug 18 06:31:12 +0000 2018
imtooTRENDY_,Why i just heard gunshots outside and i called to report it like a Caucasian? 😭😭,,Sat Aug 18 06:10:17 +0000 2018
velvetchangkyun,i hear gunshots outside ugh can y’all do this another day i’m sleepy,,Sat Aug 18 05:59:53 +0000 2018
pikabitch_,RT @TheSunVanished: I can't sleep. I think the noises outside are gunshots.,I can't sleep. I think the noises outside are gunshots.,Sat Aug 18 04:50:33 +0000 2018
96mazes,uhhh there was something that sounded like gunshots outside,,Sat Aug 18 04:21:11 +0000 2018
ChritainDragoon,"I liked a @YouTube video https://t.co/rOar3bryxN Snapchat Q&amp;A: Top Irish YouTuber, Gunshots Outside My Window &amp; The Dog Farts!",,Sat Aug 18 03:53:30 +0000 2018
MissEmmiKat,"*hears 3 distinct gunshots in the darkness of night*
...
* opens the door and goes outside to see if I can find out what's going on*",,Sat Aug 18 03:42:30 +0000 2018
LESTER1stnameMO,I’m sorry….is that gunshots outside rn?! Wooow Florida. Way to wrap up summer,,Sat Aug 18 03:32:39 +0000 2018
eIfnovember,welcome back to i hope those loud boom noises outside the window are fireworks and not gunshots,,Sat Aug 18 02:29:50 +0000 2018
caslexas,the real mexico experience is not knowing whether the sound outside was a firework or gunshots,,Sat Aug 18 01:52:20 +0000 2018
