seneca1411,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Sat Aug 18 14:00:11 +0000 2018
PaulHessburg,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Sat Aug 18 06:49:40 +0000 2018
CalDisasters,"RT @jftaveira1993: The #MendocinoComplex Fire, is actually two fires, the #RanchFire that was 72 percent contained as of Thursday and the #…","The #MendocinoComplex Fire, is actually two fires, the #RanchFire that was 72 percent contained as of Thursday and the #RiverFire that was 100 percent contained, according to California Department of Forestry and Fire Protection, also known as #CalFire. https://t.co/SZYjIhtJBg",Sat Aug 18 00:04:50 +0000 2018
jftaveira1993,"The #MendocinoComplex Fire, is actually two fires, the #RanchFire that was 72 percent contained as of Thursday and the #RiverFire that was 100 percent contained, according to California Department of Forestry and Fire Protection, also known as #CalFire. https://t.co/SZYjIhtJBg",,Fri Aug 17 18:43:51 +0000 2018
inlandempireus,"RT @BBGrizzlyG: Fire near Gold Mountain 100 percent contained, but not out https://t.co/zw2ij9DiY6 @BBGrizzly @BigBearNow1 https://t.co/TSO…","Fire near Gold Mountain 100 percent contained, but not out https://t.co/zw2ij9DiY6 @BBGrizzly @BigBearNow1 https://t.co/TSO6HfmEDz",Fri Aug 17 14:55:57 +0000 2018
Shanahanfam,"RT @HoopaTribe: Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 p…","Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",Fri Aug 17 05:05:59 +0000 2018
NanaPatty,"RT @HoopaTribe: Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 p…","Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",Fri Aug 17 02:03:19 +0000 2018
BBGrizzlyG,"Fire near Gold Mountain 100 percent contained, but not out https://t.co/zw2ij9DiY6 @BBGrizzly @BigBearNow1 https://t.co/TSO6HfmEDz",,Fri Aug 17 01:28:38 +0000 2018
TrinityDOT,"RT @HoopaTribe: Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 p…","Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",Fri Aug 17 00:07:15 +0000 2018
NNCMagazine,"RT @HoopaTribe: Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 p…","Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",Thu Aug 16 23:45:37 +0000 2018
HumCoSO,"RT @HoopaTribe: Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 p…","Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",Thu Aug 16 23:36:55 +0000 2018
HoopaTribe,"Be advised! 

There are currently five (5) fires burning near Mill Creek in Hoopa. As of right now, two (2) fires are 100 percent contained, two (2) fires are in the process of containment, and one fire (1) is... https://t.co/TOspqgG4ol",,Thu Aug 16 23:34:39 +0000 2018
DebMoran52,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 22:53:02 +0000 2018
RossJaklik,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 21:37:50 +0000 2018
DerechoSquared,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 21:18:44 +0000 2018
Encouragedbyit,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 18:33:09 +0000 2018
holly_hazard,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 18:10:58 +0000 2018
fherreraborunda,"RT @forestservice: The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency per…","The #CarrFire is now 67 percent contained. This #wildfire is covering 211,036 acres now. More than 4,100 interagency personnel, including 305 USDA Forest Service #firefighters, are working on containing this #wildfire. https://t.co/TvOOPIcasK",Thu Aug 16 18:06:31 +0000 2018
