WashInstitute,RT @Mikeknightsiraq: To underline the logic of the US-Saudi deal I propose:  [If] KSA suspends leadership/deep strikes in civ areas [and] H…,To underline the logic of the US-Saudi deal I propose:  [If] KSA suspends leadership/deep strikes in civ areas [and] Houthis end of missile attacks on KSA and tankers [then] US never needs to undertake proffered counter-force strikes on Houthi missiles https://t.co/NhxIQsHrG1,Fri Aug 17 20:41:54 +0000 2018
Mikeknightsiraq,To underline the logic of the US-Saudi deal I propose:  [If] KSA suspends leadership/deep strikes in civ areas [and] Houthis end of missile attacks on KSA and tankers [then] US never needs to undertake proffered counter-force strikes on Houthi missiles https://t.co/NhxIQsHrG1,,Fri Aug 17 18:53:41 +0000 2018
LBY3,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Fri Aug 17 14:27:38 +0000 2018
JeffHorseman,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Fri Aug 17 03:03:15 +0000 2018
westerncaucus,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Thu Aug 16 21:27:35 +0000 2018
MarshallLocke,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Thu Aug 16 20:37:12 +0000 2018
DebLynnSenger,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Thu Aug 16 20:33:02 +0000 2018
CongressRTBot,"RT @KenCalvert: Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize…","Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",Thu Aug 16 20:32:33 +0000 2018
KenCalvert,"Earlier this week, I joined a bipartisan group of my California colleagues to urge the Department of Defense to prioritize the fire tanker retrofitting of seven C-130s that were transferred from the Air Force to Cal Fire. https://t.co/1m82pkuYZi",,Thu Aug 16 20:32:33 +0000 2018
tonidevine2,@realDonaldTrump Please consider starting a Fire Force.  Perhaps designate a section of an existing Air Force Base in the Midwest that is suitable for several Super Tankers for fighting fires.  I say the Midwest due to central location which they can depart to either direction.,,Wed Aug 15 21:02:49 +0000 2018
smooreBofB1940,"@ProfDaveAndress To be fair, this is a legacy of Boeing not installing the US Navy standard AAR system (which is the same as the UK's), so that their P-8s have to be refuelled by US Air Force tankers - so perhaps just 'defence procurement - still stupid'?",,Wed Aug 15 14:40:32 +0000 2018
