NELiveTraffic,ROAD CLOSURE: A167(M) Central Motorway northbound in #Newcastle closed for routine maintenance until 11:00am approx.,,Sun Aug 19 03:00:59 +0000 2018
9NewsMelb,ROAD CLOSURE: Marysville-Woods Point Road is closed in both directions between Marysville at Cumberland Junction due to snow. More: https://t.co/U0yJyo4Qn6 #9News https://t.co/I8wEpUAil2,,Sun Aug 19 02:48:40 +0000 2018
AdamAmpd,RT @OPP_COMM_NWR: UPDATE Road Closure: #Hwy11 between #Longlac and #Hwy631 - Hwy remains CLOSED. Reopening time unknown ^jp,UPDATE Road Closure: #Hwy11 between #Longlac and #Hwy631 - Hwy remains CLOSED. Reopening time unknown ^jp,Sun Aug 19 02:24:59 +0000 2018
ryanbolan,RT @OPP_COMM_NWR: UPDATE Road Closure: #Hwy11 between #Longlac and #Hwy631 - Hwy remains CLOSED. Reopening time unknown ^jp,UPDATE Road Closure: #Hwy11 between #Longlac and #Hwy631 - Hwy remains CLOSED. Reopening time unknown ^jp,Sun Aug 19 01:25:53 +0000 2018
CoMissourian,The Route BB bridge over Interstate 70 will be closed until October starting Monday. Other road work projects will also continue in the Columbia area next week. https://t.co/GVO3vUvMAC,,Sun Aug 19 01:05:01 +0000 2018
jeepgirl3819,"RT @Coventry_RI_PD: Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road d…","Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road due to washout from this afternoons heavy rains and thunderstorms. The road will be closed at... https://t.co/KR15HggXsg",Sun Aug 19 00:55:37 +0000 2018
OPP_COMM_NWR,UPDATE Road Closure: #Hwy11 between #Longlac and #Hwy631 - Hwy remains CLOSED. Reopening time unknown ^jp,,Sun Aug 19 00:48:44 +0000 2018
BellaMig,"RT @Coventry_RI_PD: Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road d…","Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road due to washout from this afternoons heavy rains and thunderstorms. The road will be closed at... https://t.co/KR15HggXsg",Sun Aug 19 00:38:37 +0000 2018
joclarke232,"RT @Coventry_RI_PD: Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road d…","Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road due to washout from this afternoons heavy rains and thunderstorms. The road will be closed at... https://t.co/KR15HggXsg",Sun Aug 19 00:36:22 +0000 2018
CJPFirePhotos,"RT @Coventry_RI_PD: Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road d…","Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road due to washout from this afternoons heavy rains and thunderstorms. The road will be closed at... https://t.co/KR15HggXsg",Sun Aug 19 00:32:53 +0000 2018
Coventry_RI_PD,"Road Closure due to washout
Lewis Farm Road will be closed at Route 117 and closed in the area of 103 Lewis Farm Road due to washout from this afternoons heavy rains and thunderstorms. The road will be closed at... https://t.co/KR15HggXsg",,Sun Aug 19 00:16:05 +0000 2018
bsanto818,RT @MediaMatson5: #BREAKING Police incident in Blue Hill results in road closure. State Police say Main Street will be closed from the roun…,#BREAKING Police incident in Blue Hill results in road closure. State Police say Main Street will be closed from the roundabout to Union St for the next several hrs as they investigate. No further details are being released about what caused this crash. @WABI_TV5 https://t.co/rMMKTryawa,Sat Aug 18 22:16:53 +0000 2018
AdamAmpd,RT @OPP_COMM_NWR: UPDATE Road Closure: #Hwy11 between #Longac and #Hwy631 - Highway closed remains following collision. ^jt,UPDATE Road Closure: #Hwy11 between #Longac and #Hwy631 - Highway closed remains following collision. ^jt,Sat Aug 18 22:02:15 +0000 2018
TerraceBayFire,RT @OPP_COMM_NWR: UPDATE Road Closure: #Hwy11 between #Longac and #Hwy631 - Highway closed remains following collision. ^jt,UPDATE Road Closure: #Hwy11 between #Longac and #Hwy631 - Highway closed remains following collision. ^jt,Sat Aug 18 21:52:27 +0000 2018
OPP_COMM_NWR,UPDATE Road Closure: #Hwy11 between #Longac and #Hwy631 - Highway closed remains following collision. ^jt,,Sat Aug 18 21:32:48 +0000 2018
AdamAmpd,RT @OPP_COMM_NWR: UPDATE ROAD CLOSURE: #Hwy11 between Blueberry Rd and Lukinto Rd #Longlac - Highway closed following collision. ^jt,UPDATE ROAD CLOSURE: #Hwy11 between Blueberry Rd and Lukinto Rd #Longlac - Highway closed following collision. ^jt,Sat Aug 18 21:29:49 +0000 2018
OPP_COMM_NWR,UPDATE ROAD CLOSURE: #Hwy11 between Blueberry Rd and Lukinto Rd #Longlac - Highway closed following collision. ^jt,,Sat Aug 18 21:18:36 +0000 2018
SweetCookiesme,RT @OPP_COMM_WR: ROAD CLOSURE: #Hwy3 between Rhineland Rd and Hwy59 #Delhi - Road closed following collision. ^jt,ROAD CLOSURE: #Hwy3 between Rhineland Rd and Hwy59 #Delhi - Road closed following collision. ^jt,Sat Aug 18 21:09:36 +0000 2018
OPP_COMM_WR,UPDATE ROAD CLOSURE: #Hwy3 between Rhineland Rd and Hwy59 / Schafer SR  between 1st Concession Rd NTR and Lehman Dam SR #Delhi - Roads closed following collision. Reopening time unknown. ^jt,,Sat Aug 18 20:56:46 +0000 2018
OPP_COMM_WR,ROAD CLOSURE: #Hwy3 between Rhineland Rd and Hwy59 #Delhi - Road closed following collision. ^jt,,Sat Aug 18 20:50:45 +0000 2018
forrestalex1,@SarahM_SYN @SheffieldStar That explains why the road was closed today. Hope he pulls through. People are so impatient. I was overtaken by a car while driving back down from Fox House this afternoon just before the closure. He didn't get any benefit from it as I caught him up on the lane into Dore.,,Sat Aug 18 20:45:06 +0000 2018
