cherokeesher2,RT @DSWT: Orphaned #elephant Mapia’s distinctive sun damaged ears are a reminder of the hours he spent collapsed under the scorching sun du…,Orphaned #elephant Mapia’s distinctive sun damaged ears are a reminder of the hours he spent collapsed under the scorching sun during the height of the recent drought before rangers found him. Be a part of his journey back to the wild &amp; adopt him today: https://t.co/xd8nHzgoGI https://t.co/nksIL2Wya5,Sat Aug 18 12:15:14 +0000 2018
DSWT,Orphaned #elephant Mapia’s distinctive sun damaged ears are a reminder of the hours he spent collapsed under the scorching sun during the height of the recent drought before rangers found him. Be a part of his journey back to the wild &amp; adopt him today: https://t.co/xd8nHzgoGI https://t.co/nksIL2Wya5,,Sat Aug 18 12:15:00 +0000 2018
Ro76977452,RT @hemantrajora_: 15 bridges collapsed | 186 lives lost | 211 landslides | 20000 houses damaged | 10000 km of roads destroyed | Preliminar…,"15 bridges collapsed | 186 lives lost | 211 landslides | 20000 houses damaged | 10000 km of roads destroyed | Preliminary estimates count a loss of ₹8316 Crore | 
 Please donate for #KeralaFloodRelief 

@CMOKerala @Mohanlal @NivinOfficial",Sat Aug 18 12:13:26 +0000 2018
NowInNepal,The Himalayan Times:House collapses killing woman in Bajura; torrential rain increases risk of landslides https://t.co/GIhsjVPxfL,,Sat Aug 18 11:00:30 +0000 2018
brutemodeoff,"RT @abhiart: Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14…","Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14 districts severely affected.
23 bridges collapsed.
186 lives lost.
211+landslides.
20,000 houses damaged.
180,000 farmers affected.
Love and Prayers 🌻",Sat Aug 18 07:33:40 +0000 2018
rebeccafpainter,"RT @abhiart: Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14…","Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14 districts severely affected.
23 bridges collapsed.
186 lives lost.
211+landslides.
20,000 houses damaged.
180,000 farmers affected.
Love and Prayers 🌻",Sat Aug 18 07:21:20 +0000 2018
abhiart,"RT @abhiart: Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14…","Kerala is in the midst of an unprecedented flood, Donate here.
https://t.co/fpgQ6KTaAx
2 worst flood after 1924.
13 out of 14 districts severely affected.
23 bridges collapsed.
186 lives lost.
211+landslides.
20,000 houses damaged.
180,000 farmers affected.
Love and Prayers 🌻",Sat Aug 18 07:15:58 +0000 2018
maazmh,RT @ablejoseph: Imagine recovering from - 23+ bridges collapsed | 211+ landslides | 50000+ houses damaged | 10197+ km of PWD roads damaged…,Imagine recovering from - 23+ bridges collapsed | 211+ landslides | 50000+ houses damaged | 10197+ km of PWD roads damaged | 60000+ KM of LSG roads damaged | 4000+ transformers damaged | 30000+ hectre... https://t.co/fimuH0lsN4,Sat Aug 18 07:09:06 +0000 2018
ablejoseph,"Imagine recovering from - 23+ bridges collapsed | 211+ landslides | 50000+ houses damaged | 70000+ KM roads damaged | 30000+ hectre agricultural loss

Take a minute to donate and spread the word: https://t.co/J3X8EXKNfq

#KeralaFlood #KeralaFloods #KeralaSOS https://t.co/1iX2eIkKtE",,Sat Aug 18 06:59:00 +0000 2018
ablejoseph,Imagine recovering from - 23+ bridges collapsed | 211+ landslides | 50000+ houses damaged | 10197+ km of PWD roads damaged | 60000+ KM of LSG roads damaged | 4000+ transformers damaged | 30000+ hectre... https://t.co/fimuH0lsN4,,Sat Aug 18 06:45:28 +0000 2018
WestwynnR,"2nd worst flood after 1924 | 13 out of the 14 districts severely affected | 23 bridges collapsed | 33 dams opened | 186 lives lost | 211+ landslides | 20000+ houses damaged | 10000 km of roads destroyed | Preliminary estimates count a loss of ₹8316+ Crore
#StandwithKerala https://t.co/PajJIrjS7h",,Sat Aug 18 05:33:59 +0000 2018
girishnarayanan,"Worst disaster
10 out of the 14 districts affected |15 bridges collapsed |27 dams opened 186 lives lost |211 landslides | 20000 houses damaged |10000 km of roads destroyed  | More than 100,000 people rehabilitated | Preliminary estimates count a loss of more than ₹10,000 Crore",,Sat Aug 18 05:03:43 +0000 2018
