15Amarnath,RT @IndianExpress: #ExpressFrontPage | The Prime Minister announced an ex-gratia relief of Rs 2 lakh to the next of kin of each of the dead…,"#ExpressFrontPage | The Prime Minister announced an ex-gratia relief of Rs 2 lakh to the next of kin of each of the dead and Rs 50,000 to those injured in the floods.
https://t.co/4e1xKY1kc1",Sun Aug 19 02:45:43 +0000 2018
R_lantern_333,"In Matailobau have 2 fracture ppl, 1 dead, 24 lethargic state.
And Ruwailevu have many injured (42ppl) and 3 died ppl now.    #Fiji",,Sun Aug 19 02:45:14 +0000 2018
KristiFinkTXESP,"Powerful 8.2-magnitude earthquake rocks Fiji, small tsunami waves observed | via @IndiaTVNews https://t.co/QFd223KqM8",,Sun Aug 19 02:44:55 +0000 2018
jha_rudresh,"RT @ShekharGupta: Incredibly sad how some would even divide us Indians dead, sick, injured or drowning. Of course while they live smugly in…","Incredibly sad how some would even divide us Indians dead, sick, injured or drowning. Of course while they live smugly in virtuous West https://t.co/FjzVy926Dd",Sun Aug 19 02:43:46 +0000 2018
CChcv,"RT @indiatvnews: Powerful 8.2-magnitude #earthquake rocks #Fiji , small #tsunami waves observed
https://t.co/7WRdPd3z4g","Powerful 8.2-magnitude #earthquake rocks #Fiji , small #tsunami waves observed
https://t.co/7WRdPd3z4g",Sun Aug 19 02:43:38 +0000 2018
paddybts,"Powerful 8.2-magnitude earthquake rocks Fiji, small tsunami waves observed | via @IndiaTVNews https://t.co/G9fcXg6toY",,Sun Aug 19 02:40:45 +0000 2018
OldSalz,"RT @FoxNews: President @realDonaldTrump has weighed in on the recent string of shootings in Chicago, labeling the bloodshed that’s left at…","President @realDonaldTrump has weighed in on the recent string of shootings in Chicago, labeling the bloodshed that’s left at least 11 people dead and 70 others injured an “absolute and total disaster.” https://t.co/xhKNMLI6E0 https://t.co/SeDyJOp0MB",Sun Aug 19 02:39:43 +0000 2018
indiatvnews,"Powerful 8.2-magnitude #earthquake rocks #Fiji , small #tsunami waves observed
https://t.co/7WRdPd3z4g",,Sun Aug 19 02:38:29 +0000 2018
Gppw55George,RT @AngieForburger: UPDATE: Police tracked down a suspect with a felony warrant and suspect ran from officers into a neighborhood. Suspect…,UPDATE: Police tracked down a suspect with a felony warrant and suspect ran from officers into a neighborhood. Suspect later pulled out a weapon which prompted the officer to deploy a weapon. Suspect was pronounced dead on the scene and no officers were injured. @azcentral,Sun Aug 19 02:34:28 +0000 2018
ssh4ndsom3,"RT @davidlipson: In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Governm…","In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Government still hasn't declared a National Disaster. Incredible.",Sun Aug 19 02:33:47 +0000 2018
sanjeev123gudia,"RT @indiatvnews: Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g","Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g",Sun Aug 19 02:30:46 +0000 2018
Star_Of_Mysore,"The injured wild elephant at Aanekaadu Elephant Camp near Kushalnagar is dead. It died this morning due to severe infection on its right forelimb.
https://t.co/Ofvf22VhjH",,Sun Aug 19 02:30:07 +0000 2018
opick_topik08,"RT @davidlipson: In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Governm…","In Lombok - 350,000 homeless, 68,000 homes damaged or destroyed, more than 436 dead, 1300 injured - but Indonesian Government still hasn't declared a National Disaster. Incredible.",Sun Aug 19 02:28:43 +0000 2018
moonlightxtae,"Around July 23, the dam in the Attapeu province in Laos flooded the whole village/province that made hundreds go either missing, injured, or dead. It destroyed their homes and they barely have anything left for them to have. Pls donate or raise awareness :(",,Sun Aug 19 02:26:41 +0000 2018
SoyEkho,"RT @indiatvnews: Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g","Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g",Sun Aug 19 02:26:30 +0000 2018
Balenciaga90,"RT @indiatvnews: Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g","Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g",Sun Aug 19 02:24:44 +0000 2018
vinbhagwat,"RT @indiatvnews: Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g","Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g",Sun Aug 19 02:24:28 +0000 2018
indiatvnews,"Powerful 8.2-magnitude #earthquake rocks #Fiji | Full details here
https://t.co/7WRdPd3z4g",,Sun Aug 19 02:23:53 +0000 2018
