totemsunrise,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 23:33:48 +0000 2018
Mabelymew,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 23:27:50 +0000 2018
PJGoodwin1,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 22:52:53 +0000 2018
SbredsFarm,"RT @totemsunrise: ""Evacuation alerts have expanded in the Similkameen for areas near the volatile Cool Creek wildfire.

The Regional Distri…","""Evacuation alerts have expanded in the Similkameen for areas near the volatile Cool Creek wildfire.

The Regional District of Okanagan-Similkameen has issued a new alert for 82 properties in rural Keremeos and an area west of the Lower Similkameen Indian Band."" #LSIB #BCWildfire https://t.co/kt5WGiliGM",Sat Aug 18 22:48:58 +0000 2018
OasisMountain,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 22:48:11 +0000 2018
totemsunrise,"""Evacuation alerts have expanded in the Similkameen for areas near the volatile Cool Creek wildfire.

The Regional District of Okanagan-Similkameen has issued a new alert for 82 properties in rural Keremeos and an area west of the Lower Similkameen Indian Band."" #LSIB #BCWildfire https://t.co/kt5WGiliGM",,Sat Aug 18 22:32:22 +0000 2018
Blubdha,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 22:22:06 +0000 2018
kellygjalbert,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 21:24:51 +0000 2018
nickeyelder,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 21:24:29 +0000 2018
L82be,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 21:19:42 +0000 2018
Caffienekitty,"RT @EmergencyInfoBC: #Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCr…","#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",Sat Aug 18 21:07:05 +0000 2018
EmergencyInfoBC,"#Evacuation Alert expanded in Electoral Area ""G"" by @EmergMgtRDOS. Addresses and map available here: https://t.co/JBCrUcmFsP #BCwildfire https://t.co/uaPVS1TNaL",,Sat Aug 18 21:05:35 +0000 2018
daveunger3,RT @pgdailynews: Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.…,Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.co/re08cwgeJm,Thu Aug 16 17:10:57 +0000 2018
OasisMountain,RT @pgdailynews: Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.…,Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.co/re08cwgeJm,Thu Aug 16 17:03:28 +0000 2018
BCWildfireHelp,RT @pgdailynews: Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.…,Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.co/re08cwgeJm,Thu Aug 16 17:00:36 +0000 2018
pgdailynews,Evacuation alert area expanded around Shovel Lake fire #bcwildfires #bcfires #fortstjames #fraserlake #cityofpg https://t.co/re08cwgeJm,,Thu Aug 16 16:23:31 +0000 2018
neiter_viviane,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 15:38:31 +0000 2018
hostmozart,RT EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the RDofCK. More info and area map here: https://t.co/P8enWryvJH #BCwildfire https://t.co/wSYmVV38Yq,,Thu Aug 16 04:37:20 +0000 2018
danwolfe_me,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 04:37:12 +0000 2018
Mabelymew,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 03:38:28 +0000 2018
TrwarrenTerry,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 03:22:03 +0000 2018
totemsunrise,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 02:55:33 +0000 2018
nickeyelder,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 02:31:28 +0000 2018
Dimcl2,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 02:23:31 +0000 2018
OasisMountain,RT @EmergencyInfoBC: #Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: ht…,#Evacuation Alert for area south of Renata expanded to include Shields by the @RDofCK. More info and area map here: https://t.co/PFuCWkX6cX #BCwildfire https://t.co/ehCWfNKdyw,Thu Aug 16 02:20:49 +0000 2018
