joan_rollins,RT @EmergencyInfoBC: Important definitions: #Evacuation ALERT means you must get ready to leave at a moment's notice - have your grab &amp; go…,Important definitions: #Evacuation ALERT means you must get ready to leave at a moment's notice - have your grab &amp; go bag ready. Evacuation ORDER means you're at risk &amp; must leave the area immediately. Learn how to prepare for both: https://t.co/4rkOZvc2zQ #BCwildfire https://t.co/4Ynwfg6ziW,Sat Aug 18 23:22:03 +0000 2018
jayne_a_broad,RT @DesNatlForest: This fire on the Forest has put Monty Campground and Perry South under a Level 2 evacuation notice. #KnowBeforeYouGo if…,This fire on the Forest has put Monty Campground and Perry South under a Level 2 evacuation notice. #KnowBeforeYouGo if you are recreating in that area! https://t.co/tQCrTqwRKj,Sat Aug 18 05:27:15 +0000 2018
corrieo,RT @DesNatlForest: This fire on the Forest has put Monty Campground and Perry South under a Level 2 evacuation notice. #KnowBeforeYouGo if…,This fire on the Forest has put Monty Campground and Perry South under a Level 2 evacuation notice. #KnowBeforeYouGo if you are recreating in that area! https://t.co/tQCrTqwRKj,Sat Aug 18 04:45:40 +0000 2018
DesNatlForest,This fire on the Forest has put Monty Campground and Perry South under a Level 2 evacuation notice. #KnowBeforeYouGo if you are recreating in that area! https://t.co/tQCrTqwRKj,,Sat Aug 18 04:43:29 +0000 2018
ArcadiaRain,Now we wait and pray it doesn't become Evacuation Order notice! 🔥 Unfortunately area is forecast for thunderstorm/lightning with very little precipitation!,,Fri Aug 17 22:35:16 +0000 2018
devonscarlett,RT @EmergencyInfoBC: Important definitions: #Evacuation ALERT means get ready to leave at a moment's notice - have your grab &amp; go bag ready…,Important definitions: #Evacuation ALERT means get ready to leave at a moment's notice - have your grab &amp; go bag ready. Evacuation ORDER means you're at risk &amp; must leave the area NOW. Learn more: https://t.co/jf8Z4lqZsG #BCwildfire https://t.co/RdPTejPUvU,Fri Aug 17 18:07:33 +0000 2018
leerathje,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Fri Aug 17 14:53:28 +0000 2018
ComoxValleyEP,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Fri Aug 17 14:36:10 +0000 2018
MikeAtchison1,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Fri Aug 17 14:19:57 +0000 2018
MA_DEM_Grad,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Fri Aug 17 04:20:02 +0000 2018
CorpsHonolulu,"This is a public notification concerning planned and on-going investigation and clean-up of unexploded ordnance (UXO) by the U.S. Army Corps of Engineers for work being conducted in the Ke Kumu `Ekahi, Ke Kumu `Elua, Ke Kumu `Ekolu, and portions of... https://t.co/5hYr31hWBO",,Fri Aug 17 03:04:09 +0000 2018
VI_CYC,The East Side of the Village of #zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. https://t.co/mJlix5xgcW,,Fri Aug 17 01:09:39 +0000 2018
EmconIsland,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Thu Aug 16 22:44:08 +0000 2018
CRESS_Team,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Thu Aug 16 22:00:33 +0000 2018
JohnMcKinleyBP,RT @SEP_EPC: ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this…,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",Thu Aug 16 21:32:37 +0000 2018
SEP_EPC,"ZEBALLOS -The East Side of the Village of Zeballos is being placed on Evacuation Alert. This is the time for residents in this area to get prepared to leave your home on very short notice. Follow Zeballos' website for updated information on the situation.

https://t.co/Y7UZwz7ta7",,Thu Aug 16 21:30:01 +0000 2018
jonjonweb85,"@chris_tomer @KDVR My parents are located in Old Park and have been put on evacuation notice, will this area get any rain to help out with the fire soon? https://t.co/PErvYruWE4",,Wed Aug 15 14:34:39 +0000 2018
arschaerer,RT @UofAFRO: Information Alert @Crowsnest_Pass area for wildfire - 5 - 10 kilometers northeast of the Leitch Collieries on the south facing…,"Information Alert @Crowsnest_Pass area for wildfire - 5 - 10 kilometers northeast of the Leitch Collieries on the south facing slope of the Livingstone Range, possible evacuation on short notice, visibility issues  https://t.co/Q0tqw2xENm https://t.co/BGUvdo1cGW",Wed Aug 15 04:39:07 +0000 2018
alliefriesen,"This afternoon has been dark as night in my hometown (literally, because of the smoke from all the wildfires in the area that's blocked out the sun). So many people are on evacuation notice or alert right now. Pray for rain. Pray for rain. Pray for rain.",,Wed Aug 15 00:15:36 +0000 2018
KDRV,"JUST IN: Authorities have finally reduced evacuation orders just inside of Douglas County between Trail and Tiller along Tison Rd from a Level 2 ""Be Set"" warning to a Level 1 ""Be Ready"" notice. This area was originally elevated due to the S Umpqua Complex. https://t.co/juPbg3dZdy",,Tue Aug 14 22:55:00 +0000 2018
jftaveira1993,Evacuation notice has been upgraded to Mandatory Evacuation Order for the Pleasant Valley area of the Mendocino National Forest land located in the southwestern Glenn County. https://t.co/JAuZ2cHCAO #MendocinoComplexFires #California #CaliforniaWildfires,,Tue Aug 14 21:08:27 +0000 2018
