katielauriss,"RT @totemsunrise: ""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave t…","""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave their homes behind. An evacuation order already in place affects 65 homes in the nearby St. Mary's Valley."" #BCwildfire #KimberleyBC cc: #Cranbrook #Kootenays https://t.co/5LrQ8zLdNq",Sun Aug 19 06:06:55 +0000 2018
Vandahmier,Strong winds and dry weather threatened to whip up flames in many parts of ... The Bulkley-Nechako Regional District issued an evacuation alert and order for parts of the region after the B.C. Wildfir... https://t.co/wIJCWMX9Bo https://t.co/ZcRhcdQpLh,,Sun Aug 19 06:06:05 +0000 2018
BarbarabeckBeck,RT @timescolonist: Evacuation order for six properties in Zeballos #wildfires https://t.co/qTEW6XaNjN,Evacuation order for six properties in Zeballos #wildfires https://t.co/qTEW6XaNjN,Sun Aug 19 05:31:44 +0000 2018
funnylifeJ,https://t.co/Y1LsT2KIB2 Fire updates: Evacuation order lifted after Herriman fire 50 percent contained https://t.co/AaNHt7xpkk https://t.co/TG3h5KwcdO,,Sun Aug 19 05:12:03 +0000 2018
timescolonist,Evacuation order for six properties in Zeballos #wildfires https://t.co/qTEW6XaNjN,,Sun Aug 19 05:09:41 +0000 2018
tatlayokofold,"RT @totemsunrise: ""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave t…","""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave their homes behind. An evacuation order already in place affects 65 homes in the nearby St. Mary's Valley."" #BCwildfire #KimberleyBC cc: #Cranbrook #Kootenays https://t.co/5LrQ8zLdNq",Sun Aug 19 04:39:21 +0000 2018
Kamscan,"RT @totemsunrise: ""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave t…","""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave their homes behind. An evacuation order already in place affects 65 homes in the nearby St. Mary's Valley."" #BCwildfire #KimberleyBC cc: #Cranbrook #Kootenays https://t.co/5LrQ8zLdNq",Sun Aug 19 04:37:32 +0000 2018
totemsunrise,"""About 7,400 people are on standby, waiting and wondering if they'll have to rush to pack up their belongings and leave their homes behind. An evacuation order already in place affects 65 homes in the nearby St. Mary's Valley."" #BCwildfire #KimberleyBC cc: #Cranbrook #Kootenays https://t.co/5LrQ8zLdNq",,Sun Aug 19 04:36:45 +0000 2018
ProtectionIsle,"RT @CKNW: The village is located on the northwest coast of Vancouver Island, about 200 kilometres from Campbell River.
https://t.co/9qpIISn…","The village is located on the northwest coast of Vancouver Island, about 200 kilometres from Campbell River.
https://t.co/9qpIISnVXY",Sun Aug 19 04:18:53 +0000 2018
CTVNewsGord,RT @CTVNewsVI: An evacuation order has been issued for 6 properties in #Zeballos due to risk of falling debris from the  #forestfire.  The…,"An evacuation order has been issued for 6 properties in #Zeballos due to risk of falling debris from the  #forestfire.  The rest of the community remains on evacuation alert. A heavy helicopter to join battle against the #wildfire which the village says has ""calmed down"".",Sun Aug 19 04:07:10 +0000 2018
cmushski,"RT @mypgnow: #CheslattaLake wildfire stands at 1,500 hectares as evacuations are issued | https://t.co/IFV5k2lnAu #BCWildfires #NorthernBC…","#CheslattaLake wildfire stands at 1,500 hectares as evacuations are issued | https://t.co/IFV5k2lnAu #BCWildfires #NorthernBC https://t.co/HlOE9pbABQ",Sun Aug 19 04:01:36 +0000 2018
EdCaly5,RT @texasembassy: No lecture.. as best I can tell the evacuation order came in plenty of time. But when you have general admission events..…,No lecture.. as best I can tell the evacuation order came in plenty of time. But when you have general admission events.. people are not apt to adhere to instructions and lose their “valued” place in line. You can’t make people choose safety. https://t.co/aY799WKTTN,Sun Aug 19 03:44:04 +0000 2018
