UpperEchelonHQ,RT @ClevelandNF: #Holyfire Mandatory evacuation for the Machado community has been lifted.  Voluntary evacuations are terminated for the Sh…,#Holyfire Mandatory evacuation for the Machado community has been lifted.  Voluntary evacuations are terminated for the Shoreline community.  For info call (714) 628-7085.,Sat Aug 18 21:55:16 +0000 2018
Iokea17,RT @ABC7Brandi: This AM @ABC7: Holy Fire update - evacuations lifted in Lake Elsinore. New evacuations in Glen Ivy. Mandatory evacs in Oran…,This AM @ABC7: Holy Fire update - evacuations lifted in Lake Elsinore. New evacuations in Glen Ivy. Mandatory evacs in Orange &amp; Riverside Co remain. Fire crews warn residents to be careful while cleaning up ash. It can be toxic. #holyfire #lakeelsinore #evacuation https://t.co/rSZl8HN4QH,Sat Aug 18 17:17:54 +0000 2018
GoddessRosemary,RT @ElCaballero108: #HolyFire #LakeElsinore 4:09 PM air drops protecting the command center which is 100 ft from my back yard! #CaliforniaF…,#HolyFire #LakeElsinore 4:09 PM air drops protecting the command center which is 100 ft from my back yard! #CaliforniaFires #CaliforniaBurning #abc7eyewitness @ABC7 @KTLA #mcvickercanyon MANDATORY EVACUATIONS https://t.co/BE94RGK1C8,Sat Aug 18 12:34:06 +0000 2018
airplanetalk,@namkosh True..evacuations should be mandatory..rescue efforts will be overwhelmed,,Sat Aug 18 01:31:59 +0000 2018
carpediemvoice,Fire In Healdsburg: Mandatory Evacuations Underway https://t.co/gbBkqKqXwE via @YahooNews,,Sat Aug 18 00:41:51 +0000 2018
carpediemvoice,"SONOMA COUNTY, CA FIRE ALERT - THE NEWEST FIRE FROM YESTERDAY 
Fire In Healdsburg: Mandatory Evacuations Underway https://t.co/gbBkqKqXwE via @YahooNews - (A town just down the mountain an hour and 15 min., where I sometimes work part-time at a winery.)",,Sat Aug 18 00:41:45 +0000 2018
BayArea247News,Fire Prompts Mandatory Evacuations Near Healdsburg: Cal Fire https://t.co/HptEOQPEb9,,Fri Aug 17 14:14:36 +0000 2018
KTVBMorgan,Mandatory evacuations issued for those near the Rattlesnake Creek Fire https://t.co/5SqrLyBH0Y via @KTVB,,Fri Aug 17 10:54:52 +0000 2018
KTVB,Mandatory evacuations issued for those near the Rattlesnake Creek Fire https://t.co/ibTi9xILYC https://t.co/OkEaWIpduV,,Fri Aug 17 10:30:17 +0000 2018
KTVB,Mandatory evacuations issued for those near the Rattlesnake Creek Fire https://t.co/1LeKG51rwU https://t.co/H6s6bfOXir,,Fri Aug 17 06:00:29 +0000 2018
chaotic_resolve,"RT @ClevelandNF: As of 10:00am this morning, the 74 will reopen to through traffic. Evacuations for El Cariso Village and Rancho Capistrano…","As of 10:00am this morning, the 74 will reopen to through traffic. Evacuations for El Cariso Village and Rancho Capistrano have been lifted. The Mystic Oaks community remains under mandatory evacuations. The community of Trilogy remains under Voluntary evacs. https://t.co/SUf4jpCrDl",Fri Aug 17 05:16:00 +0000 2018
nikola1tesla,"RT @nbcbayarea: #UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgN…","#UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgNiv7c https://t.co/TrfWnXQD0L",Fri Aug 17 04:51:53 +0000 2018
ChristineofCA,"RT @nbcbayarea: #UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgN…","#UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgNiv7c https://t.co/TrfWnXQD0L",Fri Aug 17 03:28:15 +0000 2018
pir8z40,RT @KTVU: Mandatory evacuations in Healdsburg wildfire https://t.co/s9co5SvIzH,Mandatory evacuations in Healdsburg wildfire https://t.co/s9co5SvIzH,Fri Aug 17 02:45:42 +0000 2018
SihabBD,"RT @nbcbayarea: #UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgN…","#UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgNiv7c https://t.co/TrfWnXQD0L",Fri Aug 17 01:11:25 +0000 2018
SihabBD,"RT @Jr3597: 🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Adviso…","🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Advisory Status 

💥#Health &amp; #Safety *recommended* precautions for 😷 #CleanUp 🏚 ⚠ - hazardous ☢ materials disposal ℹ⤵ #DisasterRecovery #StaySafe https://t.co/H0K8br8WpM",Fri Aug 17 01:11:20 +0000 2018
DawnRoseTurner,Vegetation fire in Healdsburg prompts mandatory evacuations https://t.co/S6Qrqgf9Ia via @SFGate,,Fri Aug 17 01:05:19 +0000 2018
AngelinaSnow007,"RT @Jr3597: 🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Adviso…","🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Advisory Status 

💥#Health &amp; #Safety *recommended* precautions for 😷 #CleanUp 🏚 ⚠ - hazardous ☢ materials disposal ℹ⤵ #DisasterRecovery #StaySafe https://t.co/H0K8br8WpM",Fri Aug 17 00:57:00 +0000 2018
AlAboutNothing,"RT @nbcbayarea: #UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgN…","#UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgNiv7c https://t.co/TrfWnXQD0L",Fri Aug 17 00:56:26 +0000 2018
nbcbayarea,"#UPDATE: Mandatory evacuations have been lifted in the brush fire outside of Healdsburg, officials say. https://t.co/jrcWgNiv7c https://t.co/TrfWnXQD0L",,Fri Aug 17 00:55:57 +0000 2018
janeeucraft,"RT @Jr3597: 🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Adviso…","🔥📢 #Update 📰 ℹ for #MendocinoComplexFires

💥Some #Mandatory #Evacuations  for #LakeCounty &amp; #MendocinoCounty reduced to #Advisory Status 

💥#Health &amp; #Safety *recommended* precautions for 😷 #CleanUp 🏚 ⚠ - hazardous ☢ materials disposal ℹ⤵ #DisasterRecovery #StaySafe https://t.co/H0K8br8WpM",Fri Aug 17 00:53:20 +0000 2018
