zitroking,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:53:45 +0000 2018
jbmhwy37,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:39:37 +0000 2018
abbywoodnj,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:34:19 +0000 2018
stephanie8kin,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:22:37 +0000 2018
KarenLeeNews,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:21:21 +0000 2018
emilllytimlinn,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 04:07:38 +0000 2018
Sharkbellykelly,"@HappyKat9 In this article it also stated that the suspect in the shooting of George Bush’s doctor committed suicide as police were closing in. Well isn’t that just convenient. I’m sure it was, an “assisted” suicide⁉️",,Sun Aug 19 03:27:33 +0000 2018
CherylGrasso,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 03:18:53 +0000 2018
willisgodwin4,Check out that closing speed! Did Bill Goldberg get bored and become a police officer?! Among other bigger awards that dude should get an espy for completely and utterly demoralizing the suspect and his fellow officer!...😂😂 https://t.co/N5RvFFsOcy,,Sun Aug 19 03:12:21 +0000 2018
rhodi9,RT @CamdenCountyPD: Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are clos…,"Juan Figueroa CAPTURED!  He is one of the three suspects who attempted to murder 2 police dets last week.   We are closing in on Hall and Dejesus and won’t sleep until they are in cuffs.  Please keep RT and posting, community’s help has been invaluable. https://t.co/R2ynFHTDiD",Sun Aug 19 02:58:48 +0000 2018
