SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
neeverlandan,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:19:07 +0000 2018
mdshahnawaz7461,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:18:52 +0000 2018
taylordissensus,@FoxNews shouldn't we just be giving our thoughts and prayers?,,Sun Aug 19 00:18:51 +0000 2018
OldWomen8,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sun Aug 19 00:18:37 +0000 2018
jhardy575,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sun Aug 19 00:18:34 +0000 2018
ScottPaterno,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sun Aug 19 00:18:33 +0000 2018
MSMW1,"WHAT A DOWNFALL!!!
Thoughts and prayers. I just feel for the other people who worked hard on it. https://t.co/Uy3VuofUiT",,Sun Aug 19 00:18:06 +0000 2018
AsstSecStateAF,"I’m deeply saddened by the loss of Kofi Annan. On the eve of World Humanitarian Day, we say goodbye to a man who dedicated his life to the service of others.  My thoughts and prayers are with his loved ones. https://t.co/Z2bqYlTwU5",,Sun Aug 19 00:17:40 +0000 2018
dauspol,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sun Aug 19 00:17:39 +0000 2018
AnjireddyPucha,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:17:36 +0000 2018
ohmybogle,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:17:34 +0000 2018
mzrockki,@Peter_Wehner We need more than prayers and thoughts - we need actions that will deliver a favorable outcome because he’s devised a plan to unwillingly cease his position with a bang - - just ask his supporters!,,Sun Aug 19 00:17:32 +0000 2018
CarlDWhite,@RealMuckmaker You’re going to need a lot of thoughts and prayers after I throw you off my f’ing porch.,,Sun Aug 19 00:17:31 +0000 2018
DavidPetr4,"RT @MarkSchweitzer: I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait,…","I’d offer thoughts and prayers but it seems I’m fresh out, so I’ll offer soybeans because we have a lot of those, wait, that doesn’t help.  Never mind.  As you were.  https://t.co/TlQRVx1F2D",Sun Aug 19 00:17:31 +0000 2018
saltfleetgirl20,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:17:01 +0000 2018
femaletrumpet02,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sun Aug 19 00:16:56 +0000 2018
sjfotos,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sun Aug 19 00:16:54 +0000 2018
sally_schuster,RT @darrenwalker: Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoug…,Our hearts are heavy at the @FordFoundation. We lost a visionary leader and champion for peace &amp; justice today. Our thoughts and prayers are with the Annan Family and with our friends at the @UN. https://t.co/Ry6CHlxELl,Sun Aug 19 00:16:45 +0000 2018
ponmozhimani,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:16:30 +0000 2018
prawash_pandey,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:16:25 +0000 2018
__hazzi60,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:16:23 +0000 2018
saiswaroopnatak,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:16:23 +0000 2018
venki_rockstar,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:16:21 +0000 2018
bismil3,RT @nazir_lord: Our thoughts and prayers are with the flood victims https://t.co/6Qm9kdNb4O,Our thoughts and prayers are with the flood victims https://t.co/6Qm9kdNb4O,Sun Aug 19 00:16:16 +0000 2018
AWeiProfessiona,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sun Aug 19 00:16:15 +0000 2018
arun58627,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:16:14 +0000 2018
justmeMattBaker,"RT @DitzMcGeee: Facebook: thoughts &amp; prayers
Snapchat: i'm a sexy kitty cat
Instagram: look at my cute toes!
Twitter: may as well tell a fe…","Facebook: thoughts &amp; prayers
Snapchat: i'm a sexy kitty cat
Instagram: look at my cute toes!
Twitter: may as well tell a few dick jokes while the apocalypse unfolds.",Sun Aug 19 00:15:48 +0000 2018
Demon17thor,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:15:44 +0000 2018
vipinsharma1978,"RT @AdnanSamiLive: My thoughts and prayers are with #Kerala &amp; it’s beautiful people- My heart is with you... may God protect you...🙏♥️
#Ker…","My thoughts and prayers are with #Kerala &amp; it’s beautiful people- My heart is with you... may God protect you...🙏♥️
#KeralaFloods https://t.co/n92o3Vry6v",Sun Aug 19 00:15:43 +0000 2018
