LoveDollCC,Praying for fellow BSB fam and the @backstreetboys right now that are all in OK! Please stay safe and be careful! Love you all! ❤️,,Sat Aug 18 23:48:16 +0000 2018
sj2429,RT @WHOTheBckstreet: Sending good vibes and praying for those of you attending the @backstreetboys @98official show tonight ❤ Stay safe out…,"Sending good vibes and praying for those of you attending the @backstreetboys @98official show tonight ❤ Stay safe out there, fan-mily!! We hope the crazy storm passes quickly.",Sat Aug 18 23:46:49 +0000 2018
WHOTheBckstreet,"Sending good vibes and praying for those of you attending the @backstreetboys @98official show tonight ❤ Stay safe out there, fan-mily!! We hope the crazy storm passes quickly.",,Sat Aug 18 23:45:39 +0000 2018
Defender398,"@kevinrichardson Omg!! Praying, stay safe y’all!! 😒❤️❤️❤️",,Sat Aug 18 23:39:18 +0000 2018
Donniesdeva,@kevinrichardson YIKES stay safe praying 🙏 everyone’s ok,,Sat Aug 18 23:31:56 +0000 2018
diaryofarii,stay safe 💗 praying for yall💞 https://t.co/c4PvrahHNn,,Sat Aug 18 23:27:39 +0000 2018
SinnaMarc,"@milliemuns I wish I could send some back up to help y'all out and keep y'all safe!! **Looking at my Druid boi** 

Kick them butts!  And stay safe!! I will be praying!",,Sat Aug 18 22:46:27 +0000 2018
queenquadjeaaaa,"@CatherinePaiz Still praying for you guys I hope you,Elle &amp; Austin are safe it’s mess up you guys had to go through this and whoever did it deserves karma please make sure the baby,yourself,Elle and Austin stay safe I love you guys 🧡",,Sat Aug 18 21:56:21 +0000 2018
smufreh,"@CatherinePaiz Stay safe guys, do what you gotta do . We’ll stay praying for you ❤️",,Sat Aug 18 21:55:17 +0000 2018
I_KaTTa_OO7,RT @SamuelRobinsonX: I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am pr…,I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am praying for you from Nigeria. I Love you. Stay safe 😔 https://t.co/UnzqWkSKj5,Sat Aug 18 21:22:31 +0000 2018
habelphilippe,RT @SamuelRobinsonX: I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am pr…,I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am praying for you from Nigeria. I Love you. Stay safe 😔 https://t.co/UnzqWkSKj5,Sat Aug 18 20:21:15 +0000 2018
irinalex15,RT @SamuelRobinsonX: I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am pr…,I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am praying for you from Nigeria. I Love you. Stay safe 😔 https://t.co/UnzqWkSKj5,Sat Aug 18 20:17:35 +0000 2018
simplyuzt,@CatherinePaiz @AustinMcbroom I’m so sorry that you guys are going through this right now. Do whatever it takes to make sure you guys are stress free. Take a break.  I’m praying that you guys and the little princesses stay safe and happy.,,Sat Aug 18 20:03:40 +0000 2018
TheRealMollyG,@naimaaaa_ I am praying for you. Stay safe. Xx,,Sat Aug 18 19:55:35 +0000 2018
laurenviictora,"RT @cass4change: @laurenviictora oh no, please stay safe!! praying everyone is okay!! i’m so sorry. this is not okay!","@laurenviictora oh no, please stay safe!! praying everyone is okay!! i’m so sorry. this is not okay!",Sat Aug 18 19:53:12 +0000 2018
Haris_Salam_kmd,RT @SamuelRobinsonX: I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am pr…,I am so sad to hear about the Kerala floods 😥😔😔😔😔😔 Please stay Safe guys. Swipe for emergency contact numbers. I am praying for you from Nigeria. I Love you. Stay safe 😔 https://t.co/UnzqWkSKj5,Sat Aug 18 19:23:49 +0000 2018
charmed_twice,"Happy 😻 Caturday Friend's &amp; Familia, it's raining 🐠🐟🐡here since last night.  Praying there isn't any flooding going on in your neck of the wood's.  Stay Safe, Mama Nature is full of Fury!  Much love, Joanie xo https://t.co/uEyAefvVRE",,Sat Aug 18 17:35:20 +0000 2018
Rekha40454604,"RT @PreetGill_88: @Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assi…","@Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assistance and basic survival resources you need. Hope the flooding gets under control as soon as possible. I feel bad that u guys have to endure such an unfortunate disaster.",Sat Aug 18 17:28:25 +0000 2018
LanceAHerring1,@Cernovich @Ocasio2018 Mike stay safe and strong. Praying for your family and you.,,Sat Aug 18 17:02:35 +0000 2018
ashleyarianafan,@AshleyJudd @BerlinStation @UNFPA @UN You are incredible Ashley! So very proud of you and all the work that you do! You are a blessing! Praying for you and hope you stay safe and healthy! Love you!😘❤️🙏,,Sat Aug 18 16:57:57 +0000 2018
real__8812,"RT @elymaffla: @OverlordEXO @weareoneEXO Our family together praying for our Eris in Bangladesh and Indonesia.
We love you! Stay strong and…","@OverlordEXO @weareoneEXO Our family together praying for our Eris in Bangladesh and Indonesia.
We love you! Stay strong and safe!!💪🌹

#EXO #EXO_ComingSoon #EXOPLANET #weareoneEXO @weareoneEXO",Sat Aug 18 16:53:58 +0000 2018
Im_Anno,"RT @PreetGill_88: @Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assi…","@Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assistance and basic survival resources you need. Hope the flooding gets under control as soon as possible. I feel bad that u guys have to endure such an unfortunate disaster.",Sat Aug 18 16:41:46 +0000 2018
RenzelmanMarie,@addy_pez @Desertcanuck @OfficialLivePD Stay safe praying for you..🙏🇺🇸💙👮🚔,,Sat Aug 18 16:39:06 +0000 2018
Parvathy_10,"RT @PreetGill_88: @Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assi…","@Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assistance and basic survival resources you need. Hope the flooding gets under control as soon as possible. I feel bad that u guys have to endure such an unfortunate disaster.",Sat Aug 18 16:37:59 +0000 2018
KarthikaSK1715,RT @Siva_Kartikeyan: Heavy rains in Kerala...hoping and praying for everything to become normal soon..People there pls stay safe.. #KeralaF…,Heavy rains in Kerala...hoping and praying for everything to become normal soon..People there pls stay safe.. #KeralaFloods #KeralaRain https://t.co/U2Fl4XEjzV,Sat Aug 18 16:10:30 +0000 2018
PreetGill_88,"@Parvathy_10 Hope you, your family, &amp; your friends are able to stay safe and secure. Praying you guys get the rescue assistance and basic survival resources you need. Hope the flooding gets under control as soon as possible. I feel bad that u guys have to endure such an unfortunate disaster.",,Sat Aug 18 15:56:44 +0000 2018
explicitminn,Stay safe. I’m always praying for u and ur family bb 🙏🏻💜. @shilpabiju241,,Sat Aug 18 15:43:20 +0000 2018
chars8383,@Knoxville_PD Congrats and welcome to your new family away from your family.. Praying you all stay safe.. Knoxville getting crazier amd crazier for some reason..,,Sat Aug 18 15:38:54 +0000 2018
Luvyoutwo2829,"Praying for our friends and their families in New Dehli, India to keep them safe and dry from the monstrous flood waters. Please stay well! https://t.co/7n2yciSRDM",,Sat Aug 18 15:38:48 +0000 2018
oglal5,@fox32news Don't know how many praying and crying posts we have to post  just sad for the city stay safe out there peace🙏😭,,Sat Aug 18 15:10:33 +0000 2018
shergiggles,@4CherBear67 Cheryl I will praying for your health and that you are able to stay safe as well. #BHLove,,Sat Aug 18 14:59:59 +0000 2018
