McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
tweet_quake,🇨🇴COLOMBIA. Temblor de magnitud 5.8 se registra en el mar caribe frente a las costas del departamento de Acandí a las 14:39 local (18:39 UTC). Percibido también en Panamá. https://t.co/KUGLAccE8z Datos @RSNCOL https://t.co/VexI0oMeUI,,Sat Aug 18 20:16:28 +0000 2018
theanglican,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 20:16:15 +0000 2018
hermendesoul,📷 multifandom-gabi: The Kissing Booth https://t.co/gvzYbVNrjq,,Sat Aug 18 20:16:02 +0000 2018
Paullyie,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 20:15:54 +0000 2018
donjrg1,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:15:23 +0000 2018
gabrieleisbad,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 20:15:05 +0000 2018
negrilm,"RT @earthquakevt: ⚠️UPDATE: Very strong #earthquake (#sismo) Mww=5.6 - 23 KM NE of #PuertoObaldía, #Panama. Depth: 10 KM.
&gt;Also felt in #Co…","⚠️UPDATE: Very strong #earthquake (#sismo) Mww=5.6 - 23 KM NE of #PuertoObaldía, #Panama. Depth: 10 KM.
&gt;Also felt in #Colombia.&lt;
More info at: https://t.co/cHFCnmfZD3 |&lt;.
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JryRhG19N6",Sat Aug 18 20:15:03 +0000 2018
nightingalern,"Earthquake info : M5.6 earthquake on Sat, 18 Aug 19:39:07 UTC / Panama-Colombia Border Region - 3 experience reports https://t.co/iJBsma5PXf",,Sat Aug 18 20:13:43 +0000 2018
earthquakevt,"⚠️UPDATE: Very strong #earthquake (#sismo) Mww=5.6 - 23 KM NE of #PuertoObaldía, #Panama. Depth: 10 KM.
&gt;Also felt in #Colombia.&lt;
More info at: https://t.co/cHFCnmfZD3 |&lt;.
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JryRhG19N6",,Sat Aug 18 20:13:41 +0000 2018
SuPr3m3_85,"RT @Battlefy: All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're ta…","All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're talking high level competition that could lead to some NICE in-game prizing... https://t.co/PN6McF03Vk",Sat Aug 18 20:13:10 +0000 2018
