YoMattYa,10News reporter in Japan as quake rocks Osaka - https://t.co/OBBnirNnBw @stefanieGMJ @mggyy @AngelAlessandra @simihaze,,Sat Aug 18 05:17:13 +0000 2018
jrdmarr,RT @OfficialOpeth: Garden Of The Titans (Live At Red Rocks) has launched! https://t.co/s3pRAgdmlw @PledgeMusic #progressiverock,Garden Of The Titans (Live At Red Rocks) has launched! https://t.co/s3pRAgdmlw @PledgeMusic #progressiverock,Sat Aug 18 05:13:05 +0000 2018
bradyjen4,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,Sat Aug 18 03:08:04 +0000 2018
ucbnews,Strong Quake Rocks Costa Rica https://t.co/CdbbfG7lk2,,Sat Aug 18 02:56:18 +0000 2018
liilani67,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,Sat Aug 18 01:24:47 +0000 2018
chintimini9,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,Sat Aug 18 01:12:56 +0000 2018
youngnoregon,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EZtLpzcgX2,Sat Aug 18 01:10:28 +0000 2018
youngnoregon,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,Sat Aug 18 01:09:36 +0000 2018
KATUNews,RT @SaleskyKATU: Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/…,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,Sat Aug 18 01:02:43 +0000 2018
SaleskyKATU,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EZtLpzcgX2,,Sat Aug 18 00:56:29 +0000 2018
SaleskyKATU,Very powerful earthquake rocks Costa Rica. Quake widely felt through out the region. Tsunami i not expected. https://t.co/EYYOokojNT,,Sat Aug 18 00:55:55 +0000 2018
eyeontaiwan,Magnitude 4.8 quake rocks central Taiwan https://t.co/gEnfiZ0pKB,,Fri Aug 17 21:29:33 +0000 2018
hitech_guru,Italy earthquake – 5.3 quake rocks Foggia | Daily Star - Daily Star https://t.co/8Z5qChgnNt #Italy #Montecilfone  #tGeology #earthquake #Terremoto #Temblor #Italia #Foggia,,Fri Aug 17 19:40:24 +0000 2018
Celestebyrne3,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 17:23:58 +0000 2018
CarmenOmanaGil1,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 17:05:34 +0000 2018
roxanne21021,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 16:51:18 +0000 2018
CHERYASMON,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 16:45:47 +0000 2018
ReggyGooddayinc,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 16:35:44 +0000 2018
PhBaumann,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 16:35:14 +0000 2018
SouzaEluam,RT @TheSun: Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Huge earthquake rocks Indonesian island days after quake kills 460 people https://t.co/46JEZYJ4AK https://t.co/tpsHwA4tjZ,Fri Aug 17 16:34:59 +0000 2018
PassionForNews,"#BreakingNews 
Huge #earthquake rocks #Indonesia island days after quake kills 450 people https://t.co/UD7JAemPZr",,Fri Aug 17 16:29:44 +0000 2018
