joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
SiteSegundoSol,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/yuakXpgmeI,,Sat Aug 18 19:18:24 +0000 2018
BestAmongBest99,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/nRXpuM5OQC,,Sat Aug 18 19:14:03 +0000 2018
WHSVnews,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/TNobU5XJuq,,Sat Aug 18 19:00:03 +0000 2018
getupradio,6.1 quake shakes Costa Rica near Panama https://t.co/WWYFvx0QXT,,Sat Aug 18 15:42:07 +0000 2018
terikarnas74,RT @The_News_DIVA: 6.1 quake shakes Costa Rica near Panama https://t.co/JBQZElesmc,6.1 quake shakes Costa Rica near Panama https://t.co/JBQZElesmc,Sat Aug 18 14:10:50 +0000 2018
The_News_DIVA,6.1 quake shakes Costa Rica near Panama https://t.co/JBQZElesmc,,Sat Aug 18 14:10:04 +0000 2018
fearoffreedom,6.1 quake shakes Costa Rica near Panama; no major damage - ABC News - https://t.co/60PSuEn2b2 via @ABC,,Sat Aug 18 13:39:19 +0000 2018
sotrueradio,6.1 quake shakes Costa Rica near Panama; no major damage (from @AP) https://t.co/LeGOqURLL6,,Sat Aug 18 11:41:47 +0000 2018
State_Times,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/SGODwKp7Rz,,Sat Aug 18 11:29:13 +0000 2018
SableViews,RT @CAllstadt: 6.1 #quake shakes #CostaRica near #Panama; no major damage (from @AP) https://t.co/8CJ0C1y5QF,6.1 #quake shakes #CostaRica near #Panama; no major damage (from @AP) https://t.co/8CJ0C1y5QF,Sat Aug 18 11:24:01 +0000 2018
State_Times,6.0 quake shakes Costa Rica near Panama; no major damage - https://t.co/A9embaAeYS https://t.co/RtDBIFjCgx,,Sat Aug 18 11:12:55 +0000 2018
SpokesmanTweets,6.0 quake shakes Costa Rica near Panama; no major damage... https://t.co/WSMCKXpnGo #earthquake #epicentre #CostaRica #Tsunami #SanJose @SpokesmanTweets,,Sat Aug 18 10:49:35 +0000 2018
CAllstadt,6.1 #quake shakes #CostaRica near #Panama; no major damage (from @AP) https://t.co/8CJ0C1y5QF,,Sat Aug 18 10:32:37 +0000 2018
NewsBossIndia,6.0 quake shakes Costa Rica near Panama; no major damage .. https://t.co/x626p0IAMy,,Sat Aug 18 10:14:01 +0000 2018
MunsifUrduTv,"6.0 Quake Shakes Costa Rica Near Panama And Strong, Deep Earthquake Shakes Area Off Indonesia https://t.co/c2nTLQlP8f",,Sat Aug 18 09:58:36 +0000 2018
HalOBrien_WA,"@RadioFreeTom @BostonGlobe From the LA Times in 1995: ""Quake's Toll in Japan Shakes L.A. : Tragedy: Van Nuys couple receive word that daughter is among the dead.""

Not a parody.",,Sat Aug 18 08:44:22 +0000 2018
ricoqmedia,6.1 Quake Shakes Costa Rica https://t.co/iwS1usy5VR https://t.co/Ko5JG7HNYC,,Sat Aug 18 08:29:03 +0000 2018
Cletus1942,6.1 quake shakes Costa Rica near Panama; no major damage - The Washington Post https://t.co/T6vFDHiWYR,,Sat Aug 18 08:13:49 +0000 2018
60Macc,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jCBFHD2k95,,Sat Aug 18 07:44:53 +0000 2018
ARTMOR64,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/21kWWQRihr,,Sat Aug 18 07:21:42 +0000 2018
rarias78,6.1 quake shakes Costa Rica near Panama; no major damage (from @AP) https://t.co/TXZDgba2Zo,,Sat Aug 18 07:12:56 +0000 2018
AficionadoYash,6.0 quake shakes Costa Rica near Panama; no major damage,,Sat Aug 18 07:09:45 +0000 2018
MSNNZ,"Strong, deep quake shakes area off Indonesia https://t.co/M4kKS94jwp",,Sat Aug 18 07:02:17 +0000 2018
NewsDingo,https://t.co/JaLH4Wfyci,,Sat Aug 18 07:00:56 +0000 2018
KarenChestney,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/c3ve3tav1A,,Sat Aug 18 06:35:48 +0000 2018
ImAnupGupta,6.0 quake shakes Costa Rica near Panama; no major damage  https://t.co/apWzvLGELw,,Sat Aug 18 06:14:19 +0000 2018
geocosmo_news,6.0 quake shakes Costa Rica near Panama; no major damage: https://t.co/KZnKA2CcRw,,Sat Aug 18 05:01:10 +0000 2018
Jaikumar099,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/jLHg3awGGw https://t.co/VKqQRWKfcZ,,Sat Aug 18 04:54:03 +0000 2018
ClintParkerMonr,"RT @Indonesia: ""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK","""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK",Sat Aug 18 04:39:35 +0000 2018
werindia,"#CostaRica: 6.1 #quake shakes near #Panama; no major damage https://t.co/HwcXMe5IGF #WeRIndia

Get latest news and updates only on WeRIndia https://t.co/Yvnsat80TN",,Sat Aug 18 04:04:57 +0000 2018
Lucky_finds,Yellowstone Supervolcano 8-17-2018 Costa Rica and Japan Quake Shakes Caldera https://t.co/2ydKTkwAPj,,Sat Aug 18 03:50:40 +0000 2018
pewo_oyee,"RT @Indonesia: ""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK","""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK",Sat Aug 18 03:38:50 +0000 2018
HalimBlink182,"RT @Indonesia: ""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK","""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK",Sat Aug 18 03:34:06 +0000 2018
