sherlocked1058,"RT @RepScottHolcomb: Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's…","Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's majority black, 431 sq miles, votes D
Georgia county to close 7 of 9 voting precincts, civil rights attorney calls it 'voter suppression' https://t.co/3Biz2Gw2t1",Sat Aug 18 21:49:11 +0000 2018
danielmaier,"RT @lucyprebblish: Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government…","Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government have shut off 37 sq miles around him to protect from rest of the world. https://t.co/syX35zEWRQ",Sat Aug 18 21:31:11 +0000 2018
blakelloyd15495,RT @blakelloyd15495: @LogicalReterg @Sylpher86 @GhantaSairam @mode23 @MechaPanda9K @Col_Sandurz @everycloud9 @marcomadami @DrMathsPhysics @…,"@LogicalReterg @Sylpher86 @GhantaSairam @mode23 @MechaPanda9K @Col_Sandurz @everycloud9 @marcomadami @DrMathsPhysics @Irish_Otaku @CobraElDiablo Flat all the way ice Lake Baikal 395 miles long over 12,248 sq mi another proof of flat Earth. Kansas, Florida, salt flats, all oceans, all lakes, Great Lakes, Great Plains, salt flats, etc. The earth is planar, it's level...aka #FlatEarth. https://t.co/3j9i230rmh",Sat Aug 18 21:24:03 +0000 2018
Simmoland,"RT @lucyprebblish: Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government…","Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government have shut off 37 sq miles around him to protect from rest of the world. https://t.co/syX35zEWRQ",Sat Aug 18 20:51:23 +0000 2018
teddyerrico,"Check out my new #Telluride listing.  Lot 13 at Sunset Ridge.  2 miles to downtown &amp; skiing @Telluride.   3,006 sq ft at $229,000. Ready to build on! https://t.co/EVEEsHG0lV",,Sat Aug 18 20:43:12 +0000 2018
M5B1tch,"RT @RepScottHolcomb: Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's…","Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's majority black, 431 sq miles, votes D
Georgia county to close 7 of 9 voting precincts, civil rights attorney calls it 'voter suppression' https://t.co/3Biz2Gw2t1",Sat Aug 18 20:35:49 +0000 2018
b140tweet,"RT @RepScottHolcomb: Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's…","Video: Consultant calls voter suppression concerns ""gibberish"" as he recommends closing 7/9 precincts in county that's majority black, 431 sq miles, votes D
Georgia county to close 7 of 9 voting precincts, civil rights attorney calls it 'voter suppression' https://t.co/3Biz2Gw2t1",Sat Aug 18 20:27:11 +0000 2018
MajorAmerican,RT @RepScottHolcomb: Consultant who recommends closing 7 of 9 precincts in county that’s 431 sq miles calls concerns about voter suppressio…,"Consultant who recommends closing 7 of 9 precincts in county that’s 431 sq miles calls concerns about voter suppression “gibberish.” 

Concerns are real. Plan must be rejected. 

County is majority African-American &amp; Democratic. Consultant donated to Kemp. Kemp rejects plan. https://t.co/yWZ37lZMLK",Sat Aug 18 20:08:13 +0000 2018
Katheri48033429,"RT @lucyprebblish: Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government…","Oh goodness, I just found about the last remaining member of a tribe still alive in Brazilian rainforest. The government have shut off 37 sq miles around him to protect from rest of the world. https://t.co/syX35zEWRQ",Sat Aug 18 20:08:09 +0000 2018
mccrenshaw,RT @RepScottHolcomb: Consultant who recommends closing 7 of 9 precincts in county that’s 431 sq miles calls concerns about voter suppressio…,"Consultant who recommends closing 7 of 9 precincts in county that’s 431 sq miles calls concerns about voter suppression “gibberish.” 

Concerns are real. Plan must be rejected. 

County is majority African-American &amp; Democratic. Consultant donated to Kemp. Kemp rejects plan. https://t.co/yWZ37lZMLK",Sat Aug 18 20:07:02 +0000 2018
