DPredham,"RT @CBCAlerts: Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw…","Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",Sun Aug 19 01:49:28 +0000 2018
AmyJMatheson,RT @Dakarai_Turner: Three people were shot at Seward Park on the city's Near North Side during a community peace event this evening. Witnes…,"Three people were shot at Seward Park on the city's Near North Side during a community peace event this evening. Witnesses say a fight broke out, then someone began shooting aimlessly into a crowd. @Chicago_Police investigating. 

A suspect is in custody. @fox32news https://t.co/LqbyC2pZig",Sun Aug 19 01:49:12 +0000 2018
nmolnarTR,RT @OSHP: The suspect has been captured and is now in OSHP custody. Thank you for your support! https://t.co/unitm7BFwP,The suspect has been captured and is now in OSHP custody. Thank you for your support! https://t.co/unitm7BFwP,Sun Aug 19 01:46:14 +0000 2018
Pavingthewaypj,RT @Dakarai_Turner: Three people were shot at Seward Park on the city's Near North Side during a community peace event this evening. Witnes…,"Three people were shot at Seward Park on the city's Near North Side during a community peace event this evening. Witnesses say a fight broke out, then someone began shooting aimlessly into a crowd. @Chicago_Police investigating. 

A suspect is in custody. @fox32news https://t.co/LqbyC2pZig",Sun Aug 19 01:40:08 +0000 2018
Dakarai_Turner,"Three people were shot at Seward Park on the city's Near North Side during a community peace event this evening. Witnesses say a fight broke out, then someone began shooting aimlessly into a crowd. @Chicago_Police investigating. 

A suspect is in custody. @fox32news https://t.co/LqbyC2pZig",,Sun Aug 19 01:38:31 +0000 2018
lysagalliano,"RT @WAFB: #UPDATE: Suspected of allegedly shooting at a BRPD officer, 21-year-old Raheem Howard made a dramatic plea of innocence while bei…","#UPDATE: Suspected of allegedly shooting at a BRPD officer, 21-year-old Raheem Howard made a dramatic plea of innocence while being taken into custody. He will be charged with attempted first-degree murder and illegal use of a weapon. &gt;&gt; https://t.co/Le7iPHG8Ap https://t.co/az0GFVAw1O",Sun Aug 19 01:36:22 +0000 2018
hs88_hs88,"RT @CBCAlerts: Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw…","Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",Sun Aug 19 01:35:10 +0000 2018
DebbieC50234788,"RT @CBCAlerts: Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw…","Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",Sun Aug 19 01:32:59 +0000 2018
dauspol,"@MuhammadLila Imagine-if you will- a world where a wanted illegal alien MURDER suspect is taken into custody by law enforcement and a MSM ""Correspondent"" doesn't try to push a leftist bullshit narrative",,Sun Aug 19 01:32:02 +0000 2018
67Chester,"RT @CBCAlerts: Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw…","Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",Sun Aug 19 01:30:27 +0000 2018
rkn429,"RT @CBCAlerts: Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw…","Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",Sun Aug 19 01:29:08 +0000 2018
PascoSheriff,The suspect has been located and is currently in custody. #LivePD,,Sun Aug 19 01:29:07 +0000 2018
CBCAlerts,"Elderly woman dead, another woman in hospital after stabbing in suburban Toronto. Suspect is in custody.  https://t.co/3ymVw6fVtJ",,Sun Aug 19 01:27:06 +0000 2018
ourtruecrimepod,RT @fox8news: Police say suspect in Summit County rest area murder now in custody https://t.co/xV9cD4cENS,Police say suspect in Summit County rest area murder now in custody https://t.co/xV9cD4cENS,Sun Aug 19 01:21:44 +0000 2018
BNNnews,"Commercial Robbery - Queens, NY: U/D PD has a suspect in custody, Cash was taken, suspect was armed with a gun. #1234334",,Sun Aug 19 01:14:35 +0000 2018
AceJustin1,RT @radioguyaz99: BREAKING NEWS: Man with a gun shows up at Thatcher High School dance and is tackled by the DJ before he can get any shots…,BREAKING NEWS: Man with a gun shows up at Thatcher High School dance and is tackled by the DJ before he can get any shots off. This is a developing story. Suspect is in custody.,Sun Aug 19 01:11:20 +0000 2018
TracyCarloss,RT @brookbanktv: BREAKING: Suspect wanted in connection with hit and run death of a North Olmsted man along I-77 is now in custody accordin…,BREAKING: Suspect wanted in connection with hit and run death of a North Olmsted man along I-77 is now in custody according to Ohio State Police. Late breaking details on this one tonight at 11 on @WEWS. https://t.co/Ui0b4zs0Ic,Sun Aug 19 01:07:17 +0000 2018
Lisa10024,RT @fox8news: Police say suspect in Summit County rest area murder now in custody https://t.co/xV9cD4cENS,Police say suspect in Summit County rest area murder now in custody https://t.co/xV9cD4cENS,Sun Aug 19 01:07:01 +0000 2018
brookbanktv,BREAKING: Suspect wanted in connection with hit and run death of a North Olmsted man along I-77 is now in custody according to Ohio State Police. Late breaking details on this one tonight at 11 on @WEWS. https://t.co/Ui0b4zs0Ic,,Sun Aug 19 01:05:42 +0000 2018
lenaweenews,"From our sister paper The Hillsdale Daily News, 36-year-old Alexander Lee Dombrowski, the suspect in an early morning double homicide, was taken into custody Thursday morning. https://t.co/hSsjn7yqwN",,Sun Aug 19 01:00:22 +0000 2018
just1bullet,Suspect in Custody After Deadly Shooting at OBok Restaurant in Killeen https://t.co/8sBy8iJAbN,,Sun Aug 19 00:58:23 +0000 2018
profbkelley,RT @OSHP: The suspect has been captured and is now in OSHP custody. Thank you for your support! https://t.co/unitm7BFwP,The suspect has been captured and is now in OSHP custody. Thank you for your support! https://t.co/unitm7BFwP,Sun Aug 19 00:55:49 +0000 2018
gcanderson57,"RT @wsyx6: UPDATE: The suspect has been captured and is now in OSHP custody https://t.co/jcnXabXytA

https://t.co/uF9WL7MUAc","UPDATE: The suspect has been captured and is now in OSHP custody https://t.co/jcnXabXytA

https://t.co/uF9WL7MUAc",Sun Aug 19 00:50:58 +0000 2018
fox28columbus,"UPDATE: The suspect has been captured and is now in OSHP custody https://t.co/CvKgufSx0K

https://t.co/1AsfNaIFfs",,Sun Aug 19 00:47:09 +0000 2018
wsyx6,"UPDATE: The suspect has been captured and is now in OSHP custody https://t.co/jcnXabXytA

https://t.co/uF9WL7MUAc",,Sun Aug 19 00:46:10 +0000 2018
SamRomyn,"RT @TPSOperations: @TPS23Div Update: 
1 female victim was taken to hospital with life threatening injuries. Her condition has been upgraded…","@TPS23Div Update: 
1 female victim was taken to hospital with life threatening injuries. Her condition has been upgraded to stable.
The 2nd female victim of the stabbing has been pronounced dead at the scene.
The male suspect is in custody. @TPSHomicide notified. #GO1526723^adc",Sun Aug 19 00:39:19 +0000 2018
SamRomyn,"RT @TPSOperations: Stabbing:
Kipling Ave/ Dixon Rd
Units are now OS. 2 victims located, being taken to hospital with life threatening injur…","Stabbing:
Kipling Ave/ Dixon Rd
Units are now OS. 2 victims located, being taken to hospital with life threatening injuries. Emerg run is about to commence.
1 male suspect is in custody. Several unitsOS...on-going investigation.
@TPS23Div 
#GO1526723^adc",Sun Aug 19 00:39:12 +0000 2018
