GregBayers,RT @HRPMountedUnit: Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Our thoughts and prayers are with the CPS officer and the CPS family. https://t.co/3x09G2ZYgO,Sat Aug 18 22:37:17 +0000 2018
Vijaymohanred13,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:37:17 +0000 2018
bama_drew85,Thoughts and prayers to @10AJMcCarron it is all part of the plan. Wishing you a fast recovery.,,Sat Aug 18 22:37:05 +0000 2018
JaceLGalloway,Thoughts and prayers!! https://t.co/HLnwpx34x6,,Sat Aug 18 22:36:59 +0000 2018
NateDawgUga,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sat Aug 18 22:36:50 +0000 2018
JaceLGalloway,@THR Thoughts and prayers!,,Sat Aug 18 22:36:48 +0000 2018
HKhaang,@mcspocky @IronSharky @HugsEtc @garthworld Reported and blocked.  Your wife is very brave and very beautiful 💜.  Will keep you both in my thoughts and prayers 🙏💕✨.,,Sat Aug 18 22:36:42 +0000 2018
Ahmad_Deoria,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:36:16 +0000 2018
n00bleblood,i don’t need your thoughts and prayers if they’re not in cash,,Sat Aug 18 22:36:14 +0000 2018
phenomenal_mess,RT @sambillings: Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #Ke…,Thoughts &amp; prayers with everyone who has been effected by the Kerala floods... terrible to see! ☹️🙏🏼 #KeralaReliefFund #KeralaDonationChallenge,Sat Aug 18 22:35:57 +0000 2018
maddyjw_,RT @FootballPrideGC: It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our…,It is with heavy hearts today that we prepare for our Intersquad scrimmage. Our Pride family stands in support of our brother @BIGWEBBER_. He lost his sister this week in a tragic accident. We ask that your thoughts and prayers be with him and his family. #ForFaith https://t.co/ufLEiilGjP,Sat Aug 18 22:35:45 +0000 2018
damartin1906,@TenilleDashwood So sorry that you're dealing with this. Know that you are loved and are in our thoughts and prayers.  ❤,,Sat Aug 18 22:35:28 +0000 2018
BlknBrwny,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 22:35:25 +0000 2018
Kswan55,"@NPR ""Disheartening""? That's the word that comes to mind to the priest interviewed? How about ""disgusted"" ""Revolted"" ""enraged""??? So sick of the parsing of words by these ""holy men"" and their offering of ""thoughts and prayers"" What would Jesus say and do? My guess is not as the Church",,Sat Aug 18 22:35:16 +0000 2018
dmontano030,"RT @dmontano030: Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves…","Southern states among hardest hit by China tariffs
https://t.co/UKwzK33V7e Call it what it is trumpers red states. Serves you all right for voting for trump. Thoughts and prayers",Sat Aug 18 22:35:14 +0000 2018
SpooLove,"RT @LisaHendey: One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pasto…","One last thought: to all of the priests, religious, deacons and laity who have given your lives to the love, care and pastoral service of others and have never harmed a soul but are suffering now for the sins of others, you are in my thoughts and prayers.",Sat Aug 18 22:35:00 +0000 2018
kombiz,@outlandishjosh Thoughts and prayers,,Sat Aug 18 22:34:57 +0000 2018
Tre11161977,@CatherinePaiz I'm here for you and your family! My thoughts and prayers are with you and your family through this horrible time! I will continue to keep praying for your family to stay! I love you guys you have helped me through alot of my anxiety. I ask God to keep watch over your family 🙏,,Sat Aug 18 22:34:56 +0000 2018
ComradeNas,My thoughts and prayers are with the family. https://t.co/sf3vvlV8iG,,Sat Aug 18 22:34:54 +0000 2018
johnny_boy1029,@jaketapper @Scout_Finch Thoughts and prayers.,,Sat Aug 18 22:34:22 +0000 2018
infpmusing,@AWorldOutOfMind good news! I checked my stock and I have exactly 0 fucks to give. Plenty of thoughts and prayers though...,,Sat Aug 18 22:33:58 +0000 2018
stevenhitme,"@eyeballljuice you are in our thoughts and prayers.
We hope for your speedy recovery and your safety",,Sat Aug 18 22:33:56 +0000 2018
harsha_balasa,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sat Aug 18 22:33:56 +0000 2018
NixonDman,@pt0kes Thoughts and prayers from my family to yours,,Sat Aug 18 22:33:52 +0000 2018
BobbyS2727,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sat Aug 18 22:33:46 +0000 2018
KellyBezz,You both are in our thoughts and prayers!  Your service will never be forgotten!  😪 https://t.co/9g7TrGkJt6,,Sat Aug 18 22:33:27 +0000 2018
siby2joseph,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 22:33:17 +0000 2018
Eclesiastes3_1,RT @MrsStarEyes1: @zuzuspetalsz @M_Di_Leonardo @femme_plume @CupofJoe2go @shi_kent @KhuJay_Gh @Meb14Kr @Celeste8990vz @innescp8 @KpHeaney @…,"@zuzuspetalsz @M_Di_Leonardo @femme_plume @CupofJoe2go @shi_kent @KhuJay_Gh @Meb14Kr @Celeste8990vz @innescp8 @KpHeaney @Lesleyjass @itsbenwb @Han_inthemirror @RetailShaming @LolaLopezDubai @pastorescm @MSD_SGA @YouTube I'm so sorry to hear that, sending you loving thoughts and prayers😘. https://t.co/tHg0LSq9mK",Sat Aug 18 22:33:10 +0000 2018
