DeviantScholar,"Tsunami Wave Warning ⚠️

https://t.co/5fwO4HeX7Q",,Sat Aug 18 18:35:12 +0000 2018
The821_821,@Jenjoturtle @leeleeb50 @1VoiceForMe Tsunami warning!,,Sat Aug 18 17:29:24 +0000 2018
cue_bono,RT @GuyVerhoftwat: A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Mil…,"A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Millions will die. But it's not too late. You can still choose to remain in the EU with a #PeoplesVote . 

 https://t.co/BHvx1Bjt4n",Sat Aug 18 16:14:40 +0000 2018
Drystonesonnet,RT @GuyVerhoftwat: A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Mil…,"A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Millions will die. But it's not too late. You can still choose to remain in the EU with a #PeoplesVote . 

 https://t.co/BHvx1Bjt4n",Sat Aug 18 15:50:12 +0000 2018
WIActivist,RT @jimohar: @_cingraham Without turnout in November the #BlueWave is just a Tsunami warning. If all #Democrats show up it will change the…,@_cingraham Without turnout in November the #BlueWave is just a Tsunami warning. If all #Democrats show up it will change the coastline. This looks like great news and confirmation on the forecast.,Sat Aug 18 15:12:34 +0000 2018
shirleyalexis,RT @LindaJeffreys: #ClimateChangeIsReal :New tsunami warning for region due to #climatechange https://t.co/SjD9pe4Fbr,#ClimateChangeIsReal :New tsunami warning for region due to #climatechange https://t.co/SjD9pe4Fbr,Sat Aug 18 14:18:53 +0000 2018
law_ender,"@n1ckhay Yeah, I liked the word ""New"" in particular - there was *another* tsunami warning for Hull?!",,Sat Aug 18 13:26:41 +0000 2018
The821_821,@mbroadway @margil9000 @MSNBC We'll see who has the last laugh!  🌊🌊🌊🌊🌊🌊🌊🌊🌊=tsunami warning!,,Sat Aug 18 13:25:28 +0000 2018
Zander9899,RT @GuyVerhoftwat: A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Mil…,"A new warning for #Brexit Britain. The seas will rise and literally consume the UK with wave after wave of tsunamis. Millions will die. But it's not too late. You can still choose to remain in the EU with a #PeoplesVote . 

 https://t.co/BHvx1Bjt4n",Sat Aug 18 13:11:12 +0000 2018
JJ_Angelus,RT @LindaJeffreys: #ClimateChangeIsReal :New tsunami warning for region due to #climatechange https://t.co/SjD9pe4Fbr,#ClimateChangeIsReal :New tsunami warning for region due to #climatechange https://t.co/SjD9pe4Fbr,Sat Aug 18 12:39:50 +0000 2018
