tiniskwerl,"#FergusonFire W of #Yosemite #Mariposa Co
96,824 acres 87% contained | Est 100% Wed Aug 22nd
Over next 72 hrs holding, improving/Suppression repair all Divs continues
2 Fatalities/19 Injuries/10 Structures Destroyed
InciWeb:https://t.co/L0J6MNNCfI
https://t.co/z5nHuHtpAI
#CAFire",,Sat Aug 18 04:24:25 +0000 2018
KristenKRNV,"#BerryFire update: evacuations lifted, 12.3 acres burned, 60% contained, one shed lost, no homes destroyed &amp; no injuries.",,Sat Aug 18 03:13:51 +0000 2018
Renorabbit,"RT @KristenKRNV: The #BerryFire should be fully contained by tomorrow, per @TMFPD. It burned 8 acres down in Washoe Valley &amp; destroyed 1 sh…","The #BerryFire should be fully contained by tomorrow, per @TMFPD. It burned 8 acres down in Washoe Valley &amp; destroyed 1 shed. Crews kept the homes in the area safe!",Sat Aug 18 02:38:26 +0000 2018
KristenKRNV,"The #BerryFire should be fully contained by tomorrow, per @TMFPD. It burned 8 acres down in Washoe Valley &amp; destroyed 1 shed. Crews kept the homes in the area safe!",,Sat Aug 18 01:51:12 +0000 2018
TheGloriousSOB,RT @bakersfieldnow: Kern County Fire Engineer Andrew Freeborn says the vegetation fire northeast of Bakersfield was fully contained at an e…,Kern County Fire Engineer Andrew Freeborn says the vegetation fire northeast of Bakersfield was fully contained at an estimated 114 acres. One outbuilding was destroyed. https://t.co/OW8Mnc5gGa https://t.co/MJkT17hYnJ,Fri Aug 17 04:38:18 +0000 2018
bakersfieldnow,Kern County Fire Engineer Andrew Freeborn says the vegetation fire northeast of Bakersfield was fully contained at an estimated 114 acres. One outbuilding was destroyed. https://t.co/OW8Mnc5gGa https://t.co/MJkT17hYnJ,,Fri Aug 17 01:56:55 +0000 2018
jeffpsd,"RT @jeffpsd1: California's largest fire ever keeps growing :As of Wednesday morning, the Ranch fire had consumed 314,925 acres and was 64%…","California's largest fire ever keeps growing :As of Wednesday morning, the Ranch fire had consumed 314,925 acres and was 64% contained. It has destroyed 147 homes so https://t.co/GAFLLeylgp firefighter, Matthew Burchett, 42, of Draper City, Utah, has died https://t.co/cLDi7RBeNQ",Thu Aug 16 23:05:59 +0000 2018
jftaveira1993,"#California’s #CarrFire has burned more than 200,000 acres and destroyed more than 1,000 homes since it started on July 23. As of Thursday morning, the fire was 71 percent contained and nearly 4,000 people were working to reach full containment. https://t.co/duWbYxeaF1",,Thu Aug 16 20:06:38 +0000 2018
eDocAmerica,"The Ranch Fire has now consumed 314,925 acres and is only 64% contained as of Wednesday morning.  It has destroyed 147 homes and killed one firefighter.

https://t.co/Hr5oihfbrn

#ranchfire #california #fires #firefighter #firstresponder #wildfire",,Thu Aug 16 19:00:26 +0000 2018
abc4utah,"The #DollarRidgeFire has burned 68,869 acres and it remains 90 percent contained. 
https://t.co/Q5lYuNQZVU https://t.co/TJmV8AM60E",,Thu Aug 16 16:35:04 +0000 2018
jeffpsd1,"California's largest fire ever keeps growing :As of Wednesday morning, the Ranch fire had consumed 314,925 acres and was 64% contained. It has destroyed 147 homes so https://t.co/GAFLLeylgp firefighter, Matthew Burchett, 42, of Draper City, Utah, has died https://t.co/cLDi7RBeNQ",,Thu Aug 16 16:32:35 +0000 2018
watchingeye,"California's largest fire ever keeps growing :As of Wednesday morning, the Ranch fire had consumed 314,925 acres and was 64% contained. It has destroyed 147 homes so https://t.co/bCLswF4P11 firefighter, Matthew Burchett, 42, of Draper City, Utah, has died! https://t.co/1XfG1eGuw5",,Thu Aug 16 16:28:41 +0000 2018
