LaFarmBureau,"The California wildfires continue to devastate the state, with at least ten people dead and 820,000 acres burned so far.  But there are also wildfires burning here in Louisiana.  While they may not be as... https://t.co/E7L7HrAeAi",,Fri Aug 17 17:41:46 +0000 2018
AnthonyLaCroix,"RT @TWILATV: The California wildfires continue to devastate the state, with at least ten people dead and 820,000 acres burned so far.  But…","The California wildfires continue to devastate the state, with at least ten people dead and 820,000 acres burned so far.  But there are also wildfires burning here in Louisiana.  While they may not be as widespread,... https://t.co/EayKAmVFOF",Fri Aug 17 17:41:33 +0000 2018
TWILATV,"The California wildfires continue to devastate the state, with at least ten people dead and 820,000 acres burned so far.  But there are also wildfires burning here in Louisiana.  While they may not be as widespread,... https://t.co/EayKAmVFOF",,Fri Aug 17 16:57:06 +0000 2018
JonsSmokinLnge,"https://t.co/ymS8fFblE3 NewsCalifornia fire officials express hope as weather improves688,000 acres are burned and 10 are dead in California's summer wildfire ""siege,"" offic... https://t.co/rS3WT0lykj",,Mon Aug 13 04:54:44 +0000 2018
neil_bodie,"The worst of the California wildfires may be over - 688,000 acres are burned and 10 are dead in California's summer wildfire ""siege,"" officials say. https://t.co/rVzJakiW5G",,Sun Aug 12 08:20:57 +0000 2018
wind_in_grass,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Sun Aug 12 02:55:31 +0000 2018
90min_plus3,"The worst of the California wildfires may be over
688,000 acres are burned and 10 are dead in California's summer wildfire ""siege,"" officials say. https://t.co/vQM4bakqkT via @nbcnews",,Sat Aug 11 23:44:29 +0000 2018
KyloBenSSB,"@lepinkpapi When 300,000+ acres have already been burned down, many losing there home and others dead. That’s funny?",,Fri Aug 10 20:18:13 +0000 2018
2014_judi,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 10 15:31:27 +0000 2018
oswaldheston,"RT @PeterGleick: People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working witho…","People are dead, over 1000 homes destroyed, hundreds of thousands of acres burned, &amp; 14,000 firefighters are working without a break. #CAFires 
In California, Firefighters Battle Largest Fire in State History https://t.co/ZCuSmu93ue
(photo credit: Kent Porter/Press Democrat/AP) https://t.co/3bazN37l79",Fri Aug 10 06:07:43 +0000 2018
